,School,G,W_Tot,L_Tot,W-L%,Simple_Rating_System,Stregnth_Of_Schedule,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Tm_Pts,Opp_Pts,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Season
0,Abilene Christian,32,16,16,.500,-5.84,-2.39,8,8,10,5,5,10,2260,2250,1290,819,1845,.444,146,483,.302,476,666,.715,355,1081,421,331,94,476,670,2025
1,Air Force,32,4,28,.125,-8.07,3.65,1,19,3,13,0,14,1982,2357,1290,680,1616,.421,259,783,.331,363,572,.635,236,956,428,181,91,433,571,2025
2,Akron NCAA,35,28,7,.800,3.22,-3.75,17,1,16,0,8,4,2941,2627,1405,1060,2260,.469,376,1038,.362,445,590,.754,414,1347,621,267,131,414,623,2025
3,Alabama NCAA,37,28,9,.757,25.54,16.14,13,5,12,3,9,3,3355,3007,1490,1147,2371,.484,390,1104,.353,671,932,.720,459,1567,636,228,167,469,700,2025
4,Alabama A&M,32,10,22,.313,-20.52,-9.93,6,12,8,9,2,12,2337,2521,1300,795,1966,.404,257,807,.318,490,738,.664,447,1172,432,266,131,513,687,2025
5,Alabama State NCAA,36,20,16,.556,-8.99,-8.19,12,6,8,3,6,10,2630,2607,1445,927,2290,.405,320,978,.327,456,665,.686,417,1303,418,285,101,327,662,2025
6,Albany (NY),33,17,16,.515,-9.75,-8.55,8,8,7,7,8,8,2463,2437,1335,901,2044,.441,238,736,.323,423,591,.716,392,1117,414,273,77,357,575,2025
7,Alcorn State,32,11,21,.344,-14.06,-6.96,11,7,6,3,5,17,2081,2307,1285,754,1833,.411,171,538,.318,402,561,.717,377,1087,329,211,86,418,544,2025
8,American NCAA,35,22,13,.629,-7.64,-6.85,13,5,14,2,5,10,2406,2370,1420,840,1893,.444,299,859,.348,427,566,.754,270,1057,441,229,66,389,625,2025
9,Appalachian State,31,17,14,.548,-2.59,-3.83,10,8,10,4,5,8,2102,1970,1245,738,1692,.436,240,697,.344,386,593,.651,304,1145,389,171,114,335,414,2025
10,Arizona NCAA,37,24,13,.649,22.94,13.72,14,6,13,3,6,5,3052,2711,1490,1076,2268,.474,266,787,.338,634,813,.780,456,1470,598,279,162,421,625,2025
11,Arizona State,33,13,20,.394,10.62,13.32,4,16,5,9,3,8,2444,2533,1335,830,1892,.439,287,806,.356,497,685,.726,289,1123,424,174,146,411,562,2025
12,Arkansas NCAA,36,22,14,.611,17.09,11.70,8,10,14,4,4,6,2765,2571,1450,978,2115,.462,253,774,.327,556,752,.739,343,1283,510,271,202,414,583,2025
13,Arkansas State,36,25,11,.694,5.81,-2.40,13,5,14,2,8,6,2858,2528,1450,986,2313,.426,339,1044,.325,547,752,.727,481,1466,513,264,160,376,658,2025
14,Arkansas-Pine Bluff,31,6,25,.194,-24.34,-8.44,3,15,4,8,2,17,2242,2602,1240,834,1838,.454,225,696,.323,349,589,.593,306,1053,452,220,66,449,588,2025
15,Army,33,17,16,.515,-12.11,-7.30,10,8,12,4,4,11,2416,2473,1350,892,2042,.437,276,870,.317,356,523,.681,336,1155,466,221,72,331,514,2025
