,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
688,1,2021-11-09,@,Purdue,L,67,96,24,59,.407,12,35,.343,7,8,.875,7,19,15,5,1,10,20,,28,56,.500,16,36,.444,24,29,.828,13,40,21,7,3,12,13,2022,bellarmine
689,2,2021-11-13,@,Murray State,L,59,78,21,50,.420,7,20,.350,10,17,.588,10,30,8,3,2,17,18,,28,54,.519,8,25,.320,14,22,.636,9,31,10,9,2,11,17,2022,bellarmine
690,3,2021-11-17,@,Saint Mary's,L,64,73,24,47,.511,5,14,.357,11,15,.733,2,27,8,2,1,15,24,,24,53,.453,5,25,.200,20,31,.645,5,25,14,7,0,6,17,2022,bellarmine
691,4,2021-11-19,@,Gonzaga,L,50,92,21,53,.396,3,25,.120,5,6,.833,4,17,8,3,2,15,20,,32,60,.533,11,23,.478,17,21,.810,14,38,21,8,5,13,15,2022,bellarmine
692,5,2021-11-22,N,UCLA,L,62,75,23,51,.451,3,15,.200,13,13,1.000,4,26,11,4,0,17,11,,33,73,.452,8,27,.296,1,6,.167,15,36,23,12,4,10,13,2022,bellarmine
693,6,2021-11-23,N,Central Michigan,W,76,69,28,55,.509,8,21,.381,12,19,.632,8,29,17,3,1,9,15,,24,53,.453,11,29,.379,10,12,.833,4,27,10,6,2,12,22,2022,bellarmine
694,7,2021-11-28,,Franklin,W,75,37,35,62,.565,3,13,.231,2,4,.500,8,39,16,12,4,10,6,,15,55,.273,7,26,.269,0,0,,4,20,7,2,0,18,9,2022,bellarmine
695,8,2021-11-30,@,West Virginia,L,55,74,23,57,.404,2,17,.118,7,14,.500,11,29,10,8,0,11,14,,31,65,.477,7,19,.368,5,10,.500,16,36,13,7,6,12,16,2022,bellarmine
696,9,2021-12-05,,Defiance,W,92,43,37,57,.649,8,17,.471,10,12,.833,9,39,26,6,2,8,8,,14,47,.298,6,25,.240,9,9,1.000,2,11,7,6,0,12,10,2022,bellarmine
697,10,2021-12-09,,Asbury,W,87,55,34,67,.507,9,32,.281,10,14,.714,13,47,23,6,6,8,9,,20,62,.323,9,27,.333,6,10,.600,6,25,10,5,3,10,11,2022,bellarmine
698,11,2021-12-10,,Midway,W,89,39,33,61,.541,8,23,.348,15,18,.833,8,37,26,10,2,9,11,,15,55,.273,2,17,.118,7,9,.778,9,27,6,4,0,20,14,2022,bellarmine
699,12,2021-12-15,@,South Dakota,L,64,78,22,54,.407,8,20,.400,12,16,.750,7,28,12,4,0,11,23,,22,47,.468,8,21,.381,26,32,.813,4,29,12,5,4,9,18,2022,bellarmine
700,13,2021-12-18,@,Miami (OH),W,77,68,31,53,.585,9,21,.429,6,10,.600,5,22,17,7,2,6,18,,26,53,.491,9,26,.346,7,12,.583,10,29,10,3,1,10,17,2022,bellarmine
701,14,2021-12-21,,Loyola Marymount,L,57,71,24,65,.369,6,28,.214,3,6,.500,9,27,9,4,1,4,14,,27,51,.529,8,16,.500,9,14,.643,9,38,17,1,2,10,14,2022,bellarmine
