,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
27631,1,2023-11-07,@,Georgetown,L,57,94,21,65,.323,7,31,.226,8,16,.500,9,28,11,10,0,11,22,,37,64,.578,10,27,.370,10,19,.526,13,50,23,9,3,16,16,2024,le-moyne
27632,2,2023-11-10,@,Villanova,L,57,83,21,59,.356,9,25,.360,6,10,.600,4,21,14,6,5,6,14,,28,59,.475,15,38,.395,12,13,.923,7,41,17,5,4,8,12,2024,le-moyne
27633,3,2023-11-13,,SUNY-Canton,W,105,46,44,73,.603,12,36,.333,5,9,.556,4,40,24,13,6,5,10,,17,64,.266,7,31,.226,5,6,.833,10,35,6,4,1,20,8,2024,le-moyne
27634,4,2023-11-17,@,San Diego,L,71,80,27,61,.443,11,33,.333,6,14,.429,7,28,19,11,2,13,19,,29,53,.547,8,18,.444,14,22,.636,7,35,16,8,0,17,16,2024,le-moyne
27635,5,2023-11-19,@,UCSB,L,72,96,26,61,.426,10,27,.370,10,14,.714,8,17,12,9,2,8,15,,37,60,.617,11,25,.440,11,12,.917,11,38,26,3,4,17,12,2024,le-moyne
27636,6,2023-11-21,@,Cal State Northridge,W,80,70,19,50,.380,11,32,.344,31,34,.912,6,27,18,11,5,12,13,,32,69,.464,3,17,.176,3,5,.600,14,36,13,8,2,16,20,2024,le-moyne
27637,7,2023-11-24,@,Pacific,L,71,73,24,62,.387,5,25,.200,18,20,.900,8,34,8,9,3,7,16,,24,53,.453,9,25,.360,16,27,.593,5,33,16,5,1,11,16,2024,le-moyne
27638,8,2023-11-29,,Fredonia State,W,92,54,30,64,.469,16,38,.421,16,20,.800,6,32,21,13,9,12,15,,20,74,.270,6,29,.207,8,9,.889,17,43,13,7,1,25,15,2024,le-moyne
27639,9,2023-12-05,@,Army,L,51,68,21,61,.344,5,22,.227,4,6,.667,5,26,13,10,2,11,12,,26,57,.456,10,29,.345,6,10,.600,9,40,13,8,8,16,7,2024,le-moyne
27640,10,2023-12-09,@,Binghamton,L,79,91,25,63,.397,12,29,.414,17,21,.810,9,25,15,4,4,6,16,,32,63,.508,12,24,.500,15,18,.833,12,38,23,3,6,8,16,2024,le-moyne
27641,11,2023-12-16,,Dartmouth,W,80,54,31,58,.534,15,33,.455,3,4,.750,6,31,17,13,2,14,17,,20,56,.357,5,28,.179,9,12,.750,11,31,10,8,2,17,7,2024,le-moyne
27642,12,2023-12-18,,Houghton,W,92,72,36,72,.500,12,30,.400,8,11,.727,11,36,25,19,3,11,9,,29,63,.460,14,32,.438,0,0,,5,31,21,1,2,23,11,2024,le-moyne
27643,13,2023-12-21,@,Penn State,L,55,72,20,55,.364,6,23,.261,9,11,.818,3,26,15,6,2,12,16,,25,63,.397,11,32,.344,11,16,.688,12,41,16,9,2,11,12,2024,le-moyne
27644,14,2023-12-30,@,Fairfield,L,72,78,28,64,.438,8,27,.296,8,8,1.000,10,32,19,9,4,20,19,,25,60,.417,7,25,.280,21,27,.778,15,37,15,14,1,15,11,2024,le-moyne
27645,15,2024-01-06,@,FDU,W,74,63,24,55,.436,9,24,.375,17,21,.810,6,34,14,7,1,14,13,,22,64,.344,9,38,.237,10,13,.769,11,37,13,8,1,12,16,2024,le-moyne
27646,16,2024-01-13,,Merrimack,L,62,66,21,54,.389,9,21,.429,11,13,.846,11,39,11,3,4,14,18,,25,58,.431,8,24,.333,8,14,.571,7,27,12,8,2,8,18,2024,le-moyne
27647,17,2024-01-15,,Sacred Heart,L,73,80,24,61,.393,10,33,.303,15,18,.833,14,31,14,5,4,14,18,,24,52,.462,11,26,.423,21,24,.875,4,25,13,4,3,9,17,2024,le-moyne
27648,18,2024-01-19,@,Central Connecticut,W,75,73,28,62,.452,13,31,.419,6,7,.857,7,29,15,9,5,10,13,,28,65,.431,7,23,.304,10,16,.625,13,38,11,7,3,10,11,2024,le-moyne
27649,19,2024-01-20,@,Central Connecticut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024,le-moyne
27650,20,2024-01-21,,Saint Francis (PA),W,94,57,34,57,.596,18,34,.529,8,11,.727,3,27,23,6,4,5,15,,21,54,.389,6,20,.300,9,16,.563,7,27,10,1,0,12,10,2024,le-moyne
