,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
28661,1,2023-11-06,@,Evansville,L,64,72,25,52,.481,10,20,.500,4,11,.364,5,33,15,7,1,19,25,,23,51,.451,5,15,.333,21,30,.700,5,30,10,11,4,13,16,2024,miami-oh
28662,2,2023-11-11,,Texas State,L,65,75,20,48,.417,5,18,.278,20,28,.714,6,25,10,8,5,14,18,,29,63,.460,6,15,.400,11,21,.524,15,37,14,9,4,15,27,2024,miami-oh
28663,3,2023-11-17,,Coppin State,W,76,48,27,51,.529,12,29,.414,10,16,.625,7,33,21,8,3,14,14,,19,52,.365,2,16,.125,8,16,.500,8,27,4,9,1,18,20,2024,miami-oh
28664,4,2023-11-19,,Eastern Illinois,W,76,64,19,41,.463,7,17,.412,31,39,.795,4,27,9,8,5,13,13,,25,62,.403,4,18,.222,10,11,.909,10,30,8,7,3,16,29,2024,miami-oh
28665,5,2023-11-25,@,St. Bonaventure,L,60,90,22,56,.393,7,27,.259,9,10,.900,5,19,13,0,1,10,11,,36,65,.554,11,25,.440,7,8,.875,13,40,20,4,6,9,14,2024,miami-oh
28666,6,2023-11-28,,Spalding,W,82,43,27,63,.429,7,23,.304,21,32,.656,17,52,18,6,3,10,19,,15,54,.278,4,16,.250,9,13,.692,3,27,4,4,4,11,21,2024,miami-oh
28667,7,2023-12-02,@,Marshall,W,79,74,26,60,.433,13,26,.500,14,21,.667,4,28,20,9,3,10,24,,23,64,.359,8,27,.296,20,27,.741,14,44,11,3,8,15,19,2024,miami-oh
28668,8,2023-12-06,@,Ohio State,L,64,84,24,55,.436,7,12,.583,9,11,.818,10,24,9,5,2,15,19,,28,62,.452,9,23,.391,19,25,.760,17,37,19,5,4,9,14,2024,miami-oh
28669,9,2023-12-09,@,Davidson,L,61,79,19,51,.373,9,28,.321,14,16,.875,3,22,13,4,0,11,16,,30,62,.484,5,24,.208,14,14,1.000,12,41,12,8,2,8,13,2024,miami-oh
28670,10,2023-12-19,@,Wright State,L,82,92,31,63,.492,11,25,.440,9,11,.818,6,24,18,4,1,13,17,,38,57,.667,2,9,.222,14,17,.824,3,25,17,9,3,12,13,2024,miami-oh
28671,11,2023-12-22,,Vermont,W,70,69,24,55,.436,10,28,.357,12,19,.632,5,29,10,5,0,6,21,,23,46,.500,6,19,.316,17,28,.607,4,29,10,3,0,12,17,2024,miami-oh
28672,12,2023-12-29,,Wilberforce,W,119,69,45,74,.608,9,23,.391,20,35,.571,16,51,27,8,6,13,18,,24,66,.364,6,23,.261,15,19,.789,4,19,10,9,5,19,26,2024,miami-oh
28673,13,2024-01-02,,Western Michigan,L,74,83,23,56,.411,7,19,.368,21,35,.600,4,24,17,6,1,8,24,,29,62,.468,5,21,.238,20,28,.714,9,38,14,2,7,12,26,2024,miami-oh
28674,14,2024-01-05,@,Toledo,L,64,68,26,60,.433,9,28,.321,3,5,.600,10,31,18,6,2,10,15,,26,55,.473,4,16,.250,12,14,.857,6,28,11,5,3,8,10,2024,miami-oh
28675,15,2024-01-09,@,Buffalo,W,86,65,38,58,.655,5,14,.357,5,6,.833,5,22,20,7,1,7,12,,26,56,.464,7,22,.318,6,7,.857,11,25,12,6,5,13,11,2024,miami-oh
28676,16,2024-01-13,,Eastern Michigan,W,71,54,23,50,.460,7,20,.350,18,21,.857,7,38,15,5,5,11,17,,18,58,.310,4,20,.200,14,19,.737,10,30,11,5,1,9,20,2024,miami-oh
28677,17,2024-01-16,,Bowling Green State,L,73,78,28,57,.491,7,18,.389,10,15,.667,5,33,20,4,3,13,23,,26,57,.456,7,20,.350,19,31,.613,9,32,12,8,2,9,15,2024,miami-oh
