,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
30931,1,2023-11-06,N,Rutgers,W,68,61,26,60,.433,9,20,.450,7,11,.636,14,34,11,5,2,12,11,,25,62,.403,4,14,.286,7,7,1.000,11,34,14,7,6,9,16,2024,princeton
30932,2,2023-11-10,@,Hofstra,W,74,67,24,54,.444,12,34,.353,14,17,.824,7,31,12,7,3,10,10,,25,57,.439,8,24,.333,9,11,.818,6,25,16,5,2,13,18,2024,princeton
30933,3,2023-11-15,@,Duquesne,W,70,67,27,50,.540,7,20,.350,9,10,.900,4,23,12,6,1,12,17,,23,53,.434,7,21,.333,14,17,.824,8,24,11,7,4,13,15,2024,princeton
30934,4,2023-11-18,@,Monmouth,W,82,57,26,64,.406,11,34,.324,19,23,.826,11,39,9,8,2,8,13,,20,57,.351,5,17,.294,12,15,.800,10,35,10,4,5,12,20,2024,princeton
30935,5,2023-11-22,@,Old Dominion,W,76,56,26,55,.473,13,33,.394,11,14,.786,8,35,17,7,0,9,13,,20,55,.364,9,18,.500,7,11,.636,10,31,10,7,3,11,14,2024,princeton
30936,6,2023-11-25,,Northeastern,W,80,66,28,57,.491,9,24,.375,15,16,.938,12,27,13,4,3,6,13,,25,50,.500,6,18,.333,10,11,.909,8,24,13,5,2,12,18,2024,princeton
30937,7,2023-11-29,@,Bucknell,W,85,71,33,56,.589,10,23,.435,9,11,.818,2,20,20,6,4,4,13,,25,49,.510,9,18,.500,12,15,.800,4,21,12,2,4,10,13,2024,princeton
30938,8,2023-12-02,,Furman,W,70,69,24,67,.358,4,31,.129,18,25,.720,11,31,11,12,1,6,14,,25,51,.490,8,23,.348,11,19,.579,5,35,13,2,1,19,20,2024,princeton
30939,9,2023-12-05,,Drexel,W,81,70,34,59,.576,8,25,.320,5,7,.714,3,26,18,4,3,7,17,,23,64,.359,4,18,.222,20,24,.833,16,37,5,4,1,7,15,2024,princeton
30940,10,2023-12-10,@,St. Joseph's,L,70,74,26,55,.473,16,38,.421,2,6,.333,10,27,13,1,1,12,16,,27,59,.458,7,26,.269,13,16,.813,11,28,9,8,5,8,11,2024,princeton
30941,11,2023-12-13,,Bryn Athyn,W,92,40,34,68,.500,13,32,.406,11,13,.846,17,52,25,11,8,8,11,,13,52,.250,4,16,.250,10,14,.714,4,20,5,4,2,13,11,2024,princeton
30942,12,2023-12-22,,Delaware Valley,W,84,53,29,66,.439,14,34,.412,12,13,.923,15,49,22,7,6,14,9,,20,60,.333,6,25,.240,7,11,.636,3,18,5,11,3,9,11,2024,princeton
30943,13,2023-12-30,@,Delaware,W,84,82,30,60,.500,11,30,.367,13,17,.765,5,29,18,2,1,9,13,,34,61,.557,7,19,.368,7,8,.875,4,28,19,4,1,8,17,2024,princeton
30944,14,2024-01-06,,Harvard,W,89,58,32,65,.492,15,36,.417,10,12,.833,3,31,18,7,1,3,11,,23,53,.434,5,21,.238,7,11,.636,4,28,12,1,4,13,14,2024,princeton
30945,15,2024-01-15,,Dartmouth,W,76,58,23,51,.451,11,26,.423,19,23,.826,4,30,13,4,1,5,16,,22,51,.431,7,17,.412,7,12,.583,5,28,13,4,2,10,22,2024,princeton
30946,16,2024-01-20,@,Columbia,W,70,62,26,52,.500,6,19,.316,12,15,.800,3,31,13,5,6,14,9,,26,62,.419,7,27,.259,3,4,.750,5,27,11,7,2,14,15,2024,princeton
30947,17,2024-01-27,@,Cornell,L,68,83,19,59,.322,5,27,.185,25,33,.758,8,29,9,5,3,6,12,,34,59,.576,9,25,.360,6,9,.667,6,35,18,5,3,9,25,2024,princeton
30948,18,2024-02-02,@,Yale,L,64,70,24,59,.407,13,33,.394,3,3,1.000,2,23,17,2,2,5,17,,25,52,.481,7,20,.350,13,25,.520,7,34,12,3,4,7,8,2024,princeton
30949,19,2024-02-03,@,Brown,W,70,60,22,50,.440,6,22,.273,20,21,.952,3,33,6,2,1,7,13,,21,64,.328,9,32,.281,9,11,.818,11,28,10,5,3,4,19,2024,princeton
30950,20,2024-02-10,,Penn,W,77,70,26,58,.448,16,38,.421,9,14,.643,5,29,15,3,0,6,10,,24,54,.444,7,21,.333,15,17,.882,6,36,11,5,1,8,14,2024,princeton
30951,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2024,princeton
30952,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2024,princeton
30953,21,2024-02-16,,Brown,W,72,63,20,49,.408,6,25,.240,26,31,.839,6,28,15,6,2,4,12,,25,57,.439,11,29,.379,2,5,.400,12,31,15,3,2,12,21,2024,princeton
30954,22,2024-02-17,,Yale,W,73,62,25,52,.481,6,23,.261,17,18,.944,5,29,14,3,1,4,14,,22,53,.415,6,18,.333,12,15,.800,5,27,6,3,1,8,20,2024,princeton
30955,23,2024-02-23,@,Harvard,W,66,53,20,57,.351,13,33,.394,13,18,.722,6,34,13,8,0,4,13,,20,53,.377,5,22,.227,8,12,.667,5,31,8,1,4,10,15,2024,princeton
30956,24,2024-02-24,@,Dartmouth,W,68,56,22,52,.423,10,35,.286,14,17,.824,4,27,15,6,1,5,16,,20,46,.435,8,21,.381,8,13,.615,5,27,12,1,2,14,16,2024,princeton
30957,25,2024-03-01,,Columbia,W,84,70,28,58,.483,13,33,.394,15,15,1.000,4,23,17,8,0,6,9,,27,56,.482,11,28,.393,5,9,.556,8,34,13,5,2,15,17,2024,princeton
30958,26,2024-03-02,,Cornell,W,79,77,26,59,.441,9,27,.333,18,23,.783,8,33,10,6,0,6,16,,29,61,.475,9,32,.281,10,14,.714,9,33,15,5,3,10,21,2024,princeton
30959,27,2024-03-09,@,Penn,W,105,83,36,62,.581,17,27,.630,16,19,.842,7,32,21,2,0,3,20,,31,55,.564,4,20,.200,17,26,.654,2,22,14,3,1,4,15,2024,princeton
30960,28,2024-03-16,N,Brown,L,81,90,30,73,.411,9,35,.257,12,17,.706,12,30,10,13,0,11,20,,33,59,.559,8,22,.364,16,22,.727,8,38,24,9,5,16,18,2024,princeton
30961,29,2024-03-20,,UNLV,L,77,84,31,68,.456,12,37,.324,3,6,.500,5,21,15,13,2,8,14,,31,51,.608,8,17,.471,14,19,.737,4,36,13,5,2,16,8,2024,princeton
