,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
31040,1,2023-11-06,@,Marshall,L,73,89,27,70,.386,7,26,.269,12,20,.600,13,40,15,10,4,18,14,,36,74,.486,8,26,.308,9,16,.563,12,36,15,11,9,12,18,2024,queens-nc
31041,2,2023-11-10,@,Southern Illinois,L,68,91,23,51,.451,5,22,.227,17,25,.680,7,25,10,5,4,16,17,,32,64,.500,8,25,.320,19,23,.826,7,28,23,8,3,7,22,2024,queens-nc
31042,3,2023-11-14,,High Point,W,74,72,24,65,.369,11,28,.393,15,21,.714,5,26,13,6,1,5,16,,29,65,.446,8,22,.364,6,12,.500,16,46,8,4,11,12,16,2024,queens-nc
31043,4,2023-11-18,N,Fairfield,W,69,63,24,58,.414,7,25,.280,14,18,.778,8,34,15,7,1,9,18,,22,52,.423,6,23,.261,13,17,.765,3,26,10,4,2,15,18,2024,queens-nc
31044,5,2023-11-19,@,Drexel,L,52,62,19,58,.328,6,20,.300,8,14,.571,11,30,9,4,0,9,17,,26,55,.473,2,16,.125,8,14,.571,10,37,10,4,7,12,13,2024,queens-nc
31045,6,2023-11-22,,FDU,W,97,84,33,68,.485,9,28,.321,22,28,.786,8,34,17,5,6,11,20,,28,66,.424,9,31,.290,19,25,.760,11,31,12,7,3,13,21,2024,queens-nc
31046,7,2023-11-25,@,Richmond,L,61,90,23,72,.319,10,40,.250,5,10,.500,11,39,10,4,3,14,11,,39,74,.527,8,25,.320,4,4,1.000,5,43,14,8,4,6,11,2024,queens-nc
31047,8,2023-11-29,,Gardner-Webb,W,83,80,27,68,.397,11,27,.407,18,26,.692,16,40,16,5,3,13,23,,26,66,.394,3,17,.176,25,31,.806,13,36,11,7,5,9,22,2024,queens-nc
31048,9,2023-12-01,,,W,134,69,49,84,.583,22,41,.537,14,19,.737,20,52,31,10,4,8,19,,17,55,.309,11,26,.423,24,25,.960,5,19,9,5,2,15,14,2024,queens-nc
31049,10,2023-12-05,@,Winthrop,L,82,88,28,72,.389,8,31,.258,18,20,.900,13,38,16,10,8,15,24,,28,65,.431,6,21,.286,26,35,.743,11,38,11,8,4,14,22,2024,queens-nc
31050,11,2023-12-09,,Carolina,W,112,64,42,69,.609,12,32,.375,16,23,.696,17,45,22,14,2,11,13,,22,63,.349,11,40,.275,9,10,.900,9,22,10,5,2,17,18,2024,queens-nc
31051,12,2023-12-13,,Appalachian State,L,81,93,28,55,.509,11,26,.423,14,16,.875,3,21,13,4,1,13,18,,34,61,.557,9,24,.375,16,18,.889,7,30,19,9,5,9,16,2024,queens-nc
31052,13,2023-12-19,@,Mercer,L,65,84,20,53,.377,7,26,.269,18,28,.643,3,25,10,6,1,12,10,,35,65,.538,7,15,.467,7,12,.583,9,37,17,7,5,11,23,2024,queens-nc
31053,14,2023-12-22,@,Clemson,L,79,109,28,74,.378,14,42,.333,9,13,.692,8,27,12,6,2,10,15,,43,68,.632,10,19,.526,13,17,.765,6,35,24,6,6,7,10,2024,queens-nc
31054,15,2023-12-30,@,Duke,L,69,106,25,59,.424,7,22,.318,12,19,.632,9,29,11,7,2,19,20,,40,69,.580,9,26,.346,17,23,.739,9,35,24,11,11,9,18,2024,queens-nc
31055,16,2024-01-06,@,Kennesaw State,L,77,80,30,69,.435,9,26,.346,8,12,.667,9,33,10,9,2,15,22,,30,69,.435,8,26,.308,12,17,.706,11,37,10,7,8,14,16,2024,queens-nc
31056,17,2024-01-10,,Florida Gulf Coast,W,78,75,30,62,.484,11,31,.355,7,11,.636,2,34,15,4,4,9,13,,29,64,.453,8,25,.320,9,16,.563,6,36,9,5,2,10,13,2024,queens-nc
31057,18,2024-01-12,,Stetson,L,66,84,27,57,.474,4,18,.222,8,11,.727,4,24,12,9,3,12,13,,32,63,.508,9,22,.409,11,16,.688,10,33,12,8,4,10,13,2024,queens-nc
