,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
32337,1,2023-11-06,@,Saint Louis,L,63,75,27,65,.415,4,18,.222,5,8,.625,8,41,14,2,8,12,22,,24,66,.364,9,21,.429,18,28,.643,12,43,13,7,1,6,14,2024,southern-indiana
32338,2,2023-11-09,@,Michigan State,L,51,74,19,60,.317,8,27,.296,5,11,.455,11,31,11,7,0,15,21,,25,52,.481,1,11,.091,23,28,.821,6,34,21,8,4,11,14,2024,southern-indiana
32339,3,2023-11-12,,Chicago State,L,67,78,24,57,.421,4,18,.222,15,22,.682,13,39,12,7,1,20,19,,27,64,.422,7,21,.333,17,22,.773,10,29,15,12,3,10,18,2024,southern-indiana
32340,4,2023-11-14,,Tiffin,W,68,65,27,59,.458,4,15,.267,10,11,.909,7,30,10,9,5,12,11,,25,58,.431,8,20,.400,7,11,.636,7,25,9,6,1,11,13,2024,southern-indiana
32341,5,2023-11-18,@,La Salle,L,78,79,32,60,.533,10,23,.435,4,6,.667,4,28,20,3,3,11,19,,27,57,.474,7,18,.389,18,21,.857,3,23,13,4,3,7,13,2024,southern-indiana
32342,6,2023-11-20,@,Bucknell,L,56,67,19,57,.333,8,28,.286,10,15,.667,4,29,11,7,6,13,23,,18,47,.383,9,24,.375,22,27,.815,4,32,9,10,3,14,17,2024,southern-indiana
32343,7,2023-11-24,@,Duke,L,62,80,24,58,.414,9,21,.429,5,6,.833,8,32,15,4,4,10,19,,29,60,.483,5,18,.278,17,28,.607,12,33,13,4,4,7,9,2024,southern-indiana
32344,8,2023-11-28,,East-West,W,107,49,34,64,.531,12,35,.343,27,36,.750,9,46,23,9,2,9,16,,16,59,.271,4,21,.190,13,17,.765,5,26,6,5,3,18,24,2024,southern-indiana
32345,9,2023-12-02,,Bowling Green State,L,52,54,17,54,.315,5,16,.313,13,20,.650,11,43,8,7,6,17,20,,18,63,.286,5,21,.238,13,19,.684,11,35,7,8,3,12,19,2024,southern-indiana
32346,10,2023-12-06,,Purdue Fort Wayne,L,57,70,22,61,.361,4,18,.222,9,16,.563,12,41,14,5,5,17,19,,22,63,.349,8,31,.258,18,25,.720,11,37,9,13,2,9,17,2024,southern-indiana
32347,11,2023-12-09,@,Indiana State,L,54,98,21,58,.362,4,19,.211,8,12,.667,3,27,6,7,5,15,17,,35,71,.493,14,36,.389,14,16,.875,11,46,27,6,2,10,14,2024,southern-indiana
32348,12,2023-12-19,,St. Francis (IL),W,79,47,27,58,.466,12,23,.522,13,19,.684,8,35,14,8,7,7,18,,19,53,.358,2,12,.167,7,15,.467,7,26,8,3,1,13,15,2024,southern-indiana
32349,13,2023-12-22,@,Southern Illinois,L,50,81,14,55,.255,4,18,.222,18,26,.692,12,34,8,4,4,10,21,,25,48,.521,9,22,.409,22,29,.759,5,29,16,3,5,10,22,2024,southern-indiana
32350,14,2023-12-29,@,Southeast Missouri State,L (1 OT),91,93,30,67,.448,5,20,.250,26,33,.788,8,36,13,7,3,18,26,,32,70,.457,8,18,.444,21,34,.618,12,39,18,9,6,14,24,2024,southern-indiana
