,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
32754,1,2023-11-06,@,Virginia,L,50,80,16,48,.333,3,13,.231,15,21,.714,5,24,8,6,3,15,28,,23,47,.489,10,22,.455,24,39,.615,10,39,15,9,5,8,19,2024,tarleton-state
32755,2,2023-11-09,@,Florida International,W,82,65,31,60,.517,8,19,.421,12,18,.667,17,43,15,13,6,23,17,,23,58,.397,8,32,.250,11,17,.647,8,21,14,17,6,20,13,2024,tarleton-state
32756,3,2023-11-11,,North Texas at Dallas,W,93,52,33,63,.524,4,14,.286,23,29,.793,12,37,14,8,2,11,22,,15,46,.326,3,16,.188,19,28,.679,7,23,7,6,3,18,26,2024,tarleton-state
32757,4,2023-11-14,@,Bradley,L,63,86,21,55,.382,3,14,.214,18,20,.900,10,27,6,11,1,13,12,,32,52,.615,17,28,.607,5,11,.455,3,26,22,5,3,15,16,2024,tarleton-state
32758,5,2023-11-20,N,Austin Peay,W,66,59,26,57,.456,7,24,.292,7,9,.778,9,25,13,7,3,9,9,,23,54,.426,6,12,.500,7,8,.875,10,29,7,6,1,13,14,2024,tarleton-state
32759,6,2023-11-22,N,Cal State Bakersfield,W,59,40,22,57,.386,8,21,.381,7,9,.778,16,37,8,6,0,9,14,,15,45,.333,1,17,.059,9,13,.692,7,25,8,3,4,10,13,2024,tarleton-state
32760,7,2023-11-29,@,Stephen F. Austin,W,68,66,25,62,.403,4,16,.250,14,19,.737,10,33,8,10,4,11,19,,22,57,.386,5,20,.250,17,26,.654,15,39,14,4,4,16,19,2024,tarleton-state
32761,8,2023-12-02,,Texas-Rio Grande Valley,W,77,75,28,62,.452,3,13,.231,18,23,.783,13,35,13,11,9,13,23,,25,55,.455,6,14,.429,19,26,.731,10,28,10,10,1,17,21,2024,tarleton-state
32762,9,2023-12-05,,Hardin-Simmons,W,92,56,36,67,.537,4,17,.235,16,23,.696,12,38,17,18,2,9,10,,23,52,.442,9,22,.409,1,11,.091,5,24,16,6,9,23,17,2024,tarleton-state
32763,10,2023-12-12,,,W,85,47,35,75,.467,4,19,.211,11,19,.579,13,41,17,15,5,8,12,,18,56,.321,4,19,.211,7,12,.583,10,30,11,5,4,22,17,2024,tarleton-state
32764,11,2023-12-18,,Jacksonville State,L,62,65,24,60,.400,7,20,.350,7,9,.778,7,28,14,10,1,7,20,,23,55,.418,4,16,.250,15,20,.750,10,37,9,5,6,12,15,2024,tarleton-state
32765,12,2023-12-21,@,Tennessee,L,46,65,18,60,.300,2,22,.091,8,11,.727,12,34,11,7,4,10,22,,20,55,.364,8,25,.320,17,22,.773,12,38,13,1,6,8,12,2024,tarleton-state
32766,13,2023-12-29,@,Loyola Marymount,W,79,66,32,55,.582,4,12,.333,11,15,.733,9,28,18,1,4,6,16,,26,63,.413,4,23,.174,10,14,.714,14,27,11,4,2,6,15,2024,tarleton-state
32767,14,2024-01-04,,UT Arlington,W,78,76,27,57,.474,12,21,.571,12,16,.750,8,29,15,10,2,12,21,,24,51,.471,9,24,.375,19,25,.760,6,28,11,6,3,16,16,2024,tarleton-state
32768,15,2024-01-11,@,California Baptist,L,63,77,25,56,.446,3,11,.273,10,14,.714,5,20,12,7,6,8,14,,30,63,.476,6,21,.286,11,15,.733,17,42,13,4,7,10,10,2024,tarleton-state
32769,16,2024-01-13,@,Grand Canyon,L,48,74,20,63,.317,5,18,.278,3,6,.500,8,22,9,7,3,7,18,,27,53,.509,8,15,.533,12,17,.706,11,43,12,3,6,10,13,2024,tarleton-state
32770,17,2024-01-18,,Abilene Christian,W,79,71,30,57,.526,6,15,.400,13,24,.542,10,36,16,5,5,9,19,,24,61,.393,9,18,.500,14,17,.824,8,30,13,6,3,9,21,2024,tarleton-state
32771,18,2024-01-20,@,Texas-Rio Grande Valley,W,77,73,31,67,.463,1,11,.091,14,19,.737,12,36,17,8,3,10,15,,25,53,.472,11,26,.423,12,18,.667,4,29,19,3,2,14,16,2024,tarleton-state
32772,19,2024-01-25,,Southern Utah,L,70,73,27,64,.422,3,20,.150,13,16,.813,16,39,10,7,1,14,20,,25,49,.510,5,15,.333,18,26,.692,6,23,10,9,3,10,17,2024,tarleton-state
32773,20,2024-01-27,,Utah Tech,W,86,68,29,57,.509,7,18,.389,21,22,.955,7,27,19,12,3,12,18,,24,55,.436,8,22,.364,12,19,.632,8,28,8,4,2,21,18,2024,tarleton-state
32774,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2024,tarleton-state
32775,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2024,tarleton-state
32776,21,2024-02-01,@,Abilene Christian,W (1 OT),76,73,28,66,.424,6,17,.353,14,18,.778,13,38,6,7,4,11,19,,28,57,.491,5,16,.313,12,21,.571,7,33,8,7,3,13,18,2024,tarleton-state
32777,22,2024-02-03,,Stephen F. Austin,W,75,64,22,43,.512,11,20,.550,20,27,.741,2,21,14,16,4,14,20,,21,51,.412,6,19,.316,16,26,.615,12,32,6,8,2,20,18,2024,tarleton-state
32778,23,2024-02-08,@,Utah Valley,W,72,61,27,60,.450,8,15,.533,10,14,.714,6,34,17,11,4,12,18,,21,60,.350,4,19,.211,15,20,.750,13,39,15,2,6,15,16,2024,tarleton-state
32779,24,2024-02-10,@,Seattle,W,82,77,27,59,.458,11,18,.611,17,21,.810,6,25,15,8,4,7,20,,27,57,.474,6,15,.400,17,23,.739,11,37,15,4,3,12,20,2024,tarleton-state
32780,25,2024-02-15,@,UT Arlington,W,80,78,26,52,.500,7,21,.333,21,25,.840,4,22,19,6,3,13,23,,23,58,.397,7,28,.250,25,28,.893,13,32,11,9,4,13,20,2024,tarleton-state
32781,26,2024-02-22,,Grand Canyon,W,77,74,22,56,.393,4,19,.211,29,40,.725,12,34,7,8,3,7,18,,27,63,.429,8,27,.296,12,17,.706,13,35,10,6,3,12,26,2024,tarleton-state
32782,27,2024-02-24,,California Baptist,W,82,65,32,57,.561,9,17,.529,9,12,.750,2,19,14,11,5,5,16,,23,47,.489,6,16,.375,13,17,.765,7,29,9,0,1,16,13,2024,tarleton-state
32783,28,2024-02-29,@,Utah Tech,W,85,74,29,62,.468,5,18,.278,22,26,.846,11,32,15,12,2,10,23,,26,54,.481,4,16,.250,18,30,.600,7,30,10,6,5,16,20,2024,tarleton-state
32784,29,2024-03-02,@,Southern Utah,W,88,83,33,64,.516,5,14,.357,17,20,.850,11,27,13,11,4,9,18,,28,57,.491,9,21,.429,18,22,.818,10,27,15,6,5,16,20,2024,tarleton-state
32785,30,2024-03-07,,Utah Valley,L,60,63,24,66,.364,4,21,.190,8,10,.800,9,37,14,5,4,11,18,,26,66,.394,0,12,.000,11,22,.500,18,45,9,6,4,9,11,2024,tarleton-state
32786,31,2024-03-09,,Seattle,W,69,66,29,58,.500,4,15,.267,7,13,.538,5,34,16,5,8,9,10,,26,67,.388,9,27,.333,5,5,1.000,9,35,12,6,1,9,14,2024,tarleton-state
32787,32,2024-03-15,N,UT Arlington,L,84,87,28,56,.500,8,20,.400,20,22,.909,7,21,17,5,3,9,18,,32,57,.561,9,23,.391,14,16,.875,8,28,18,3,3,10,19,2024,tarleton-state
32788,33,2024-03-19,,Texas Southern,W,82,71,30,64,.469,7,23,.304,15,19,.789,11,38,19,3,4,9,12,,27,64,.422,7,23,.304,10,12,.833,6,29,9,7,2,9,18,2024,tarleton-state
32789,34,2024-03-20,,Abilene Christian,W,86,59,34,65,.523,9,24,.375,9,13,.692,8,33,23,11,3,7,9,,22,55,.400,7,21,.333,8,11,.727,7,29,10,4,2,14,12,2024,tarleton-state
32790,35,2024-03-25,,Purdue Fort Wayne,L,72,73,24,61,.393,7,23,.304,17,23,.739,8,33,13,10,2,13,14,,30,63,.476,7,21,.333,6,9,.667,8,37,13,10,2,15,18,2024,tarleton-state
