,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
34452,1,2024-11-04,,North Alabama,L,57,73,18,46,.391,9,26,.346,12,17,.706,5,30,13,2,4,13,12,,27,58,.466,15,29,.517,4,9,.444,5,31,13,6,3,5,19,2025,air-force
34453,2,2024-11-07,,Jacksonville State,W,73,67,26,54,.481,12,31,.387,9,16,.563,8,27,19,5,6,8,19,,23,54,.426,6,20,.300,15,19,.789,9,32,9,3,2,14,21,2025,air-force
34454,3,2024-11-11,,LIU,L,54,63,14,39,.359,4,20,.200,22,28,.786,4,22,10,7,5,9,17,,22,56,.393,6,18,.333,13,19,.684,12,34,11,5,0,9,25,2025,air-force
34455,4,2024-11-15,,Belmont,L,71,79,25,54,.463,7,25,.280,14,22,.636,8,28,22,4,1,8,21,,24,55,.436,13,31,.419,18,24,.750,12,36,18,2,2,7,23,2025,air-force
34456,5,2024-11-21,@,California,L,69,78,26,51,.510,11,24,.458,6,11,.545,4,19,13,8,4,15,22,,28,52,.538,4,13,.308,18,27,.667,11,32,8,9,4,14,16,2025,air-force
34457,6,2024-11-24,,Mercyhurst,W,82,48,31,48,.646,15,21,.714,5,9,.556,4,33,26,4,2,11,15,,17,51,.333,4,21,.190,10,14,.714,5,18,9,7,5,6,13,2025,air-force
34458,7,2024-11-27,,Sacramento State,L,61,63,18,52,.346,8,28,.286,17,29,.586,7,34,14,5,4,4,19,,22,56,.393,9,21,.429,10,14,.714,10,37,13,4,3,12,27,2025,air-force
34459,8,2024-11-30,@,Wright State,L,57,70,21,53,.396,5,20,.250,10,15,.667,12,39,9,3,3,14,17,,27,52,.519,9,20,.450,7,12,.583,1,21,17,8,1,7,18,2025,air-force
34460,9,2024-12-02,@,Miami (OH),L,60,73,23,47,.489,10,22,.455,4,13,.308,3,17,14,5,3,11,12,,30,53,.566,4,13,.308,9,15,.600,4,26,12,7,2,8,14,2025,air-force
34461,10,2024-12-07,N,Stony Brook,W,69,61,24,42,.571,6,18,.333,15,19,.789,2,26,16,9,4,19,15,,22,59,.373,3,21,.143,14,17,.824,12,27,12,8,2,16,18,2025,air-force
34462,11,2024-12-16,@,Northern Colorado,L,76,81,28,55,.509,1,18,.056,19,33,.576,3,20,5,8,1,6,19,,28,53,.528,5,13,.385,20,23,.870,7,38,12,0,1,13,25,2025,air-force
