,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
34486,1,2024-11-04,@,Arkansas State,L (1 OT),75,80,28,79,.354,10,34,.294,9,13,.692,16,46,19,9,3,14,11,,34,73,.466,9,30,.300,3,6,.500,11,44,14,8,9,13,10,2025,akron
34487,2,2024-11-08,,Ohio Wesleyan,W,88,57,35,64,.547,15,35,.429,3,3,1.000,8,33,28,12,5,10,13,,21,54,.389,10,29,.345,5,8,.625,4,24,11,6,0,16,9,2025,akron
34488,3,2024-11-12,@,Saint Mary's,L,68,87,24,65,.369,13,28,.464,7,8,.875,7,25,18,9,3,10,17,,35,70,.500,5,19,.263,12,18,.667,18,53,23,8,4,11,11,2025,akron
34489,4,2024-11-22,,Lamar,W,79,72,26,70,.371,6,33,.182,21,31,.677,17,39,13,6,4,9,28,,22,52,.423,4,17,.235,24,33,.727,7,33,7,2,4,17,24,2025,akron
34490,5,2024-11-23,,Omaha,W,92,84,35,66,.530,18,39,.462,4,9,.444,10,23,26,7,3,8,19,,29,56,.518,6,19,.316,20,22,.909,11,31,14,3,0,12,14,2025,akron
34491,6,2024-11-24,,Alabama State,W,97,78,32,69,.464,15,35,.429,18,23,.783,15,49,21,6,1,9,14,,27,66,.409,16,33,.485,8,15,.533,7,25,13,6,2,10,19,2025,akron
34492,7,2024-12-03,,Northern Kentucky,W,86,73,26,49,.531,11,25,.440,23,28,.821,8,34,15,4,3,16,25,,24,53,.453,8,24,.333,17,28,.607,9,21,12,9,0,11,20,2025,akron
34493,8,2024-12-07,,Brockport,W,101,48,37,81,.457,13,47,.277,14,17,.824,19,60,21,8,3,8,11,,20,71,.282,3,23,.130,5,12,.417,7,33,4,5,1,13,15,2025,akron
34494,9,2024-12-15,N,Milwaukee,L,81,100,34,72,.472,8,20,.400,5,11,.455,5,24,16,10,2,17,20,,37,64,.578,11,19,.579,15,20,.750,11,43,19,12,3,22,16,2025,akron
34495,10,2024-12-20,N,Yale,L,58,74,18,58,.310,9,27,.333,13,17,.765,6,25,8,9,3,13,18,,27,56,.482,4,15,.267,16,21,.762,13,47,9,7,4,18,19,2025,akron
34496,11,2024-12-21,N,Jackson State,W,68,50,23,66,.348,9,39,.231,13,19,.684,22,52,15,10,4,21,18,,17,59,.288,6,21,.286,10,17,.588,10,32,10,13,2,15,18,2025,akron
34497,12,2024-12-30,@,Princeton,L,75,76,27,64,.422,7,23,.304,14,17,.824,9,35,9,6,3,12,16,,29,59,.492,7,20,.350,11,18,.611,5,28,13,10,5,11,14,2025,akron
34498,13,2025-01-03,@,Bowling Green State,W,71,68,26,67,.388,12,42,.286,7,9,.778,8,33,15,7,6,12,16,,23,66,.348,8,25,.320,14,21,.667,13,43,8,6,4,14,16,2025,akron
34499,14,2025-01-07,,Central Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,akron
34500,15,2025-01-11,@,Eastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,akron
34501,16,2025-01-14,,Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,akron
34502,17,2025-01-17,,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,akron
34503,18,2025-01-21,@,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,akron
34504,19,2025-01-25,,Miami (OH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,akron
