,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
34698,1,1,2024-11-04,,UNC Asheville,REG (Non-Conf),W,110,54,,38,60,.633,8,18,.444,30,42,.714,.700,26,37,.703,14,40,54,21,5,6,10,12,20,73,.274,6,26,.231,14,47,.298,.315,8,14,.571,13,12,25,8,6,2,8,22,2025,alabama
34699,2,2,2024-11-08,,Arkansas State,REG (Non-Conf),W,88,79,,27,66,.409,6,31,.194,21,35,.600,.455,28,44,.636,12,36,48,13,5,4,10,24,25,62,.403,6,28,.214,19,34,.559,.452,23,36,.639,6,28,34,11,7,5,10,28,2025,alabama
34700,3,3,2024-11-11,,McNeese State,REG (Non-Conf),W,72,64,,22,50,.440,11,34,.324,11,16,.688,.550,17,24,.708,9,22,31,16,8,5,13,12,24,61,.393,7,24,.292,17,37,.459,.451,9,11,.818,8,22,30,3,7,0,12,22,2025,alabama
34701,4,4,2024-11-15,@,Purdue,REG (Non-Conf),L,78,87,,28,63,.444,9,29,.310,19,34,.559,.516,13,15,.867,10,26,36,18,1,6,8,22,31,63,.492,9,16,.563,22,47,.468,.563,16,25,.640,10,24,34,18,2,4,3,17,2025,alabama
34702,5,5,2024-11-20,N,Illinois,REG (Non-Conf),W,100,87,,39,75,.520,11,34,.324,28,41,.683,.593,11,13,.846,5,30,35,23,7,6,7,17,32,71,.451,10,30,.333,22,41,.537,.521,13,24,.542,13,29,42,15,7,5,12,16,2025,alabama
34703,6,6,2024-11-26,N,Houston,REG (Non-Conf),W,85,80,OT,22,60,.367,11,30,.367,11,30,.367,.458,30,41,.732,17,26,43,14,5,6,14,25,24,65,.369,6,19,.316,18,46,.391,.415,26,33,.788,9,20,29,8,10,10,12,30,2025,alabama
34704,7,7,2024-11-27,N,Rutgers,REG (Non-Conf),W,95,90,,30,58,.517,10,25,.400,20,33,.606,.603,25,36,.694,13,22,35,16,6,3,19,29,29,65,.446,2,13,.154,27,52,.519,.462,30,35,.857,7,18,25,8,8,1,9,26,2025,alabama
34705,8,8,2024-11-30,N,Oregon,REG (Non-Conf),L,81,83,,27,64,.422,12,38,.316,15,26,.577,.516,15,20,.750,12,27,39,21,6,4,15,18,29,66,.439,5,17,.294,24,49,.490,.477,20,25,.800,9,24,33,19,6,3,8,21,2025,alabama
34706,9,9,2024-12-04,@,North Carolina,REG (Non-Conf),W,94,79,,35,71,.493,12,33,.364,23,38,.605,.577,12,13,.923,8,30,38,18,8,5,13,16,32,78,.410,5,28,.179,27,50,.540,.442,10,16,.625,10,26,36,12,10,2,13,14,2025,alabama
34707,10,10,2024-12-14,,Creighton,REG (Non-Conf),W,83,75,,30,70,.429,6,30,.200,24,40,.600,.471,17,22,.773,15,28,43,13,8,0,10,15,27,60,.450,8,27,.296,19,33,.576,.517,13,16,.813,4,22,26,16,6,3,13,18,2025,alabama
34708,11,11,2024-12-18,@,North Dakota,REG (Non-Conf),W,97,90,,33,63,.524,11,34,.324,22,29,.759,.611,20,30,.667,14,25,39,14,6,3,14,15,33,76,.434,17,41,.415,16,35,.457,.546,7,8,.875,14,16,30,9,8,2,11,19,2025,alabama
