,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
34617,1,2024-11-04,@,Army,L,59,67,22,60,.367,4,24,.167,11,16,.688,5,30,11,8,2,9,24,,22,50,.440,5,17,.294,18,28,.643,7,36,11,4,3,12,18,2025,albany-ny
34618,2,2024-11-09,,SUNY-Oneonta,W,89,69,38,80,.475,6,23,.261,7,14,.500,16,38,15,10,3,5,27,,24,48,.500,3,11,.273,18,32,.563,4,28,12,4,4,15,16,2025,albany-ny
34619,3,2024-11-13,@,Dartmouth,W,87,73,33,74,.446,10,31,.323,11,14,.786,12,34,14,9,1,5,23,,24,47,.511,3,12,.250,22,31,.710,4,31,10,2,2,15,17,2025,albany-ny
34620,4,2024-11-16,,Siena,W,70,60,24,52,.462,3,8,.375,19,24,.792,9,33,5,10,1,11,17,,21,58,.362,8,24,.333,10,13,.769,11,25,11,7,5,14,20,2025,albany-ny
34621,5,2024-11-22,N,Puerto Rico–Mayaguez,W,93,50,34,61,.557,15,28,.536,10,16,.625,11,42,20,12,2,15,25,,17,50,.340,5,19,.263,11,23,.478,7,19,4,4,1,19,13,2025,albany-ny
34622,6,2024-11-23,N,Kansas City,W,67,65,23,48,.479,5,19,.263,16,23,.696,4,16,11,9,0,8,22,,19,45,.422,9,27,.333,18,29,.621,11,35,14,3,3,14,19,2025,albany-ny
34623,7,2024-11-24,N,American,L,77,81,27,60,.450,4,13,.308,19,26,.731,8,25,8,4,0,10,21,,29,45,.644,9,16,.563,14,24,.583,4,24,13,3,7,16,25,2025,albany-ny
34624,8,2024-11-30,@,Georgetown,L,68,100,20,56,.357,7,22,.318,21,24,.875,7,21,6,14,1,17,14,,41,65,.631,9,22,.409,9,9,1.000,6,33,26,12,3,15,17,2025,albany-ny
34625,9,2024-12-04,,Columbia,W,88,73,32,67,.478,15,33,.455,9,12,.750,9,29,20,15,1,11,20,,24,46,.522,6,14,.429,19,26,.731,5,28,16,8,0,19,12,2025,albany-ny
34626,10,2024-12-07,@,Boston University,L (1 OT),74,80,26,62,.419,11,22,.500,11,14,.786,5,20,13,11,2,9,21,,28,52,.538,9,24,.375,15,26,.577,10,38,16,7,10,17,15,2025,albany-ny
34627,11,2024-12-10,@,Syracuse,L,85,102,32,70,.457,10,28,.357,11,19,.579,10,24,18,9,0,4,18,,40,63,.635,6,15,.400,16,18,.889,8,33,23,1,3,11,14,2025,albany-ny
34628,12,2024-12-14,,Drexel,L,70,77,27,57,.474,2,19,.105,14,15,.933,7,17,10,10,1,11,19,,25,41,.610,6,11,.545,21,26,.808,6,26,12,5,3,17,15,2025,albany-ny
