,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
34650,1,2024-11-04,@,Utah,L,59,100,20,55,.364,3,11,.273,16,22,.727,13,25,9,7,1,14,19,,32,57,.561,19,38,.500,17,25,.680,10,31,29,10,2,10,18,2025,alcorn-state
34651,2,2024-11-06,@,Utah State,L,46,101,16,55,.291,7,21,.333,7,11,.636,9,24,7,8,4,17,15,,37,72,.514,12,31,.387,15,18,.833,15,45,28,11,5,9,14,2025,alcorn-state
34652,3,2024-11-09,@,Xavier (LA),L,56,62,19,58,.328,4,13,.308,14,22,.636,13,39,9,5,5,13,26,,15,50,.300,4,19,.211,28,36,.778,11,36,8,8,4,12,20,2025,alcorn-state
34653,4,2024-11-11,@,Tulane,L,51,84,20,56,.357,1,10,.100,10,16,.625,13,28,13,7,6,16,13,,27,59,.458,15,35,.429,15,15,1.000,9,32,21,8,8,11,17,2025,alcorn-state
34654,5,2024-11-19,@,TCU,L,48,71,17,56,.304,4,13,.308,10,12,.833,11,32,8,3,2,14,14,,25,55,.455,11,32,.344,10,19,.526,11,33,17,9,8,10,14,2025,alcorn-state
34655,6,2024-11-22,@,Washington,L,60,77,23,58,.397,3,15,.200,11,12,.917,9,26,10,10,4,10,25,,24,49,.490,7,22,.318,22,30,.733,9,32,13,2,3,13,13,2025,alcorn-state
34656,7,2024-11-24,@,UC-Riverside,L,52,69,20,64,.313,4,18,.222,8,14,.571,12,36,9,5,4,10,19,,22,62,.355,11,36,.306,14,20,.700,16,48,13,4,3,11,16,2025,alcorn-state
34657,8,2024-11-29,@,South Alabama,L (1 OT),65,74,21,65,.323,15,39,.385,8,10,.800,18,39,13,4,2,12,19,,24,56,.429,12,35,.343,14,19,.737,6,28,16,12,9,6,13,2025,alcorn-state
34658,9,2024-12-01,@,Maryland,L,58,96,21,67,.313,5,20,.250,11,17,.647,11,26,8,6,2,13,19,,32,56,.571,11,23,.478,21,24,.875,8,40,25,10,11,12,17,2025,alcorn-state
34659,10,2024-12-04,@,Wichita State,L,54,78,19,73,.260,5,22,.227,11,20,.550,19,43,9,5,3,8,16,,27,61,.443,9,30,.300,15,18,.833,8,44,19,5,7,10,17,2025,alcorn-state
34660,11,2024-12-07,@,Oklahoma,L,78,94,30,57,.526,10,20,.500,8,12,.667,8,24,18,7,2,18,17,,35,64,.547,12,37,.324,12,14,.857,9,27,24,12,1,12,14,2025,alcorn-state
34661,12,2024-12-16,@,Rice,L,75,77,27,54,.500,10,21,.476,11,17,.647,8,29,13,7,1,18,20,,27,57,.474,13,33,.394,10,12,.833,9,31,19,7,4,16,15,2025,alcorn-state
34662,13,2024-12-22,@,UAB,L,74,91,27,62,.435,11,21,.524,9,9,1.000,7,22,14,3,1,7,15,,31,59,.525,8,25,.320,21,23,.913,12,35,21,5,3,7,9,2025,alcorn-state
34663,14,2025-01-04,,Jackson State,L,69,72,26,52,.500,4,15,.267,13,19,.684,8,31,4,3,1,13,20,,23,57,.404,8,21,.381,18,23,.783,10,28,9,6,3,7,20,2025,alcorn-state
34664,15,2025-01-11,,Alabama A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,alcorn-state
34665,16,2025-01-13,,Alabama State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,alcorn-state
34666,17,2025-01-18,@,Texas Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,alcorn-state
34667,18,2025-01-20,@,Prairie View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,alcorn-state
34668,19,2025-01-25,,Florida A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,alcorn-state
34669,20,2025-01-27,,Bethune-Cookman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,alcorn-state
34670,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,alcorn-state
34671,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,alcorn-state
34672,21,2025-02-01,@,Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,alcorn-state
34673,22,2025-02-08,,Arkansas-Pine Bluff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,alcorn-state
34674,23,2025-02-10,,Mississippi Valley State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,alcorn-state
34675,24,2025-02-15,@,Bethune-Cookman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,alcorn-state
34676,25,2025-02-17,@,Florida A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,alcorn-state
34677,26,2025-02-22,@,Jackson State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,alcorn-state
34678,27,2025-03-01,,Prairie View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,alcorn-state
34679,28,2025-03-03,,Texas Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,alcorn-state
34680,29,2025-03-06,@,Mississippi Valley State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,alcorn-state
34681,30,2025-03-08,@,Arkansas-Pine Bluff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,alcorn-state
