,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
34715,1,2024-11-04,,Miami (OH),L,63,77,21,53,.396,9,32,.281,12,21,.571,10,30,11,8,5,18,16,,27,59,.458,11,25,.440,12,13,.923,4,29,9,13,4,14,18,2025,appalachian-state
34716,2,2024-11-06,,St. Andrews,W,108,54,39,69,.565,10,25,.400,20,31,.645,12,52,23,7,13,6,13,,20,70,.286,4,25,.160,10,15,.667,5,22,6,5,6,9,18,2025,appalachian-state
34717,3,2024-11-10,@,Wisconsin,L,56,87,21,56,.375,7,24,.292,7,13,.538,9,31,11,2,2,18,19,,33,70,.471,8,28,.286,13,16,.813,13,40,17,14,1,6,18,2025,appalachian-state
34718,4,2024-11-19,,Queens (NC),W,65,53,22,47,.468,5,14,.357,16,30,.533,9,40,8,10,5,14,17,,21,66,.318,6,37,.162,5,13,.385,15,32,12,9,7,12,24,2025,appalachian-state
34719,5,2024-11-24,,William & Mary,W,79,76,26,56,.464,15,29,.517,12,24,.500,10,34,17,7,2,10,14,,29,63,.460,9,31,.290,9,10,.900,8,29,17,4,3,9,20,2025,appalachian-state
34720,6,2024-11-27,N,Sam Houston,W,66,63,21,53,.396,7,24,.292,17,22,.773,7,33,11,4,3,11,15,,25,64,.391,3,14,.214,10,14,.714,13,35,9,7,3,9,20,2025,appalachian-state
34721,7,2024-11-29,N,Colgate,W,72,50,30,56,.536,10,26,.385,2,5,.400,8,35,18,5,2,7,10,,20,53,.377,8,27,.296,2,5,.400,7,25,13,4,0,10,13,2025,appalachian-state
34722,8,2024-11-30,@,UNC Wilmington,L,61,76,21,53,.396,2,17,.118,17,21,.810,9,31,6,0,5,9,18,,25,61,.410,8,26,.308,18,22,.818,13,34,13,5,3,4,18,2025,appalachian-state
34723,9,2024-12-03,,Mid-Atlantic Christian,W,85,43,33,62,.532,12,30,.400,7,14,.500,10,48,22,5,10,15,12,,17,68,.250,5,13,.385,4,9,.444,13,33,4,12,3,10,17,2025,appalachian-state
34724,10,2024-12-14,N,High Point,L,59,65,20,57,.351,5,14,.357,14,18,.778,10,38,9,7,3,16,14,,22,61,.361,6,29,.207,15,18,.833,9,36,10,13,4,13,21,2025,appalachian-state
34725,11,2024-12-18,@,Louisiana,L,62,68,20,48,.417,4,18,.222,18,29,.621,4,27,8,9,2,11,18,,23,55,.418,9,24,.375,13,17,.765,7,33,12,4,3,12,21,2025,appalachian-state
34726,12,2024-12-20,@,North Texas,L,64,68,22,42,.524,7,19,.368,13,16,.813,4,18,10,7,0,10,17,,24,48,.500,5,20,.250,15,19,.789,11,28,11,8,3,10,14,2025,appalachian-state
34727,13,2025-01-02,,Troy,L,61,69,21,56,.375,8,26,.308,11,16,.688,7,27,14,10,2,8,10,,25,57,.439,12,35,.343,7,10,.700,9,35,18,7,5,12,16,2025,appalachian-state
34728,14,2025-01-04,,Texas State,W,72,61,27,51,.529,12,22,.545,6,9,.667,4,32,15,5,3,11,10,,23,61,.377,8,22,.364,7,7,1.000,4,23,11,7,1,8,12,2025,appalachian-state
34729,15,2025-01-08,,Coastal Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,appalachian-state
34730,16,2025-01-11,,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,appalachian-state
34731,17,2025-01-16,@,Old Dominion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,appalachian-state
34732,18,2025-01-18,@,James Madison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,appalachian-state
34733,19,2025-01-23,@,Arkansas State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,appalachian-state
34734,20,2025-01-25,@,Louisiana-Monroe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,appalachian-state
34735,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,appalachian-state
34736,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,appalachian-state
34737,21,2025-01-29,,Old Dominion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,appalachian-state
34738,22,2025-02-01,,Georgia State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,appalachian-state
34739,23,2025-02-05,,Southern Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,appalachian-state
34740,24,2025-02-13,@,Coastal Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,appalachian-state
34741,25,2025-02-15,@,Georgia State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,appalachian-state
34742,26,2025-02-20,,Georgia Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,appalachian-state
34743,27,2025-02-22,,Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,appalachian-state
34744,28,2025-02-25,@,Georgia Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,appalachian-state
34745,29,2025-02-28,@,Marshall,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,appalachian-state
