,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
34746,1,2024-11-04,,Canisius,W,93,64,33,68,.485,8,28,.286,19,27,.704,15,40,20,12,3,9,15,,22,51,.431,10,26,.385,10,13,.769,4,22,12,7,1,19,20,2025,arizona
34747,2,2024-11-09,,Old Dominion,W,102,44,38,75,.507,8,22,.364,18,29,.621,23,53,21,12,6,8,17,,18,57,.316,2,16,.125,6,17,.353,6,24,2,6,3,18,23,2025,arizona
34748,3,2024-11-15,@,Wisconsin,L,88,103,28,74,.378,4,23,.174,28,40,.700,17,44,6,5,1,13,32,,25,52,.481,12,27,.444,41,47,.872,1,25,17,7,4,9,31,2025,arizona
34749,4,2024-11-22,,Duke,L,55,69,21,53,.396,6,23,.261,7,11,.636,6,30,16,9,4,15,14,,26,61,.426,9,25,.360,8,13,.615,10,37,15,8,4,13,19,2025,arizona
34750,5,2024-11-27,N,Davidson,W,104,71,39,69,.565,11,22,.500,15,20,.750,12,46,15,7,6,14,14,,27,71,.380,11,34,.324,6,8,.750,8,28,16,8,1,11,17,2025,arizona
34751,6,2024-11-28,N,Oklahoma,L,77,82,28,65,.431,5,19,.263,16,19,.842,14,30,13,9,3,9,15,,25,58,.431,12,29,.414,20,21,.952,13,33,17,7,4,15,18,2025,arizona
34752,7,2024-11-29,N,West Virginia,L (1 OT),76,83,29,64,.453,7,21,.333,11,13,.846,9,36,14,4,5,14,15,,27,68,.397,12,34,.353,17,22,.773,11,31,21,11,3,7,10,2025,arizona
34753,8,2024-12-07,,Southern Utah,W,102,66,34,68,.500,6,16,.375,28,36,.778,12,41,23,13,4,9,17,,24,64,.375,10,28,.357,8,15,.533,9,28,14,5,4,17,23,2025,arizona
34754,9,2024-12-14,N,UCLA,L,54,57,19,42,.452,2,16,.125,14,19,.737,8,29,11,8,2,22,16,,23,51,.451,4,21,.190,7,16,.438,5,19,10,10,1,14,16,2025,arizona
34755,10,2024-12-18,,Samford,W,96,64,32,55,.582,7,22,.318,25,31,.806,10,39,23,10,2,14,18,,22,60,.367,12,35,.343,8,15,.533,7,19,15,9,0,12,20,2025,arizona
34756,11,2024-12-21,,Central Michigan,W,94,41,36,66,.545,10,29,.345,12,13,.923,12,44,28,10,3,10,16,,14,54,.259,3,16,.188,10,18,.556,9,26,5,3,3,15,13,2025,arizona
34757,12,2024-12-30,,TCU,W,90,81,33,58,.569,7,22,.318,17,21,.810,7,27,28,7,3,7,16,,29,63,.460,9,23,.391,14,18,.778,11,26,15,5,2,8,16,2025,arizona
34758,13,2025-01-04,@,Cincinnati,W,72,67,23,53,.434,5,14,.357,21,27,.778,6,31,8,5,6,11,17,,25,64,.391,5,25,.200,12,23,.522,14,35,11,5,3,11,18,2025,arizona
34759,14,2025-01-07,@,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona
34760,15,2025-01-11,,UCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona
34761,16,2025-01-14,,Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona
34762,17,2025-01-18,@,Texas Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona
34763,18,2025-01-21,@,Oklahoma State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona
34764,19,2025-01-25,,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona
34765,20,2025-01-27,,Iowa State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona
34766,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,arizona
34767,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,arizona
34768,21,2025-02-01,@,Arizona State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona
34769,22,2025-02-04,@,BYU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona
