,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
34779,1,2024-11-05,,Idaho State,W,55,48,20,55,.364,7,24,.292,8,12,.667,6,37,12,6,9,14,15,,17,67,.254,4,28,.143,10,13,.769,14,41,6,4,4,8,16,2025,arizona-state
34780,2,2024-11-08,N,Santa Clara,W,81,74,24,53,.453,15,36,.417,18,27,.667,9,36,18,2,5,15,20,,27,66,.409,10,33,.303,10,16,.625,10,32,15,11,0,7,20,2025,arizona-state
34781,3,2024-11-10,@,Gonzaga,L,80,88,30,63,.476,9,29,.310,11,12,.917,4,25,8,5,3,10,18,,31,62,.500,8,24,.333,18,22,.818,8,36,22,8,1,8,10,2025,arizona-state
34782,4,2024-11-14,N,Grand Canyon,W,87,76,29,54,.537,11,25,.440,18,21,.857,5,27,16,3,5,15,21,,26,59,.441,7,17,.412,17,25,.680,11,30,13,9,3,14,20,2025,arizona-state
34783,5,2024-11-17,,St. Thomas,W,81,66,27,54,.500,9,22,.409,18,26,.692,9,41,18,6,6,13,7,,26,66,.394,11,37,.297,3,5,.600,8,23,17,9,1,10,18,2025,arizona-state
34784,6,2024-11-20,,Cal Poly,W,93,89,28,58,.483,10,24,.417,27,41,.659,12,41,15,9,4,13,17,,33,64,.516,13,37,.351,10,15,.667,3,23,18,8,3,11,29,2025,arizona-state
34785,7,2024-11-28,N,New Mexico,W,85,82,26,55,.473,9,19,.474,24,32,.750,7,28,16,5,4,9,21,,24,63,.381,6,16,.375,28,32,.875,10,33,10,6,3,11,26,2025,arizona-state
34786,8,2024-11-29,N,Saint Mary's,W,68,64,28,61,.459,5,18,.278,7,12,.583,6,29,11,8,5,10,12,,25,60,.417,8,17,.471,6,12,.500,11,38,10,6,7,13,16,2025,arizona-state
34787,9,2024-12-03,,San Diego,W,90,53,28,57,.491,12,23,.522,22,35,.629,10,44,17,5,10,13,13,,21,63,.333,2,19,.105,9,13,.692,7,32,6,9,6,12,24,2025,arizona-state
34788,10,2024-12-14,N,Florida,L,66,83,23,62,.371,7,25,.280,13,19,.684,5,25,9,7,4,11,11,,32,67,.478,10,30,.333,9,10,.900,10,43,17,7,5,14,19,2025,arizona-state
34789,11,2024-12-21,N,UMass,W,78,62,28,62,.452,8,20,.400,14,16,.875,8,42,15,6,8,12,19,,23,60,.383,6,16,.375,10,18,.556,8,30,12,7,8,10,17,2025,arizona-state
34790,12,2024-12-31,@,BYU,L,56,76,21,57,.368,6,29,.207,8,10,.800,10,25,11,10,0,13,14,,28,58,.483,10,32,.313,10,14,.714,11,35,17,9,3,14,11,2025,arizona-state
34791,13,2025-01-04,,Colorado,W,81,61,28,54,.519,13,28,.464,12,19,.632,7,34,15,6,7,16,19,,23,66,.348,3,24,.125,12,15,.800,13,31,17,10,2,14,16,2025,arizona-state
34792,14,2025-01-08,@,Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34793,15,2025-01-11,,Baylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34794,16,2025-01-14,,UCF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34795,17,2025-01-18,@,Cincinnati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34796,18,2025-01-21,@,West Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34797,19,2025-01-25,,Iowa State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34798,20,2025-01-28,@,Colorado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34799,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,arizona-state
34800,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,arizona-state
34801,21,2025-02-01,,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34802,22,2025-02-04,,Kansas State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34803,23,2025-02-09,@,Oklahoma State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34804,24,2025-02-12,@,Texas Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34805,25,2025-02-15,,TCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34806,26,2025-02-18,,Houston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34807,27,2025-02-23,@,Kansas State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34808,28,2025-02-26,,BYU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34809,29,2025-03-01,@,Utah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34810,30,2025-03-04,@,Arizona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
34811,31,2025-03-08,,Texas Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arizona-state
