,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
34812,1,2024-11-06,,Lipscomb,W,76,60,34,63,.540,4,19,.211,4,7,.571,6,33,10,11,5,12,11,,22,58,.379,9,27,.333,7,9,.778,4,26,8,8,1,18,12,2025,arkansas
34813,2,2024-11-09,N,Baylor,L,67,72,24,58,.414,5,20,.250,14,17,.824,10,33,13,5,6,11,19,,27,58,.466,7,24,.292,11,17,.647,9,32,12,6,1,8,16,2025,arkansas
34814,3,2024-11-13,,Troy,W,65,49,24,56,.429,10,23,.435,7,14,.500,8,26,14,16,11,14,11,,21,55,.382,3,19,.158,4,7,.571,10,32,12,8,5,24,16,2025,arkansas
34815,4,2024-11-18,,Pacific,W,91,72,31,52,.596,9,21,.429,20,25,.800,3,30,17,10,3,15,14,,24,60,.400,12,35,.343,12,13,.923,8,26,14,10,0,16,20,2025,arkansas
34816,5,2024-11-22,,Little Rock,W,79,67,25,53,.472,7,24,.292,22,27,.815,5,33,12,15,4,19,20,,22,59,.373,6,22,.273,17,23,.739,11,34,13,7,1,17,19,2025,arkansas
34817,6,2024-11-25,,Maryland-Eastern Shore,W,109,35,40,72,.556,15,34,.441,14,17,.824,8,46,23,9,5,4,10,,14,61,.230,4,26,.154,3,8,.375,6,27,3,4,1,17,9,2025,arkansas
34818,7,2024-11-28,N,Illinois,L,77,90,28,58,.483,5,17,.294,16,27,.593,8,28,12,7,2,11,20,,30,57,.526,15,31,.484,15,22,.682,5,30,16,7,4,10,22,2025,arkansas
34819,8,2024-12-03,@,Miami (FL),W,76,73,30,62,.484,11,23,.478,5,9,.556,6,27,17,7,2,10,14,,29,60,.483,9,29,.310,6,8,.750,8,31,14,3,4,11,12,2025,arkansas
34820,9,2024-12-07,,UTSA,W,75,60,28,53,.528,5,15,.333,14,19,.737,7,36,15,5,5,14,7,,24,59,.407,7,24,.292,5,5,1.000,4,22,7,8,4,8,17,2025,arkansas
34821,10,2024-12-10,N,Michigan,W,89,87,33,66,.500,9,23,.391,14,22,.636,8,29,16,8,3,13,17,,34,59,.576,8,18,.444,11,18,.611,5,27,18,7,2,17,19,2025,arkansas
34822,11,2024-12-14,,Central Arkansas,W,82,57,33,55,.600,9,20,.450,7,9,.778,7,33,23,5,9,12,13,,18,54,.333,7,28,.250,14,18,.778,3,18,8,6,1,8,9,2025,arkansas
34823,12,2024-12-21,,North Carolina A&T,W,95,67,37,74,.500,6,24,.250,15,19,.789,13,43,26,4,9,6,16,,27,75,.360,4,22,.182,9,17,.529,16,35,7,5,1,8,13,2025,arkansas
34824,13,2024-12-30,,Oakland,W,92,62,35,58,.603,10,22,.455,12,14,.857,5,32,21,8,10,13,15,,24,60,.400,2,17,.118,12,18,.667,8,24,9,6,3,12,13,2025,arkansas
34825,14,2025-01-04,@,Tennessee,L,52,76,20,53,.377,6,29,.207,6,13,.462,6,24,9,8,10,15,19,,27,69,.391,10,26,.385,12,15,.800,19,45,18,10,1,12,16,2025,arkansas
34826,15,2025-01-08,,Ole Miss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,arkansas
