,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35104,1.0,1.0,2024-11-04,@,Cincinnati,REG (Non-Conf),L,54,109,,20,59,0.339,5,19,0.263,15,40,0.375,0.381,9,14,0.643,7,16,23,7,5,2,16,20,42,72,0.583,12,24,0.5,30,48,0.625,0.667,13,23,0.565,16,31,47,27,10,7,9,12,2025,arkansas-pine-bluff
35105,2.0,2.0,2024-11-06,,,REG (Non-Conf),W,99,57,,38,78,0.487,7,25,0.28,31,53,0.585,0.532,16,23,0.696,16,41,57,20,12,2,11,18,19,63,0.302,6,24,0.25,13,39,0.333,0.349,13,26,0.5,8,25,33,6,10,2,18,17,2025,arkansas-pine-bluff
35106,3.0,3.0,2024-11-09,@,Tulsa,REG (Non-Conf),L,80,103,,31,60,0.517,10,29,0.345,21,31,0.677,0.6,8,10,0.8,7,22,29,13,4,4,18,16,35,71,0.493,12,39,0.308,23,32,0.719,0.577,21,29,0.724,15,21,36,24,14,2,6,8,2025,arkansas-pine-bluff
35107,4.0,4.0,2024-11-12,@,South Florida,REG (Non-Conf),L,69,85,,25,60,0.417,5,23,0.217,20,37,0.541,0.458,14,19,0.737,11,26,37,10,4,2,12,27,27,69,0.391,8,34,0.235,19,35,0.543,0.449,23,33,0.697,19,24,43,16,9,1,8,15,2025,arkansas-pine-bluff
35108,5.0,5.0,2024-11-16,@,Incarnate Word,REG (Non-Conf),L,64,92,,24,56,0.429,5,18,0.278,19,38,0.5,0.473,11,15,0.733,5,15,20,9,3,2,13,16,35,63,0.556,11,28,0.393,24,35,0.686,0.643,11,15,0.733,10,25,35,23,9,4,7,16,2025,arkansas-pine-bluff
35109,6.0,6.0,2024-11-18,@,Texas Tech,REG (Non-Conf),L,64,98,,25,48,0.521,6,16,0.375,19,32,0.594,0.583,8,13,0.615,3,15,18,9,9,2,22,13,37,62,0.597,14,35,0.4,23,27,0.852,0.71,10,12,0.833,8,21,29,30,12,1,15,11,2025,arkansas-pine-bluff
35110,7.0,7.0,2024-11-24,@,Missouri,REG (Non-Conf),L,63,112,,22,62,0.355,9,28,0.321,13,34,0.382,0.427,10,14,0.714,9,17,26,10,6,1,18,29,37,71,0.521,9,32,0.281,28,39,0.718,0.585,29,41,0.707,17,28,45,15,13,5,8,14,2025,arkansas-pine-bluff
35111,8.0,8.0,2024-11-27,@,Pacific,REG (Non-Conf),L,71,83,,26,53,0.491,8,22,0.364,18,31,0.581,0.566,11,17,0.647,3,18,21,16,5,1,12,21,30,63,0.476,6,25,0.24,24,38,0.632,0.524,17,25,0.68,15,26,41,19,6,3,10,17,2025,arkansas-pine-bluff
35112,9.0,9.0,2024-12-01,@,Kansas State,REG (Non-Conf),L,73,120,,32,68,0.471,6,28,0.214,26,40,0.65,0.515,3,6,0.5,9,16,25,16,6,2,20,17,40,65,0.615,21,40,0.525,19,25,0.76,0.777,19,26,0.731,8,20,28,30,16,1,13,11,2025,arkansas-pine-bluff
35113,10.0,10.0,2024-12-07,,Central Arkansas,REG (Non-Conf),W,84,78,,28,53,0.528,15,32,0.469,13,21,0.619,0.67,13,18,0.722,4,24,28,20,4,0,14,21,26,71,0.366,10,41,0.244,16,30,0.533,0.437,16,26,0.615,19,21,40,17,9,0,11,17,2025,arkansas-pine-bluff
35114,11.0,11.0,2024-12-11,@,Louisiana–Monroe,REG (Non-Conf),L,73,89,,28,60,0.467,5,25,0.2,23,35,0.657,0.508,12,21,0.571,6,20,26,17,11,2,15,20,31,57,0.544,10,24,0.417,21,33,0.636,0.632,17,22,0.773,7,28,35,22,12,4,18,16,2025,arkansas-pine-bluff
35115,12.0,12.0,2024-12-15,@,Texas,REG (Non-Conf),L,57,121,,22,53,0.415,3,21,0.143,19,32,0.594,0.443,10,17,0.588,4,17,21,5,5,2,22,18,44,70,0.629,17,30,0.567,27,40,0.675,0.75,16,20,0.8,11,30,41,28,14,2,7,15,2025,arkansas-pine-bluff
35116,13.0,13.0,2024-12-17,,,REG (Non-Conf),W,120,61,,47,73,0.644,20,32,0.625,27,41,0.659,0.781,6,12,0.5,9,38,47,41,6,3,8,16,23,60,0.383,7,25,0.28,16,35,0.457,0.442,8,19,0.421,2,15,17,9,5,1,13,13,2025,arkansas-pine-bluff
35117,14.0,14.0,2025-01-04,@,Alabama A&M,REG (Conf),L,79,89,,26,58,0.448,6,17,0.353,20,41,0.488,0.5,21,36,0.583,15,22,37,10,14,2,21,27,29,59,0.492,6,22,0.273,23,37,0.622,0.542,25,38,0.658,13,21,34,16,15,1,18,25,2025,arkansas-pine-bluff
