,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
34845,1,2024-11-04,,Akron,W (1 OT),80,75,34,73,.466,9,30,.300,3,6,.500,11,44,14,8,9,13,10,,28,79,.354,10,34,.294,9,13,.692,16,46,19,9,3,14,11,2025,arkansas-state
34846,2,2024-11-08,@,Alabama,L,79,88,25,62,.403,6,28,.214,23,36,.639,6,34,11,7,5,10,28,,27,66,.409,6,31,.194,28,44,.636,12,48,13,5,4,10,24,2025,arkansas-state
34847,3,2024-11-12,,Little Rock,W,80,63,24,64,.375,13,39,.333,19,30,.633,18,39,12,10,2,9,17,,23,49,.469,4,11,.364,13,20,.650,9,34,11,5,5,16,20,2025,arkansas-state
34848,4,2024-11-16,,Stephen F. Austin,W,59,49,19,61,.311,8,30,.267,13,28,.464,19,44,11,8,6,11,21,,17,54,.315,3,16,.188,12,21,.571,13,41,6,6,2,15,26,2025,arkansas-state
34849,5,2024-11-22,,Lane,W,103,60,38,78,.487,18,48,.375,9,13,.692,19,51,27,10,7,13,14,,22,67,.328,2,9,.222,14,17,.824,10,33,7,12,0,14,12,2025,arkansas-state
34850,6,2024-11-29,N,Indiana State,W,86,81,31,68,.456,9,26,.346,15,22,.682,8,37,8,5,6,7,16,,28,67,.418,9,32,.281,16,20,.800,9,33,15,5,3,9,17,2025,arkansas-state
34851,7,2024-11-30,N,Rice,L,67,75,20,57,.351,3,26,.115,24,31,.774,10,30,5,4,1,14,28,,19,51,.373,5,15,.333,32,39,.821,9,32,8,4,3,12,20,2025,arkansas-state
34852,8,2024-12-01,N,Hofstra,L,66,68,21,48,.438,6,19,.316,18,22,.818,6,28,6,4,3,15,18,,26,54,.481,4,12,.333,12,19,.632,7,29,11,8,2,11,18,2025,arkansas-state
34853,9,2024-12-05,,Jackson State,W,66,64,21,63,.333,10,30,.333,14,20,.700,12,43,14,12,2,14,17,,21,55,.382,7,20,.350,15,24,.625,8,40,11,12,5,14,17,2025,arkansas-state
34854,10,2024-12-08,@,Memphis,W,85,72,26,71,.366,12,36,.333,21,27,.778,14,40,16,8,4,14,25,,21,59,.356,7,22,.318,23,34,.676,15,36,9,9,3,20,21,2025,arkansas-state
34855,11,2024-12-12,,UT Arlington,W,83,79,23,57,.404,6,23,.261,31,42,.738,14,34,11,10,4,9,18,,28,59,.475,14,30,.467,9,21,.429,10,31,15,6,6,13,30,2025,arkansas-state
34856,12,2024-12-15,@,UAB,W (1 OT),98,89,35,79,.443,9,27,.333,19,24,.792,14,46,15,8,8,14,20,,31,75,.413,10,31,.323,17,24,.708,7,36,20,12,5,11,19,2025,arkansas-state
34857,13,2024-12-21,,Coastal Carolina,W,97,67,33,60,.550,16,30,.533,15,19,.789,7,32,20,8,6,5,21,,24,66,.364,6,21,.286,13,19,.684,19,42,8,3,0,10,12,2025,arkansas-state
