,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
34910,1,2024-11-04,,Albany (NY),W,67,59,22,50,.440,5,17,.294,18,28,.643,7,36,11,4,3,12,18,,22,60,.367,4,24,.167,11,16,.688,5,30,11,8,2,9,24,2025,army
34911,2,2024-11-08,@,Duke,L,58,100,21,64,.328,8,29,.276,8,9,.889,8,29,11,7,2,12,15,,35,71,.493,17,38,.447,13,18,.722,14,46,19,8,6,8,13,2025,army
34912,3,2024-11-12,,Mount Saint Mary (NY),W,101,48,39,73,.534,18,45,.400,5,6,.833,17,39,30,12,2,10,13,,19,47,.404,5,18,.278,5,8,.625,3,17,9,9,4,21,14,2025,army
34913,4,2024-11-15,@,Marist,L (1 OT),88,91,34,64,.531,11,25,.440,9,16,.563,8,24,16,4,1,9,19,,35,65,.538,9,25,.360,12,18,.667,12,33,19,6,4,11,15,2025,army
34914,5,2024-11-20,,FDU,W,84,70,31,69,.449,8,27,.296,14,21,.667,8,36,16,4,1,4,12,,26,67,.388,8,27,.296,10,13,.769,12,37,14,4,5,10,18,2025,army
34915,6,2024-11-22,@,Manhattan,L,79,80,30,61,.492,10,19,.526,9,13,.692,9,34,24,3,5,13,12,,31,70,.443,8,24,.333,10,13,.769,10,33,18,11,0,6,12,2025,army
34916,7,2024-11-26,,SUNY-Maritime,W,91,52,34,64,.531,10,30,.333,13,20,.650,13,45,22,13,4,12,8,,22,65,.338,5,26,.192,3,6,.500,10,28,11,5,0,16,16,2025,army
34917,8,2024-12-03,@,Le Moyne,W (3 OT),103,100,35,87,.402,10,39,.256,23,29,.793,14,48,17,9,2,11,20,,35,87,.402,8,31,.258,22,24,.917,14,50,17,8,7,12,25,2025,army
34918,9,2024-12-08,,Cornell,L,84,103,33,69,.478,11,27,.407,7,11,.636,9,33,18,3,1,8,11,,38,68,.559,19,35,.543,8,11,.727,6,32,27,4,2,5,11,2025,army
34919,10,2024-12-13,@,George Washington,L,60,75,25,67,.373,5,30,.167,5,7,.714,14,38,15,6,2,12,12,,26,56,.464,13,33,.394,10,15,.667,7,31,19,10,4,7,7,2025,army
34920,11,2024-12-22,,Binghamton,L,68,78,24,62,.387,8,25,.320,12,22,.545,9,31,13,6,4,8,15,,30,61,.492,9,15,.600,9,11,.818,5,36,20,4,7,11,16,2025,army
34921,12,2024-12-29,,UTSA,W,78,75,28,58,.483,11,28,.393,11,14,.786,6,30,15,7,1,18,15,,25,60,.417,7,25,.280,18,21,.857,7,30,12,9,2,14,16,2025,army
34922,13,2025-01-02,@,Colgate,L,59,71,23,56,.411,7,27,.259,6,9,.667,2,26,11,8,5,11,11,,28,58,.483,6,17,.353,9,12,.750,4,32,16,9,2,10,13,2025,army
34923,14,2025-01-05,@,Boston University,L,63,71,24,59,.407,11,26,.423,4,7,.571,7,25,13,10,1,12,14,,27,53,.509,9,23,.391,8,11,.727,7,32,14,3,3,14,10,2025,army
34924,15,2025-01-08,,Loyola (MD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,army
34925,16,2025-01-11,@,Lehigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,army
34926,17,2025-01-15,,Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,army
34927,18,2025-01-18,,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,army
