,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
34942,1,2024-11-06,,Vermont,W,94,43,36,64,.563,16,35,.457,6,11,.545,7,42,15,10,7,9,15,,15,58,.259,5,23,.217,8,11,.727,9,25,6,6,3,15,10,2025,auburn
34943,2,2024-11-09,N,Houston,W,74,69,27,51,.529,7,23,.304,13,19,.684,9,28,14,6,7,11,21,,24,58,.414,5,13,.385,16,22,.727,10,24,7,5,3,10,20,2025,auburn
34944,3,2024-11-13,,Kent State,W,79,56,28,57,.491,6,24,.250,17,22,.773,10,36,23,3,6,6,12,,20,61,.328,5,21,.238,11,15,.733,10,28,5,5,0,7,19,2025,auburn
34945,4,2024-11-18,,North Alabama,W,102,69,39,63,.619,12,27,.444,12,17,.706,7,34,25,6,6,11,12,,27,64,.422,5,15,.333,10,11,.909,4,20,5,8,0,10,14,2025,auburn
34946,5,2024-11-25,N,Iowa State,W,83,81,28,59,.475,9,27,.333,18,22,.818,7,30,14,7,4,12,23,,25,53,.472,7,18,.389,24,29,.828,5,26,12,9,0,8,18,2025,auburn
34947,6,2024-11-26,N,UNC,W,85,72,30,69,.435,11,30,.367,14,17,.824,11,42,15,7,7,7,22,,27,62,.435,6,16,.375,12,19,.632,7,35,7,3,2,10,16,2025,auburn
34948,7,2024-11-27,N,Memphis,W,90,76,34,60,.567,8,24,.333,14,17,.824,11,31,23,6,5,9,17,,28,56,.500,6,9,.667,14,19,.737,8,26,7,3,0,11,17,2025,auburn
34949,8,2024-12-04,@,Duke,L,78,84,29,64,.453,10,25,.400,10,12,.833,12,34,17,4,3,8,20,,29,58,.500,9,22,.409,17,27,.630,12,34,11,7,4,4,14,2025,auburn
34950,9,2024-12-08,,Richmond,W,98,54,33,69,.478,13,30,.433,19,27,.704,14,46,23,10,5,7,14,,16,59,.271,6,30,.200,16,19,.842,7,25,8,7,3,14,17,2025,auburn
34951,10,2024-12-14,N,Ohio State,W,91,53,33,72,.458,13,30,.433,12,14,.857,14,46,18,4,13,5,17,,18,51,.353,6,16,.375,11,19,.579,2,21,7,5,4,7,12,2025,auburn
34952,11,2024-12-17,,Georgia State,W,100,59,35,61,.574,9,25,.360,21,26,.808,8,30,19,11,9,11,20,,21,62,.339,4,22,.182,13,20,.650,14,31,7,7,0,18,20,2025,auburn
34953,12,2024-12-21,N,Purdue,W,87,69,36,66,.545,10,26,.385,5,9,.556,11,36,24,7,6,9,18,,23,59,.390,8,23,.348,15,23,.652,10,28,13,6,1,10,9,2025,auburn
34954,13,2024-12-30,,Monmouth,W,87,58,29,66,.439,8,30,.267,21,28,.750,15,43,22,8,7,7,15,,19,52,.365,5,13,.385,15,19,.789,4,22,10,5,3,11,19,2025,auburn
34955,14,2025-01-04,,Missouri,W,84,68,28,49,.571,10,21,.476,18,24,.750,6,26,18,9,9,16,21,,21,55,.382,7,23,.304,19,26,.731,10,26,12,13,1,16,20,2025,auburn
34956,15,2025-01-07,@,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,auburn
34957,16,2025-01-11,@,South Carolina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,auburn
34958,17,2025-01-14,,Mississippi State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,auburn
34959,18,2025-01-18,@,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,auburn
34960,19,2025-01-25,,Tennessee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,auburn
