,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35008,1,2024-11-04,@,Georgia State,L,66,71,22,68,.324,8,33,.242,14,24,.583,14,41,11,1,0,6,16,,27,65,.415,2,11,.182,15,22,.682,14,48,14,3,3,6,18,2025,ball-state
35009,2,2024-11-08,,Franklin,W,87,60,29,55,.527,4,16,.250,25,37,.676,12,43,17,11,3,19,16,,22,60,.367,6,20,.300,10,14,.714,5,21,9,12,1,16,26,2025,ball-state
35010,3,2024-11-13,@,Dayton,L,69,77,20,52,.385,8,18,.444,21,24,.875,5,29,10,5,1,14,19,,26,53,.491,4,19,.211,21,29,.724,7,34,17,10,2,8,17,2025,ball-state
35011,4,2024-11-16,,Indiana State,L,84,94,22,57,.386,7,24,.292,33,46,.717,4,28,11,4,3,8,22,,28,56,.500,12,27,.444,26,29,.897,4,42,21,4,2,13,29,2025,ball-state
35012,5,2024-11-20,,Detroit Mercy,L,59,70,17,44,.386,5,25,.200,20,30,.667,6,27,11,11,3,15,19,,25,55,.455,9,17,.529,11,18,.611,11,35,14,9,2,16,22,2025,ball-state
35013,6,2024-11-25,N,Eastern Kentucky,W,63,61,22,45,.489,6,17,.353,13,19,.684,4,27,8,6,3,15,17,,19,61,.311,6,24,.250,17,26,.654,20,41,10,13,2,11,16,2025,ball-state
35014,7,2024-11-26,N,Florida Tech,W,94,57,33,61,.541,10,26,.385,18,23,.783,10,45,17,6,1,11,16,,19,58,.328,5,22,.227,14,18,.778,4,21,5,5,1,9,18,2025,ball-state
35015,8,2024-11-27,N,Richmond,L,60,73,22,54,.407,7,25,.280,9,20,.450,5,28,7,1,0,3,17,,20,48,.417,10,30,.333,23,29,.793,2,31,11,2,1,4,17,2025,ball-state
35016,9,2024-12-08,@,SIU-Edwardsville,L,69,82,27,63,.429,8,23,.348,7,10,.700,8,26,14,3,1,8,17,,28,57,.491,11,24,.458,15,21,.714,12,40,11,3,3,9,11,2025,ball-state
35017,10,2024-12-14,@,Bellarmine,W,86,82,26,48,.542,10,19,.526,24,32,.750,6,25,13,8,0,8,16,,29,61,.475,11,29,.379,13,15,.867,11,26,21,6,1,10,20,2025,ball-state
35018,11,2024-12-21,,Evansville,W,80,43,27,54,.500,7,17,.412,19,28,.679,7,35,14,10,3,6,13,,16,55,.291,3,26,.115,8,15,.533,10,30,5,2,3,13,22,2025,ball-state
35019,12,2024-12-31,,Anderson (IN),W,89,76,26,59,.441,9,26,.346,28,39,.718,14,44,17,8,1,16,15,,26,70,.371,12,42,.286,12,17,.706,11,31,18,9,2,13,28,2025,ball-state
35020,13,2025-01-04,@,Kent State,W,75,67,24,46,.522,9,18,.500,18,26,.692,5,34,14,5,3,21,14,,24,67,.358,9,34,.265,10,13,.769,8,24,13,11,2,9,20,2025,ball-state
35021,14,2025-01-07,,Miami (OH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
35022,15,2025-01-11,,Bowling Green State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
35023,16,2025-01-14,@,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
35024,17,2025-01-18,,Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
35025,18,2025-01-21,@,Central Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
35026,19,2025-01-25,@,Northern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
35027,20,2025-01-28,,Western Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
35028,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,ball-state
35029,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,ball-state
35030,21,2025-02-01,@,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
35031,22,2025-02-04,@,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
35032,23,2025-02-11,,Eastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
35033,24,2025-02-15,,Northern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
35034,25,2025-02-18,@,Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
35035,26,2025-02-22,,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
35036,27,2025-02-25,,Akron,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
35037,28,2025-03-01,@,Bowling Green State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
35038,29,2025-03-04,,Central Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
35039,30,2025-03-07,@,Miami (OH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,ball-state
