,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35106,1,2024-11-04,,Maryville (TN),W,93,70,33,64,.516,12,26,.462,15,17,.882,9,39,20,4,4,10,15,,24,61,.393,5,25,.200,17,21,.810,5,27,9,8,4,11,13,2025,belmont
35107,2,2024-11-08,,Furman,L,74,76,32,59,.542,5,16,.313,5,10,.500,4,25,14,9,1,10,11,,28,59,.475,16,35,.457,4,5,.800,6,32,18,6,5,15,17,2025,belmont
35108,3,2024-11-12,@,Lipscomb,W,80,79,33,64,.516,11,28,.393,3,6,.500,12,37,15,3,5,14,14,,31,66,.470,11,29,.379,6,8,.750,7,25,19,11,3,7,11,2025,belmont
35109,4,2024-11-15,@,Air Force,W,79,71,24,55,.436,13,31,.419,18,24,.750,12,36,18,2,2,7,23,,25,54,.463,7,25,.280,14,22,.636,8,28,22,4,1,8,21,2025,belmont
35110,5,2024-11-19,,Oral Roberts,W,90,80,31,59,.525,9,26,.346,19,27,.704,7,35,17,4,4,14,16,,29,63,.460,9,25,.360,13,15,.867,5,27,13,8,2,13,19,2025,belmont
35111,6,2024-11-26,N,Loyola Marymount,L,63,77,23,63,.365,9,29,.310,8,11,.727,7,36,13,2,3,13,14,,31,70,.443,10,28,.357,5,12,.417,10,41,13,8,5,7,15,2025,belmont
35112,7,2024-11-27,N,Tulane,W,89,66,31,66,.470,18,42,.429,9,12,.750,9,32,24,5,6,5,15,,23,59,.390,6,22,.273,14,18,.778,12,35,11,3,4,15,15,2025,belmont
35113,8,2024-11-29,,Gardner-Webb,W,83,74,31,68,.456,8,33,.242,13,16,.813,9,34,16,13,6,12,15,,28,64,.438,7,23,.304,11,14,.786,9,36,12,7,4,16,14,2025,belmont
35114,9,2024-12-04,,Illinois State,W (1 OT),99,97,39,75,.520,11,26,.423,10,16,.625,10,30,23,12,4,10,13,,35,65,.538,18,33,.545,9,10,.900,8,36,24,8,2,19,16,2025,belmont
35115,10,2024-12-07,,Middle Tennessee,W,82,79,31,73,.425,6,19,.316,14,21,.667,18,40,19,11,2,8,12,,30,66,.455,10,26,.385,9,12,.750,11,37,15,5,6,14,19,2025,belmont
35116,11,2024-12-14,@,Richmond,W,93,86,33,57,.579,13,27,.481,14,19,.737,4,29,16,4,2,14,20,,27,54,.500,9,23,.391,23,29,.793,4,28,13,8,1,13,18,2025,belmont
35117,12,2024-12-19,,UC-Irvine,L,84,92,32,69,.464,15,38,.395,5,8,.625,7,28,25,8,3,11,22,,31,59,.525,6,19,.316,24,26,.923,9,40,15,5,1,17,13,2025,belmont
35118,13,2024-12-29,@,Drake,L,46,65,15,40,.375,5,13,.385,11,16,.688,6,21,11,8,3,16,14,,24,51,.471,6,19,.316,11,15,.733,7,28,13,13,1,8,15,2025,belmont
35119,14,2025-01-01,@,Northern Iowa,L,70,76,24,61,.393,12,39,.308,10,17,.588,4,36,17,3,6,9,22,,29,64,.453,3,18,.167,15,23,.652,8,41,7,7,2,5,16,2025,belmont
35120,15,2025-01-04,,UIC,W,92,87,32,67,.478,12,29,.414,16,18,.889,11,40,18,6,0,12,17,,30,64,.469,12,35,.343,15,21,.714,8,33,16,6,3,12,16,2025,belmont
35121,16,2025-01-08,,Southern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,belmont
35122,17,2025-01-11,@,Indiana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,belmont
35123,18,2025-01-14,,Valparaiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,belmont
35124,19,2025-01-18,@,Evansville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,belmont
35125,20,2025-01-21,,Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,belmont
35126,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,belmont
35127,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,belmont
35128,21,2025-01-25,@,Murray State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,belmont
35129,22,2025-01-29,@,Illinois State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,belmont
35130,23,2025-02-02,,Evansville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,belmont
