,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35139,1,2024-11-05,@,Texas Tech,L,61,94,25,60,.417,6,16,.375,5,10,.500,3,17,13,7,3,9,10,,36,63,.571,16,30,.533,6,10,.600,10,37,17,7,6,11,12,2025,bethune-cookman
35140,2,2024-11-09,@,Nebraska,L,58,63,22,62,.355,9,26,.346,5,7,.714,11,37,11,5,5,22,23,,19,55,.345,4,22,.182,21,26,.808,11,38,11,11,4,18,14,2025,bethune-cookman
35141,3,2024-11-12,@,Purdue Fort Wayne,L,69,91,25,55,.455,9,26,.346,10,14,.714,5,27,11,6,7,19,23,,28,64,.438,9,25,.360,26,31,.839,10,33,10,14,2,8,17,2025,bethune-cookman
35142,4,2024-11-16,,South Carolina State,W,75,62,25,53,.472,1,12,.083,24,30,.800,5,33,12,10,4,11,19,,22,60,.367,5,19,.263,13,22,.591,11,32,14,6,5,15,22,2025,bethune-cookman
35143,5,2024-11-19,@,Tulane,L,57,72,19,62,.306,6,25,.240,13,19,.684,10,34,10,8,1,10,15,,26,63,.413,9,28,.321,11,18,.611,15,45,16,5,7,12,16,2025,bethune-cookman
35144,6,2024-11-26,N,North Dakota,W,79,67,30,66,.455,7,18,.389,12,16,.750,12,34,6,13,3,9,18,,25,67,.373,7,31,.226,10,16,.625,18,42,9,7,3,17,18,2025,bethune-cookman
35145,7,2024-11-27,N,Gardner-Webb,L,64,79,24,67,.358,5,22,.227,11,20,.550,9,28,5,7,2,8,16,,28,62,.452,9,22,.409,14,18,.778,11,41,15,3,2,14,18,2025,bethune-cookman
35146,8,2024-12-01,@,Minnesota,L,62,79,24,52,.462,10,20,.500,4,9,.444,3,23,12,5,5,9,13,,29,61,.475,11,23,.478,10,12,.833,9,34,25,7,4,9,13,2025,bethune-cookman
35147,9,2024-12-12,@,Virginia,L,41,59,17,55,.309,5,20,.250,2,6,.333,6,26,8,9,2,8,12,,22,50,.440,7,23,.304,8,12,.667,10,40,15,4,7,11,8,2025,bethune-cookman
35148,10,2024-12-14,@,West Virginia,L,61,84,22,61,.361,4,18,.222,13,19,.684,10,36,7,6,2,13,16,,27,58,.466,10,26,.385,20,22,.909,6,35,15,6,8,8,17,2025,bethune-cookman
35149,11,2024-12-18,@,South Florida,W,77,69,24,53,.453,7,16,.438,22,24,.917,5,30,15,7,6,11,25,,22,60,.367,6,23,.261,19,24,.792,14,28,8,5,5,12,17,2025,bethune-cookman
35150,12,2024-12-21,@,Davidson,L,63,76,21,52,.404,4,18,.222,17,27,.630,7,27,6,10,3,12,17,,27,51,.529,9,19,.474,13,19,.684,5,28,14,6,1,12,18,2025,bethune-cookman
35151,13,2024-12-30,@,Mississippi State,L,73,87,26,52,.500,5,15,.333,16,24,.667,8,30,5,4,2,16,18,,31,61,.508,8,25,.320,17,24,.708,12,32,18,11,6,9,17,2025,bethune-cookman
35152,14,2025-01-04,@,Florida A&M,W,62,55,22,54,.407,8,18,.444,10,13,.769,7,32,8,7,3,12,9,,20,51,.392,7,29,.241,8,12,.667,5,26,12,6,4,15,13,2025,bethune-cookman
35153,15,2025-01-11,@,Grambling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bethune-cookman
35154,16,2025-01-13,@,Southern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bethune-cookman
35155,17,2025-01-18,,Mississippi Valley State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bethune-cookman
35156,18,2025-01-20,,Arkansas-Pine Bluff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bethune-cookman
35157,19,2025-01-25,@,Jackson State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bethune-cookman
35158,20,2025-01-27,@,Alcorn State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bethune-cookman
35159,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,bethune-cookman
35160,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,bethune-cookman
35161,21,2025-02-01,,Alabama State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bethune-cookman
35162,22,2025-02-03,,Alabama A&M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bethune-cookman
