,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35205,1,2024-11-06,,Oakland,W,87,43,33,62,.532,9,20,.450,12,14,.857,11,44,23,4,5,7,9,,18,66,.273,3,26,.115,4,9,.444,9,26,2,4,5,9,13,2025,boise-state
35206,2,2024-11-09,@,San Francisco,L,73,84,24,60,.400,3,16,.188,22,29,.759,11,30,8,7,1,7,16,,29,55,.527,9,23,.391,17,19,.895,8,35,14,4,5,11,24,2025,boise-state
35207,3,2024-11-12,,Corban,W,100,65,39,63,.619,4,13,.308,18,25,.720,11,43,23,10,7,11,10,,27,68,.397,8,27,.296,3,6,.500,7,21,8,4,3,13,20,2025,boise-state
35208,4,2024-11-17,,Clemson,W,84,71,25,55,.455,7,24,.292,27,30,.900,11,42,14,5,3,9,17,,25,68,.368,6,25,.240,15,20,.750,11,31,8,7,1,8,24,2025,boise-state
35209,5,2024-11-24,N,Hampton,W,83,69,26,48,.542,4,15,.267,27,35,.771,9,37,20,6,3,13,10,,26,62,.419,10,26,.385,7,10,.700,5,22,11,10,3,8,25,2025,boise-state
35210,6,2024-11-25,N,South Dakota State,W,83,82,29,61,.475,12,29,.414,13,14,.929,7,33,20,2,2,9,19,,28,61,.459,8,19,.421,18,25,.720,7,32,13,5,2,6,17,2025,boise-state
35211,7,2024-11-26,N,Boston College,L,61,63,20,51,.392,4,17,.235,17,22,.773,8,30,10,8,0,13,19,,25,51,.490,2,12,.167,11,14,.786,4,30,8,6,1,17,20,2025,boise-state
35212,8,2024-12-03,,Utah Tech,W,87,64,30,57,.526,7,20,.350,20,25,.800,12,36,19,7,1,8,15,,24,53,.453,8,23,.348,8,12,.667,7,20,10,6,3,13,18,2025,boise-state
35213,9,2024-12-07,N,Washington State,L,69,74,25,66,.379,7,27,.259,12,20,.600,10,33,10,7,3,8,15,,29,57,.509,6,22,.273,10,18,.556,4,32,16,5,6,13,21,2025,boise-state
35214,10,2024-12-14,N,Saint Mary's,W (1 OT),67,65,21,51,.412,4,14,.286,21,27,.778,9,34,6,5,6,11,17,,23,61,.377,6,18,.333,13,16,.813,9,27,10,4,7,7,21,2025,boise-state
35215,11,2024-12-17,,Texas Southern,W,82,51,26,60,.433,8,32,.250,22,30,.733,14,53,20,3,3,14,12,,18,63,.286,8,30,.267,7,12,.583,5,24,6,5,3,11,18,2025,boise-state
35216,12,2024-12-21,,Air Force,W,77,59,29,54,.537,3,13,.231,16,21,.762,7,25,14,6,1,10,16,,23,42,.548,7,15,.467,6,13,.462,3,18,10,4,1,17,21,2025,boise-state
35217,13,2024-12-28,@,San Jose State,W,73,71,29,59,.492,7,21,.333,8,11,.727,12,33,17,3,1,10,12,,25,54,.463,8,20,.400,13,17,.765,7,23,8,4,4,6,10,2025,boise-state
35218,14,2024-12-31,@,Wyoming,W,67,58,21,46,.457,8,20,.400,17,22,.773,7,37,12,3,4,13,17,,20,57,.351,9,25,.360,9,15,.600,8,26,6,7,2,6,20,2025,boise-state
35219,15,2025-01-04,,San Diego State,L,68,76,20,53,.377,7,30,.233,21,25,.840,6,26,13,4,2,12,23,,27,61,.443,7,17,.412,15,24,.625,12,35,12,7,0,11,21,2025,boise-state
35220,16,2025-01-07,,UNLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,boise-state
35221,17,2025-01-11,@,Utah State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,boise-state
35222,18,2025-01-14,,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,boise-state
35223,19,2025-01-17,@,New Mexico,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,boise-state
35224,20,2025-01-22,@,Colorado State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,boise-state
35225,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,boise-state
