,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35494,1.0,1.0,2024-11-04,,The Citadel,REG (Non-Conf),W,69,60,,21,54,0.389,5,18,0.278,16,36,0.444,0.435,22,28,0.786,11,28,39,10,7,2,14,21,20,52,0.385,3,24,0.125,17,28,0.607,0.413,17,25,0.68,8,21,29,11,8,5,14,22,2025,boston-college
35495,2.0,2.0,2024-11-08,N,VCU,REG (Non-Conf),L,55,80,,17,58,0.293,2,11,0.182,15,47,0.319,0.31,19,29,0.655,13,21,34,4,6,6,17,22,26,60,0.433,8,27,0.296,18,33,0.545,0.5,20,29,0.69,10,29,39,14,7,5,12,21,2025,boston-college
35496,3.0,3.0,2024-11-15,,Temple,REG (Non-Conf),W,72,69,,26,61,0.426,7,20,0.35,19,41,0.463,0.484,13,20,0.65,10,24,34,14,5,5,7,21,25,59,0.424,8,18,0.444,17,41,0.415,0.492,11,18,0.611,8,23,31,7,3,6,10,19,2025,boston-college
35497,4.0,4.0,2024-11-19,,Loyola (MD),REG (Non-Conf),W,82,61,,30,72,0.417,11,21,0.524,19,51,0.373,0.493,11,14,0.786,16,25,41,13,11,2,8,12,24,58,0.414,9,31,0.29,15,27,0.556,0.491,4,4,1.0,7,21,28,13,5,6,13,12,2025,boston-college
35498,5.0,5.0,2024-11-24,N,Old Dominion,REG (Non-Conf),W,82,52,,29,67,0.433,10,26,0.385,19,41,0.463,0.507,14,16,0.875,14,27,41,18,5,4,7,20,20,57,0.351,4,21,0.19,16,36,0.444,0.386,8,19,0.421,12,18,30,9,3,1,13,17,2025,boston-college
35499,6.0,6.0,2024-11-25,N,Missouri State,REG (Non-Conf),W,76,74,OT,28,56,0.5,10,18,0.556,18,38,0.474,0.589,10,18,0.556,6,23,29,17,2,10,13,19,24,58,0.414,3,13,0.231,21,45,0.467,0.44,23,29,0.793,7,22,29,14,5,2,11,18,2025,boston-college
35500,7.0,7.0,2024-11-26,N,Boise State,REG (Non-Conf),W,63,61,,25,51,0.49,2,12,0.167,23,39,0.59,0.51,11,14,0.786,4,26,30,8,6,1,17,20,20,51,0.392,4,17,0.235,16,34,0.471,0.431,17,22,0.773,8,22,30,10,8,0,13,19,2025,boston-college
35501,8.0,8.0,2024-11-29,,Dartmouth,REG (Non-Conf),L,83,88,,29,56,0.518,5,23,0.217,24,33,0.727,0.563,20,27,0.741,3,24,27,13,3,5,9,16,29,62,0.468,17,31,0.548,12,31,0.387,0.605,13,16,0.813,2,24,26,17,5,2,7,22,2025,boston-college
35502,9.0,9.0,2024-12-03,,South Carolina,REG (Non-Conf),L,51,73,,19,57,0.333,2,16,0.125,17,41,0.415,0.351,11,18,0.611,11,22,33,7,4,5,10,21,23,50,0.46,10,19,0.526,13,31,0.419,0.56,17,25,0.68,4,30,34,16,3,1,10,18,2025,boston-college
35503,10.0,10.0,2024-12-07,@,Wake Forest,REG (Conf),L,66,72,,21,57,0.368,12,30,0.4,9,27,0.333,0.474,12,14,0.857,9,22,31,16,3,1,14,24,21,47,0.447,5,13,0.385,16,34,0.471,0.5,25,34,0.735,6,25,31,12,9,2,8,16,2025,boston-college
35504,11.0,11.0,2024-12-15,,Stonehill,REG (Non-Conf),W,73,69,,29,58,0.5,5,17,0.294,24,41,0.585,0.543,10,12,0.833,11,21,32,8,3,4,9,13,24,53,0.453,10,23,0.435,14,30,0.467,0.547,11,12,0.917,7,18,25,12,7,5,12,14,2025,boston-college
35505,12.0,12.0,2024-12-21,,SMU,REG (Conf),L,77,103,,23,61,0.377,7,17,0.412,16,44,0.364,0.434,24,33,0.727,17,14,31,9,5,2,15,17,38,59,0.644,11,16,0.688,27,43,0.628,0.737,16,20,0.8,7,22,29,15,6,3,10,20,2025,boston-college
35506,13.0,13.0,2024-12-28,,FDU,REG (Non-Conf),W,78,70,,29,55,0.527,4,14,0.286,25,41,0.61,0.564,16,18,0.889,12,25,37,9,5,6,9,15,25,56,0.446,12,29,0.414,13,27,0.481,0.554,8,13,0.615,7,14,21,15,5,2,7,17,2025,boston-college
35507,14.0,14.0,2025-01-01,,Miami (FL),REG (Conf),W,78,68,,26,56,0.464,5,13,0.385,21,43,0.488,0.509,21,26,0.808,10,28,38,11,7,4,13,14,27,69,0.391,5,23,0.217,22,46,0.478,0.428,9,14,0.643,11,20,31,10,7,9,10,20,2025,boston-college
35508,15.0,15.0,2025-01-04,@,Georgia Tech,REG (Conf),L,64,85,,25,59,0.424,5,15,0.333,20,44,0.455,0.466,9,15,0.6,8,22,30,14,3,2,13,21,31,53,0.585,8,17,0.471,23,36,0.639,0.66,15,27,0.556,4,27,31,19,8,5,8,15,2025,boston-college
35509,16.0,16.0,2025-01-11,,Syracuse,REG (Conf),L,71,79,,27,62,0.435,4,16,0.25,23,46,0.5,0.468,13,20,0.65,9,23,32,9,3,4,6,18,29,59,0.492,5,15,0.333,24,44,0.545,0.534,16,22,0.727,7,27,34,8,1,1,5,15,2025,boston-college
35510,17.0,17.0,2025-01-13,@,Notre Dame,REG (Conf),L,60,78,,22,47,0.468,10,19,0.526,12,28,0.429,0.574,6,6,1.0,4,15,19,10,6,2,16,23,26,55,0.473,3,15,0.2,23,40,0.575,0.5,23,27,0.852,15,18,33,7,13,1,9,12,2025,boston-college
35511,18.0,18.0,2025-01-18,,Duke,REG (Conf),L,63,88,,22,49,0.449,5,15,0.333,17,34,0.5,0.5,14,26,0.538,3,16,19,7,2,5,7,17,30,57,0.526,8,24,0.333,22,33,0.667,0.596,20,25,0.8,8,25,33,18,4,3,8,21,2025,boston-college
35512,19.0,19.0,2025-01-21,@,Virginia,REG (Conf),L,56,74,,22,47,0.468,4,15,0.267,18,32,0.563,0.511,8,10,0.8,3,17,20,12,5,0,15,14,26,50,0.52,11,20,0.55,15,30,0.5,0.63,11,14,0.786,7,21,28,17,10,3,10,11,2025,boston-college
35513,20.0,20.0,2025-01-25,@,North Carolina,REG (Conf),L,96,102,OT,36,66,0.545,14,24,0.583,22,42,0.524,0.652,10,14,0.714,5,15,20,20,6,6,8,22,35,63,0.556,6,16,0.375,29,47,0.617,0.603,26,33,0.788,11,23,34,16,4,2,8,13,2025,boston-college
35514,21.0,21.0,2025-02-01,,Florida State,REG (Conf),W,77,76,,24,66,0.364,11,27,0.407,13,39,0.333,0.447,18,22,0.818,12,23,35,10,7,6,7,25,20,52,0.385,6,15,0.4,14,37,0.378,0.442,30,39,0.769,8,28,36,11,4,2,12,21,2025,boston-college
35515,22.0,22.0,2025-02-05,,Louisville,REG (Conf),L,58,84,,23,60,0.383,6,20,0.3,17,40,0.425,0.433,6,11,0.545,7,23,30,7,3,3,14,14,34,68,0.5,9,23,0.391,25,45,0.556,0.566,7,11,0.636,10,31,41,12,7,1,11,12,2025,boston-college
35516,23.0,23.0,2025-02-08,@,Syracuse,REG (Conf),L,86,95,3OT,33,77,0.429,11,32,0.344,22,45,0.489,0.5,9,18,0.5,10,29,39,12,6,2,16,23,35,74,0.473,7,19,0.368,28,55,0.509,0.52,18,32,0.563,12,32,44,13,10,3,13,16,2025,boston-college
35517,24.0,24.0,2025-02-12,,Notre Dame,REG (Conf),L,94,97,2OT,36,67,0.537,10,21,0.476,26,46,0.565,0.612,12,15,0.8,4,27,31,22,6,5,9,21,35,74,0.473,7,23,0.304,28,51,0.549,0.52,20,29,0.69,12,24,36,10,6,3,9,12,2025,boston-college
35518,25.0,25.0,2025-02-15,@,NC State,REG (Conf),L,62,70,,17,48,0.354,5,18,0.278,12,30,0.4,0.406,23,27,0.852,10,30,40,6,4,4,16,19,24,61,0.393,5,23,0.217,19,38,0.5,0.434,17,25,0.68,9,22,31,14,12,3,5,21,2025,boston-college
35519,26.0,26.0,2025-02-18,,Virginia Tech,REG (Conf),W,54,36,,24,53,0.453,3,18,0.167,21,35,0.6,0.481,3,6,0.5,5,27,32,14,9,5,11,12,15,51,0.294,3,19,0.158,12,32,0.375,0.324,3,8,0.375,9,23,32,9,11,1,16,12,2025,boston-college
35520,27.0,27.0,2025-02-22,,Georgia Tech,REG (Conf),W,69,54,,24,57,0.421,9,24,0.375,15,33,0.455,0.5,12,18,0.667,7,27,34,15,8,6,6,15,18,56,0.321,5,23,0.217,13,33,0.394,0.366,13,18,0.722,11,26,37,13,1,3,12,17,2025,boston-college
35521,28.0,28.0,2025-02-26,@,Stanford,REG (Conf),L,60,78,,23,58,0.397,7,20,0.35,16,38,0.421,0.457,7,10,0.7,8,18,26,9,4,3,14,16,28,59,0.475,9,22,0.409,19,37,0.514,0.551,13,14,0.929,11,23,34,12,9,5,11,15,2025,boston-college
35522,29.0,29.0,2025-03-01,@,California,REG (Conf),L,71,82,,25,63,0.397,4,14,0.286,21,49,0.429,0.429,17,21,0.81,9,23,32,6,6,4,11,21,30,61,0.492,7,18,0.389,23,43,0.535,0.549,15,21,0.714,10,28,38,11,6,6,12,15,2025,boston-college
35523,30.0,30.0,2025-03-05,,Clemson,REG (Conf),L,69,78,,25,60,0.417,6,18,0.333,19,42,0.452,0.467,13,18,0.722,7,17,24,11,8,4,7,14,29,58,0.5,8,20,0.4,21,38,0.553,0.569,12,16,0.75,12,28,40,11,5,4,13,16,2025,boston-college
35524,31.0,31.0,2025-03-08,@,Pittsburgh,REG (Conf),L,67,93,,23,53,0.434,5,25,0.2,18,28,0.643,0.481,16,26,0.615,10,15,25,14,4,3,12,21,30,60,0.5,12,30,0.4,18,30,0.6,0.6,21,27,0.778,12,22,34,21,8,2,8,19,2025,boston-college
35525,,,,,,,12-19,2182,2349,,783,1811,0.432,206,597,0.345,577,1214,0.475,0.489,410,570,0.719,268,697,965,355,162,121,350,571,821,1802,0.456,228,647,0.352,593,1155,0.513,0.519,479,668,0.717,272,737,1009,397,200,97,320,518,2025,boston-college
