,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35271,1,2024-11-04,,Northeastern,L,72,80,29,62,.468,9,21,.429,5,11,.455,12,27,16,5,2,11,15,,30,47,.638,7,16,.438,13,22,.591,3,23,13,10,7,12,17,2025,boston-university
35272,2,2024-11-08,@,San Diego,L,60,74,21,61,.344,9,33,.273,9,15,.600,11,31,9,5,0,8,14,,28,59,.475,10,28,.357,8,12,.667,12,37,15,5,6,9,17,2025,boston-university
35273,3,2024-11-11,@,UCLA,L,40,71,14,46,.304,6,24,.250,6,9,.667,6,25,10,9,1,27,22,,24,60,.400,5,22,.227,18,21,.857,11,35,14,14,2,15,15,2025,boston-university
35274,4,2024-11-16,,Dartmouth,W,78,50,30,55,.545,6,22,.273,12,20,.600,7,43,14,6,5,12,19,,17,58,.293,8,30,.267,8,17,.471,6,24,11,5,1,9,18,2025,boston-university
35275,5,2024-11-19,,Wagner,L,58,60,17,47,.362,9,27,.333,15,26,.577,13,35,10,8,3,15,10,,22,55,.400,6,18,.333,10,13,.769,11,31,13,8,1,10,19,2025,boston-university
35276,6,2024-11-23,@,UMBC,W,75,71,27,58,.466,9,25,.360,12,15,.800,5,34,12,3,2,14,19,,21,55,.382,5,18,.278,24,26,.923,4,23,11,9,2,8,15,2025,boston-university
35277,7,2024-11-24,N,Howard,W,69,62,22,54,.407,13,27,.481,12,16,.750,10,33,9,6,4,12,13,,25,55,.455,2,16,.125,10,11,.909,6,27,7,8,1,14,14,2025,boston-university
35278,8,2024-12-01,,Sacred Heart,L,65,73,20,57,.351,9,29,.310,16,17,.941,4,28,15,7,3,13,14,,23,55,.418,13,28,.464,14,16,.875,5,29,16,7,5,12,17,2025,boston-university
35279,9,2024-12-07,,Albany (NY),W (1 OT),80,74,28,52,.538,9,24,.375,15,26,.577,10,38,16,7,10,17,15,,26,62,.419,11,22,.500,11,14,.786,5,20,13,11,2,9,21,2025,boston-university
35280,10,2024-12-09,,Thomas (ME),W,113,75,40,69,.580,17,34,.500,16,29,.552,16,44,26,13,2,10,18,,24,61,.393,13,33,.394,14,17,.824,6,22,16,3,0,16,21,2025,boston-university
