,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35303,1,2024-11-04,@,Southern Miss,L,68,77,27,66,.409,10,28,.357,4,8,.500,7,31,11,8,3,13,13,,30,61,.492,5,22,.227,12,14,.857,2,29,17,9,10,12,8,2025,bowling-green-state
35304,2,2024-11-08,,Davidson,L,85,91,28,60,.467,10,22,.455,19,25,.760,5,25,12,10,5,9,21,,29,61,.475,10,25,.400,23,28,.821,7,33,18,4,6,13,21,2025,bowling-green-state
35305,3,2024-11-11,,Taylor (IN),W,107,43,40,67,.597,16,30,.533,11,15,.733,9,43,18,13,2,10,16,,16,56,.286,3,31,.097,8,14,.571,6,24,8,3,4,20,10,2025,bowling-green-state
35306,4,2024-11-16,@,Michigan State,L,72,86,27,62,.435,5,26,.192,13,14,.929,5,23,12,8,4,12,26,,27,59,.458,4,20,.200,28,32,.875,13,40,20,7,7,11,12,2025,bowling-green-state
35307,5,2024-11-19,,Niagara,W,76,68,29,52,.558,9,22,.409,9,10,.900,3,23,18,4,4,10,19,,23,55,.418,12,29,.414,10,14,.714,4,23,13,6,2,11,16,2025,bowling-green-state
35308,6,2024-11-23,@,Bellarmine,L,68,80,23,55,.418,10,26,.385,12,16,.750,5,24,9,6,1,10,18,,26,52,.500,8,20,.400,20,22,.909,5,32,12,6,4,9,14,2025,bowling-green-state
35309,7,2024-11-29,N,Weber State,L,70,73,23,59,.390,6,21,.286,18,21,.857,10,32,7,4,0,13,18,,26,55,.473,7,25,.280,14,21,.667,5,27,11,9,4,14,18,2025,bowling-green-state
35310,8,2024-11-30,N,New Mexico State,W,61,60,15,52,.288,5,21,.238,26,30,.867,8,34,10,9,3,8,15,,22,65,.338,8,22,.364,8,10,.800,12,43,17,2,2,13,22,2025,bowling-green-state
35311,9,2024-12-07,,Morgan State,W,102,81,39,68,.574,11,28,.393,13,16,.813,8,34,21,8,0,8,18,,32,72,.444,4,16,.250,13,21,.619,14,37,19,6,3,12,16,2025,bowling-green-state
35312,10,2024-12-14,@,Kansas City,L,77,85,29,56,.518,9,23,.391,10,14,.714,5,22,7,8,2,13,18,,32,54,.593,11,22,.500,10,12,.833,3,22,16,6,3,9,14,2025,bowling-green-state
35313,11,2024-12-21,,St. Thomas,L,68,93,22,59,.373,6,22,.273,18,20,.900,6,29,5,8,0,15,18,,32,62,.516,11,30,.367,18,22,.818,6,37,15,11,5,13,16,2025,bowling-green-state
35314,12,2024-12-23,,Aquinas,W,87,62,32,70,.457,10,32,.313,13,18,.722,17,46,17,10,5,14,15,,20,59,.339,9,30,.300,13,16,.813,9,30,12,8,4,16,17,2025,bowling-green-state
35315,13,2025-01-03,,Akron,L,68,71,23,66,.348,8,25,.320,14,21,.667,13,43,8,6,4,14,16,,26,67,.388,12,42,.286,7,9,.778,8,33,15,7,6,12,16,2025,bowling-green-state
35316,14,2025-01-07,@,Western Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
35317,15,2025-01-11,@,Ball State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
35318,16,2025-01-14,,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
35319,17,2025-01-18,,Eastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
35320,18,2025-01-21,@,Miami (OH),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
35321,19,2025-01-24,,Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
35322,20,2025-01-28,@,Kent State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
35323,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,bowling-green-state
35324,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,bowling-green-state
35325,21,2025-02-01,@,Central Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
35326,22,2025-02-04,,Northern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
35327,23,2025-02-11,,Ohio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
35328,24,2025-02-15,@,Buffalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
35329,25,2025-02-18,,Kent State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
35330,26,2025-02-22,@,Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
35331,27,2025-02-25,@,Eastern Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
35332,28,2025-03-01,,Ball State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
35333,29,2025-03-04,@,Northern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
35334,30,2025-03-07,,Western Michigan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bowling-green-state
