,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35335,1,2024-11-04,,Southeast Missouri State,W,88,60,30,54,.556,10,23,.435,18,25,.720,10,36,15,10,3,15,10,,24,57,.421,6,23,.261,6,10,.600,7,24,8,11,2,17,20,2025,bradley
35336,2,2024-11-08,@,Washington State,L,74,91,24,54,.444,11,26,.423,15,21,.714,7,28,15,4,2,13,24,,27,61,.443,10,31,.323,27,33,.818,14,38,16,10,3,9,22,2025,bradley
35337,3,2024-11-12,,UTSA,W,85,72,32,62,.516,10,24,.417,11,15,.733,12,44,15,5,9,16,16,,23,66,.348,6,25,.240,20,23,.870,7,25,8,10,1,8,14,2025,bradley
35338,4,2024-11-16,,Northern Illinois,W,76,60,25,43,.581,7,14,.500,19,24,.792,3,28,14,7,3,16,15,,22,55,.400,5,23,.217,11,14,.786,4,20,7,7,3,12,21,2025,bradley
35339,5,2024-11-21,N,Texas State,W,82,68,27,52,.519,12,27,.444,16,26,.615,5,30,17,6,3,9,20,,23,57,.404,2,9,.222,20,27,.741,8,32,9,6,2,11,24,2025,bradley
35340,6,2024-11-22,N,Wright State,W,77,74,29,55,.527,9,21,.429,10,15,.667,9,29,17,5,2,10,13,,27,52,.519,9,19,.474,11,15,.733,6,25,13,10,1,7,16,2025,bradley
35341,7,2024-11-24,N,Middle Tennessee,W,80,69,29,58,.500,10,22,.455,12,12,1.000,7,32,19,3,6,9,15,,26,65,.400,6,26,.231,11,16,.688,11,31,9,6,4,5,13,2025,bradley
35342,8,2024-11-29,,Judson,W,107,41,40,83,.482,22,53,.415,5,8,.625,15,41,29,24,5,8,13,,15,52,.288,2,14,.143,9,11,.818,11,38,8,1,1,33,14,2025,bradley
35343,9,2024-12-03,@,Southern Illinois,W,83,60,31,61,.508,14,22,.636,7,10,.700,5,24,20,14,5,9,12,,23,57,.404,4,16,.250,10,16,.625,12,36,10,8,5,16,12,2025,bradley
35344,10,2024-12-14,N,Santa Clara,L,74,84,25,56,.446,10,26,.385,14,16,.875,7,26,17,4,3,11,19,,27,56,.482,12,24,.500,18,24,.750,11,33,17,4,3,10,16,2025,bradley
35345,11,2024-12-18,,San Francisco,W,66,64,22,54,.407,12,20,.600,10,16,.625,5,33,11,10,4,14,15,,21,60,.350,11,31,.355,11,18,.611,8,37,10,7,4,15,17,2025,bradley
35346,12,2024-12-21,,Canisius,W,92,59,30,52,.577,12,26,.462,20,24,.833,9,33,17,5,3,5,11,,22,51,.431,7,22,.318,8,9,.889,4,19,9,3,1,8,21,2025,bradley
35347,13,2024-12-29,,Valparaiso,W (2 OT),81,75,28,70,.400,7,25,.280,18,21,.857,9,34,12,9,4,10,21,,22,64,.344,7,24,.292,24,33,.727,15,45,14,6,6,13,20,2025,bradley
35348,14,2025-01-01,@,Indiana State,W (1 OT),90,89,34,68,.500,10,31,.323,12,15,.800,5,31,14,10,1,14,28,,24,58,.414,11,38,.289,30,36,.833,8,34,15,8,0,16,17,2025,bradley
35349,15,2025-01-04,,Missouri State,W,69,60,22,45,.489,7,20,.350,18,20,.900,8,35,14,5,7,16,10,,24,63,.381,7,31,.226,5,13,.385,15,31,12,9,1,8,17,2025,bradley
35350,16,2025-01-08,,Drake,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bradley
35351,17,2025-01-11,@,UIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bradley
35352,18,2025-01-15,,Indiana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bradley
35353,19,2025-01-18,@,Murray State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bradley
35354,20,2025-01-21,@,Belmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bradley
35355,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,bradley
35356,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,bradley
35357,21,2025-01-25,,Illinois State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bradley
35358,22,2025-01-29,,UIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bradley
35359,23,2025-02-02,@,Northern Iowa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bradley
35360,24,2025-02-05,,Belmont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bradley
35361,25,2025-02-08,@,Evansville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bradley
35362,26,2025-02-12,,Southern Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bradley
