,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35673,1.0,1.0,2024-11-04,@,Siena,REG (Non-Conf),L,71,72,OT,28,64,0.438,7,22,0.318,21,42,0.5,0.492,8,13,0.615,15,25,40,8,6,9,16,24,24,66,0.364,5,20,0.25,19,46,0.413,0.402,19,28,0.679,15,21,36,7,10,4,12,15,2025,brown
35674,2.0,2.0,2024-11-10,,Maine,REG (Non-Conf),L,67,69,,23,51,0.451,7,20,0.35,16,31,0.516,0.52,14,27,0.519,7,22,29,10,7,2,13,14,27,58,0.466,4,14,0.286,23,44,0.523,0.5,11,15,0.733,6,22,28,10,7,5,13,21,2025,brown
35675,3.0,3.0,2024-11-15,,New Hampshire,REG (Non-Conf),W,76,58,,23,55,0.418,9,28,0.321,14,27,0.519,0.5,21,31,0.677,10,29,39,13,8,8,7,19,18,60,0.3,6,19,0.316,12,41,0.293,0.35,16,25,0.64,9,26,35,11,4,3,11,23,2025,brown
35676,4.0,4.0,2024-11-16,,Holy Cross,REG (Non-Conf),L,65,73,,26,63,0.413,6,29,0.207,20,34,0.588,0.46,7,10,0.7,16,20,36,14,4,7,16,15,25,56,0.446,10,21,0.476,15,35,0.429,0.536,13,14,0.929,9,19,28,9,10,4,10,11,2025,brown
35677,5.0,5.0,2024-11-17,,Sacred Heart,REG (Non-Conf),W,89,70,,31,55,0.564,15,32,0.469,16,23,0.696,0.7,12,18,0.667,6,29,35,27,5,5,9,14,26,59,0.441,10,24,0.417,16,35,0.457,0.525,8,11,0.727,5,18,23,13,6,0,8,17,2025,brown
35678,6.0,6.0,2024-11-23,@,Canisius,REG (Non-Conf),W,83,76,,27,50,0.54,11,23,0.478,16,27,0.593,0.65,18,25,0.72,11,19,30,15,3,5,10,11,29,57,0.509,8,19,0.421,21,38,0.553,0.579,10,12,0.833,6,13,19,16,5,1,10,19,2025,brown
35679,7.0,7.0,2024-11-27,,Stony Brook,REG (Non-Conf),W,77,54,,29,57,0.509,13,33,0.394,16,24,0.667,0.623,6,11,0.545,5,20,25,20,7,4,11,11,21,57,0.368,1,16,0.063,20,41,0.488,0.377,11,16,0.688,11,20,31,7,6,2,14,9,2025,brown
35680,8.0,8.0,2024-12-03,@,Vermont,REG (Non-Conf),W,60,53,,24,58,0.414,7,21,0.333,17,37,0.459,0.474,5,7,0.714,10,21,31,10,5,4,6,12,22,58,0.379,5,21,0.238,17,37,0.459,0.422,4,6,0.667,10,22,32,8,5,5,7,9,2025,brown
35681,9.0,9.0,2024-12-06,@,Bryant,REG (Non-Conf),W,76,75,,29,59,0.492,6,15,0.4,23,44,0.523,0.542,12,17,0.706,5,25,30,14,6,2,11,17,29,57,0.509,5,14,0.357,24,43,0.558,0.553,12,20,0.6,6,20,26,11,7,5,11,13,2025,brown
35682,10.0,10.0,2024-12-10,,Rhode Island,REG (Non-Conf),W,84,80,2OT,32,71,0.451,7,24,0.292,25,47,0.532,0.5,13,20,0.65,7,27,34,20,15,11,12,17,29,79,0.367,6,24,0.25,23,55,0.418,0.405,16,21,0.762,21,28,49,7,7,7,20,18,2025,brown
35683,11.0,11.0,2024-12-22,@,Kansas,REG (Non-Conf),L,53,87,,20,75,0.267,8,33,0.242,12,42,0.286,0.32,5,8,0.625,14,22,36,8,4,5,8,12,34,68,0.5,8,22,0.364,26,46,0.565,0.559,11,15,0.733,9,37,46,17,7,10,6,5,2025,brown
35684,12.0,12.0,2024-12-31,@,Kentucky,REG (Non-Conf),L,54,88,,20,49,0.408,5,21,0.238,15,28,0.536,0.459,9,12,0.75,7,23,30,11,3,3,23,17,30,60,0.5,10,28,0.357,20,32,0.625,0.583,18,23,0.783,9,18,27,18,14,5,5,15,2025,brown
35685,13.0,13.0,2025-01-05,,,REG (Non-Conf),W,98,57,,37,69,0.536,14,34,0.412,23,35,0.657,0.638,10,16,0.625,16,25,41,27,10,4,9,16,20,53,0.377,7,22,0.318,13,31,0.419,0.443,10,18,0.556,9,17,26,5,6,3,15,14,2025,brown
35686,14.0,14.0,2025-01-11,@,Yale,REG (Conf),L,58,79,,22,53,0.415,7,22,0.318,15,31,0.484,0.481,7,12,0.583,6,22,28,15,3,5,14,16,30,67,0.448,5,20,0.25,25,47,0.532,0.485,14,16,0.875,12,23,35,12,10,2,4,10,2025,brown
