,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35430,1,2024-11-04,,Dean,W,105,63,40,72,.556,7,23,.304,18,23,.783,15,49,26,9,7,13,5,,24,70,.343,7,16,.438,8,9,.889,4,18,7,9,1,14,17,2025,bryant
35431,2,2024-11-08,,Siena,L (1 OT),88,90,26,58,.448,9,22,.409,27,37,.730,14,40,16,9,9,23,24,,28,70,.400,11,28,.393,23,27,.852,14,33,7,8,2,18,29,2025,bryant
35432,3,2024-11-14,@,Buffalo,W,87,64,31,79,.392,10,27,.370,15,20,.750,15,47,19,10,4,8,22,,19,53,.358,6,27,.222,20,30,.667,3,30,9,2,4,16,19,2025,bryant
35433,4,2024-11-18,@,Delaware,W,85,84,33,65,.508,10,24,.417,9,15,.600,7,33,15,5,2,17,16,,29,68,.426,7,20,.350,19,21,.905,8,32,11,9,3,10,17,2025,bryant
35434,5,2024-11-21,@,Stonehill,L,66,67,22,60,.367,6,19,.316,16,21,.762,8,33,8,7,11,8,17,,24,66,.364,5,22,.227,14,21,.667,14,42,10,1,2,9,19,2025,bryant
35435,6,2024-11-24,@,St. Bonaventure,L,70,85,26,63,.413,7,19,.368,11,14,.786,13,32,7,5,4,12,14,,32,57,.561,8,14,.571,13,16,.813,6,28,8,7,3,12,14,2025,bryant
35436,7,2024-11-26,N,Tennessee State,W,97,85,35,67,.522,14,26,.538,13,18,.722,16,44,18,5,6,20,17,,31,73,.425,4,19,.211,19,26,.731,8,25,13,14,2,10,17,2025,bryant
35437,8,2024-11-27,@,Chattanooga,L,76,84,24,65,.369,8,24,.333,20,25,.800,15,34,10,10,4,10,18,,28,57,.491,11,30,.367,17,22,.773,7,30,19,7,1,11,16,2025,bryant
35438,9,2024-12-02,@,Drexel,W,78,73,27,61,.443,4,17,.235,20,31,.645,10,34,13,4,4,6,13,,27,68,.397,11,28,.393,8,14,.571,10,36,15,4,0,11,24,2025,bryant
35439,10,2024-12-06,,Brown,L,75,76,29,57,.509,5,14,.357,12,20,.600,6,26,11,7,5,11,13,,29,59,.492,6,15,.400,12,17,.706,5,30,14,6,2,11,17,2025,bryant
35440,11,2024-12-08,,VTSU Johnson,W,122,63,49,85,.576,18,45,.400,6,12,.500,20,51,26,7,5,6,12,,27,69,.391,4,15,.267,5,11,.455,11,30,15,4,2,13,10,2025,bryant
35441,12,2024-12-11,@,St. John's (NY),L,77,99,28,57,.491,6,17,.353,15,24,.625,9,28,9,7,3,19,19,,39,78,.500,8,26,.308,13,19,.684,20,38,18,12,5,11,20,2025,bryant
35442,13,2024-12-14,N,Fordham,L,84,86,27,61,.443,6,18,.333,24,31,.774,11,34,14,9,3,16,15,,30,69,.435,7,23,.304,19,22,.864,9,29,11,8,2,14,22,2025,bryant
35443,14,2024-12-22,@,Towson,L,65,70,24,60,.400,8,22,.364,9,11,.818,6,30,11,6,3,10,15,,26,64,.406,5,24,.208,13,17,.765,12,42,10,6,3,11,14,2025,bryant
35444,15,2024-12-30,@,Grand Canyon,L,66,112,23,67,.343,4,28,.143,16,27,.593,11,39,8,5,4,22,27,,34,83,.410,9,28,.321,35,44,.795,19,57,15,15,2,7,20,2025,bryant
35445,16,2025-01-04,,Maine,W,81,55,31,62,.500,10,26,.385,9,14,.643,15,45,20,8,6,18,16,,18,53,.340,5,17,.294,14,20,.700,3,21,8,9,1,14,17,2025,bryant
35446,17,2025-01-11,,Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bryant
35447,18,2025-01-16,@,Albany (NY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bryant
35448,19,2025-01-18,,UMass-Lowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bryant
35449,20,2025-01-23,@,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bryant
35450,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,bryant
35451,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,bryant
35452,21,2025-01-25,,Binghamton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bryant
35453,22,2025-01-30,@,UMBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bryant
35454,23,2025-02-01,@,NJIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bryant
35455,24,2025-02-06,,Albany (NY),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bryant
35456,25,2025-02-08,@,Binghamton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bryant
35457,26,2025-02-13,,NJIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bryant
35458,27,2025-02-15,,UMBC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bryant
35459,28,2025-02-20,@,Vermont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bryant
35460,29,2025-02-27,@,UMass-Lowell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bryant
35461,30,2025-03-01,@,Maine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bryant
35462,31,2025-03-04,,New Hampshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bryant
