,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35463,1,2024-11-04,@,Delaware,W,85,73,29,55,.527,10,19,.526,17,27,.630,4,34,14,6,2,16,17,,27,64,.422,8,26,.308,11,18,.611,5,26,13,8,5,14,24,2025,bucknell
35464,2,2024-11-07,@,Southern Indiana,W (1 OT),75,69,23,57,.404,4,17,.235,25,34,.735,12,38,7,6,3,16,18,,25,60,.417,8,23,.348,11,18,.611,4,25,9,12,3,10,23,2025,bucknell
35465,3,2024-11-09,@,Kentucky,L,72,100,29,73,.397,12,33,.364,2,6,.333,9,32,18,8,1,13,14,,38,79,.481,13,36,.361,11,16,.688,20,49,23,9,6,15,13,2025,bucknell
35466,4,2024-11-13,,Mount St. Mary's,L (2 OT),89,93,35,75,.467,8,31,.258,11,18,.611,10,38,15,11,7,10,26,,33,68,.485,10,30,.333,17,28,.607,10,41,16,5,3,16,20,2025,bucknell
35467,5,2024-11-16,,Richmond,W (2 OT),80,76,24,52,.462,8,27,.296,24,33,.727,2,34,14,5,9,22,19,,27,75,.360,6,28,.214,16,20,.800,11,35,8,15,1,7,25,2025,bucknell
35468,6,2024-11-21,,NJIT,W,81,64,26,54,.481,10,23,.435,19,29,.655,5,30,19,7,5,10,18,,22,61,.361,6,20,.300,14,20,.700,11,34,9,7,8,13,22,2025,bucknell
35469,7,2024-11-23,,Rider,L,53,57,17,48,.354,7,28,.250,12,20,.600,7,26,11,5,6,10,18,,17,52,.327,5,16,.313,18,27,.667,15,39,12,6,2,11,20,2025,bucknell
35470,8,2024-11-27,@,Maryland,L,67,91,23,53,.434,9,24,.375,12,19,.632,6,33,16,3,1,19,22,,33,66,.500,12,31,.387,13,20,.650,6,32,18,6,4,7,21,2025,bucknell
35471,9,2024-11-30,N,Siena,L,58,71,22,51,.431,3,22,.136,11,18,.611,8,24,9,5,1,11,24,,20,43,.465,8,17,.471,23,28,.821,4,22,11,8,5,11,19,2025,bucknell
35472,10,2024-12-04,,St. Bonaventure,L,47,64,18,47,.383,4,20,.200,7,19,.368,9,30,12,8,5,17,10,,25,56,.446,7,22,.318,7,11,.636,9,33,16,13,5,13,18,2025,bucknell
35473,11,2024-12-08,@,Radford,L (1 OT),70,74,21,58,.362,7,30,.233,21,33,.636,11,34,9,6,2,10,30,,23,59,.390,5,18,.278,23,36,.639,15,47,13,6,0,13,27,2025,bucknell
35474,12,2024-12-21,@,Gonzaga,L,65,86,24,59,.407,10,31,.323,7,10,.700,4,27,9,7,1,17,10,,34,71,.479,12,35,.343,6,9,.667,10,39,21,11,2,12,16,2025,bucknell
35475,13,2024-12-28,@,Syracuse,L,63,75,21,55,.382,10,29,.345,11,15,.733,8,22,13,12,3,17,20,,27,57,.474,7,23,.304,14,23,.609,14,41,16,13,3,20,18,2025,bucknell
35476,14,2025-01-02,@,Lehigh,L (1 OT),64,66,24,60,.400,5,18,.278,11,20,.550,8,37,12,10,4,16,21,,22,65,.338,9,27,.333,13,21,.619,9,36,10,9,5,14,16,2025,bucknell
35477,15,2025-01-05,,Colgate,W,66,60,24,56,.429,8,22,.364,10,15,.667,6,31,13,7,2,6,15,,22,53,.415,6,22,.273,10,19,.526,8,34,11,5,2,10,17,2025,bucknell
35478,16,2025-01-08,,Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bucknell
35479,17,2025-01-11,@,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bucknell
35480,18,2025-01-15,,Holy Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bucknell
35481,19,2025-01-18,,Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bucknell
35482,20,2025-01-20,@,Colgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bucknell
35483,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,bucknell
35484,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,bucknell
35485,21,2025-01-29,,Loyola (MD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bucknell
35486,22,2025-02-01,@,Navy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bucknell
35487,23,2025-02-05,,American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bucknell
35488,24,2025-02-08,@,Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bucknell
35489,25,2025-02-12,,Boston University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bucknell
35490,26,2025-02-15,@,Lafayette,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bucknell
35491,27,2025-02-17,,Lehigh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bucknell
35492,28,2025-02-23,,Army,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bucknell
35493,29,2025-02-26,@,Loyola (MD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bucknell
35494,30,2025-03-01,@,Holy Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,bucknell
