,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35560,1,2024-11-05,@,San Francisco,L,78,86,26,64,.406,12,34,.353,14,15,.933,5,28,17,12,2,16,21,,28,62,.452,7,28,.250,23,28,.821,8,33,15,12,8,15,18,2025,cal-poly
35561,2,2024-11-07,@,California,L,73,91,22,58,.379,10,26,.385,19,23,.826,8,29,11,4,2,18,22,,30,65,.462,11,26,.423,20,28,.714,14,38,12,9,5,10,18,2025,cal-poly
35562,3,2024-11-10,,Menlo,W,99,66,39,71,.549,10,32,.313,11,17,.647,13,51,21,7,5,16,8,,26,78,.333,7,32,.219,7,12,.583,8,24,11,12,2,8,14,2025,cal-poly
35563,4,2024-11-14,,Seattle,W,75,71,27,55,.491,8,25,.320,13,18,.722,7,27,9,9,1,18,13,,25,65,.385,9,30,.300,12,14,.857,12,34,11,12,1,16,16,2025,cal-poly
35564,5,2024-11-17,@,Eastern Washington,W,82,78,33,64,.516,11,31,.355,5,11,.455,10,31,20,15,3,21,15,,29,60,.483,9,27,.333,11,16,.688,6,26,17,16,2,19,14,2025,cal-poly
35565,6,2024-11-20,@,Arizona State,L,89,93,33,64,.516,13,37,.351,10,15,.667,3,23,18,8,3,11,29,,28,58,.483,10,24,.417,27,41,.659,12,41,15,9,4,13,17,2025,cal-poly
35566,7,2024-11-23,@,Saint Mary's,L,66,80,23,58,.397,8,25,.320,12,13,.923,9,27,13,11,2,17,16,,32,69,.464,8,27,.296,8,16,.500,20,44,21,12,3,14,13,2025,cal-poly
35567,8,2024-11-26,,Grambling,W,82,79,32,63,.508,9,22,.409,9,12,.750,6,31,16,5,1,8,10,,29,61,.475,13,26,.500,8,14,.571,8,31,15,4,7,11,17,2025,cal-poly
35568,9,2024-11-30,@,Stanford,W,97,90,33,61,.541,12,30,.400,19,22,.864,6,32,15,3,1,14,19,,31,67,.463,10,33,.303,18,22,.818,8,28,18,12,3,8,17,2025,cal-poly
35569,10,2024-12-05,@,UC-Davis,L,66,77,24,58,.414,7,24,.292,11,14,.786,15,40,14,7,3,33,17,,28,63,.444,9,21,.429,12,16,.750,10,30,18,18,6,18,18,2025,cal-poly
35570,11,2024-12-07,,Cal State Northridge,L,91,102,29,70,.414,12,43,.279,21,30,.700,12,35,19,9,4,17,25,,37,74,.500,8,14,.571,20,29,.690,18,44,18,11,2,12,21,2025,cal-poly
35571,12,2024-12-14,@,San Jose State,L (1 OT),100,107,38,69,.551,12,33,.364,12,18,.667,5,33,18,6,1,18,22,,39,74,.527,9,27,.333,20,29,.690,12,39,12,7,1,14,18,2025,cal-poly
35572,13,2024-12-17,,Denver,W (1 OT),95,94,29,61,.475,15,39,.385,22,31,.710,12,34,18,11,6,24,15,,36,68,.529,10,22,.455,12,15,.800,8,28,14,14,1,17,21,2025,cal-poly
35573,14,2024-12-21,@,Omaha,L,82,86,26,56,.464,12,30,.400,18,19,.947,5,30,17,5,2,15,19,,31,69,.449,8,29,.276,16,24,.667,16,39,15,10,4,9,15,2025,cal-poly
35574,15,2025-01-02,,UC-Irvine,L (1 OT),89,98,34,83,.410,13,44,.295,8,11,.727,15,43,20,9,1,18,25,,33,75,.440,4,19,.211,28,31,.903,11,44,14,10,9,15,17,2025,cal-poly
35575,16,2025-01-05,@,Hawaii,L,55,68,22,65,.338,7,31,.226,4,6,.667,10,31,10,5,1,7,17,,23,51,.451,7,21,.333,15,20,.750,8,41,17,5,2,11,13,2025,cal-poly
35576,17,2025-01-09,@,UC-San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-poly
35577,18,2025-01-11,,UCSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-poly
35578,19,2025-01-16,,UC-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-poly
35579,20,2025-01-18,@,UC-Irvine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-poly
35580,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,cal-poly
35581,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,cal-poly
35582,21,2025-01-25,,Long Beach State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-poly
35583,22,2025-01-30,@,Cal State Bakersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-poly
35584,23,2025-02-01,@,UC-Riverside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-poly
35585,24,2025-02-06,,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-poly
35586,25,2025-02-13,@,Cal State Fullerton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-poly
35587,26,2025-02-15,@,Cal State Northridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-poly
35588,27,2025-02-20,,UC-San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-poly
35589,28,2025-02-22,,UC-Riverside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-poly
35590,29,2025-02-27,@,UCSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-poly
35591,30,2025-03-01,,Cal State Bakersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-poly
35592,31,2025-03-06,,Cal State Fullerton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-poly
35593,32,2025-03-08,@,Long Beach State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-poly
