,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35594,1,2024-11-04,@,California,L,73,86,27,62,.435,9,16,.563,10,18,.556,13,34,6,5,3,17,28,,24,57,.421,7,23,.304,31,40,.775,12,34,12,7,3,11,20,2025,cal-state-bakersfield
35595,2,2024-11-07,,Bethesda University (CA),W,122,53,45,84,.536,13,31,.419,19,23,.826,22,57,19,11,5,7,12,,20,63,.317,5,24,.208,8,11,.727,6,21,10,3,4,21,17,2025,cal-state-bakersfield
35596,3,2024-11-11,,North Dakota State,W,86,81,34,59,.576,6,18,.333,12,18,.667,8,29,5,5,1,6,18,,26,50,.520,9,26,.346,20,25,.800,6,22,15,3,1,9,15,2025,cal-state-bakersfield
35597,4,2024-11-16,,Fresno State,W,74,56,30,65,.462,5,17,.294,9,18,.500,18,47,11,5,4,17,18,,21,56,.375,2,16,.125,12,19,.632,6,24,5,7,6,15,18,2025,cal-state-bakersfield
35598,5,2024-11-22,@,Florida Gulf Coast,L,54,74,18,53,.340,1,11,.091,17,19,.895,5,19,4,6,0,6,14,,27,52,.519,12,26,.462,8,9,.889,9,33,15,3,3,9,15,2025,cal-state-bakersfield
35599,6,2024-11-23,N,Florida International,L (1 OT),73,76,24,56,.429,7,17,.412,18,20,.900,5,30,14,7,4,13,23,,22,56,.393,9,23,.391,23,29,.793,6,24,11,7,6,12,20,2025,cal-state-bakersfield
35600,7,2024-11-24,N,Northeastern,W,68,60,24,64,.375,6,13,.462,14,17,.824,9,29,9,4,5,6,22,,19,45,.422,6,17,.353,16,23,.696,6,27,11,4,7,14,17,2025,cal-state-bakersfield
35601,8,2024-11-30,@,Southern Utah,L,64,74,24,56,.429,1,10,.100,15,20,.750,12,31,8,7,4,14,22,,23,48,.479,4,23,.174,24,28,.857,6,28,10,7,2,13,24,2025,cal-state-bakersfield
35602,9,2024-12-05,@,UC-Irvine,L,66,82,23,57,.404,3,10,.300,17,19,.895,11,35,13,2,2,19,26,,22,53,.415,5,18,.278,33,40,.825,12,32,18,10,5,7,18,2025,cal-state-bakersfield
35603,10,2024-12-07,@,UC-San Diego,L,60,81,22,48,.458,5,9,.556,11,12,.917,4,29,8,8,4,19,16,,26,55,.473,15,35,.429,14,19,.737,5,26,18,9,2,12,18,2025,cal-state-bakersfield
35604,11,2024-12-15,,La Sierra,W,96,47,33,61,.541,15,31,.484,15,22,.682,16,48,20,9,5,13,19,,18,65,.277,5,30,.167,6,10,.600,8,22,12,5,2,13,20,2025,cal-state-bakersfield
35605,12,2024-12-18,@,Portland,W,81,64,31,61,.508,12,19,.632,7,10,.700,9,31,16,7,3,6,17,,22,51,.431,9,24,.375,11,13,.846,7,20,12,4,5,12,11,2025,cal-state-bakersfield
35606,13,2024-12-21,,Portland State,L,58,59,20,53,.377,4,19,.211,14,17,.824,10,24,8,12,1,20,22,,21,39,.538,2,9,.222,15,22,.682,7,27,8,8,4,24,19,2025,cal-state-bakersfield
35607,14,2024-12-23,@,North Dakota State,L,60,94,23,54,.426,4,14,.286,10,21,.476,5,25,6,3,0,11,26,,27,51,.529,10,27,.370,30,35,.857,5,29,14,5,0,6,19,2025,cal-state-bakersfield
35608,15,2025-01-02,,UC-Davis,W,75,64,22,60,.367,5,13,.385,26,33,.788,19,41,8,6,1,7,24,,20,53,.377,4,21,.190,20,28,.714,10,31,5,2,1,12,25,2025,cal-state-bakersfield
35609,16,2025-01-04,,Long Beach State,W,80,65,27,59,.458,7,17,.412,19,22,.864,17,39,9,8,3,9,23,,23,45,.511,4,12,.333,15,23,.652,3,17,9,1,1,12,21,2025,cal-state-bakersfield
35610,17,2025-01-09,@,UCSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-bakersfield
35611,18,2025-01-11,,Cal State Northridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-bakersfield
35612,19,2025-01-19,@,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-bakersfield
35613,20,2025-01-23,@,Cal State Fullerton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-bakersfield
35614,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,cal-state-bakersfield
35615,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,cal-state-bakersfield
35616,21,2025-01-25,,UC-Riverside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-bakersfield
35617,22,2025-01-30,,Cal Poly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-bakersfield
35618,23,2025-02-01,@,Cal State Northridge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-bakersfield
35619,24,2025-02-06,,UCSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-bakersfield
35620,25,2025-02-08,@,UC-Riverside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-bakersfield
35621,26,2025-02-13,,UC-San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-bakersfield
35622,27,2025-02-15,,Cal State Fullerton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-bakersfield
35623,28,2025-02-20,@,UC-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-bakersfield
35624,29,2025-02-22,,UC-Irvine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-bakersfield
35625,30,2025-02-27,@,Long Beach State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-bakersfield
35626,31,2025-03-01,@,Cal Poly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-bakersfield
35627,32,2025-03-06,,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-bakersfield
