,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35916,1.0,1.0,2024-11-04,@,Grand Canyon,REG (Non-Conf),L,79,89,,24,50,0.48,7,17,0.412,17,33,0.515,0.55,24,30,0.8,8,17,25,11,10,1,17,25,28,59,0.475,10,31,0.323,18,28,0.643,0.559,23,32,0.719,16,20,36,15,9,1,17,26,2025,cal-state-fullerton
35917,2.0,2.0,2024-11-08,@,Stanford,REG (Non-Conf),L,53,80,,13,40,0.325,3,12,0.25,10,28,0.357,0.363,24,33,0.727,3,17,20,2,3,1,13,22,24,53,0.453,12,32,0.375,12,21,0.571,0.566,20,26,0.769,8,23,31,12,9,2,7,25,2025,cal-state-fullerton
35918,3.0,3.0,2024-11-13,@,Colorado,REG (Non-Conf),L,53,83,,18,58,0.31,2,17,0.118,16,41,0.39,0.328,15,17,0.882,9,16,25,4,6,1,11,16,30,53,0.566,12,27,0.444,18,26,0.692,0.679,11,14,0.786,7,28,35,22,6,5,16,14,2025,cal-state-fullerton
35919,4.0,4.0,2024-11-15,@,Oregon State,REG (Non-Conf),L,51,70,,18,54,0.333,5,22,0.227,13,32,0.406,0.38,10,13,0.769,10,19,29,11,3,0,13,23,21,48,0.438,10,29,0.345,11,19,0.579,0.542,18,24,0.75,6,25,31,14,9,5,8,14,2025,cal-state-fullerton
35920,5.0,5.0,2024-11-18,,Idaho State,REG (Non-Conf),W,62,61,,24,49,0.49,7,15,0.467,17,34,0.5,0.561,7,8,0.875,5,21,26,11,4,6,15,10,21,68,0.309,6,28,0.214,15,40,0.375,0.353,13,14,0.929,18,19,37,5,9,3,7,12,2025,cal-state-fullerton
35921,6.0,6.0,2024-11-22,@,UCLA,REG (Non-Conf),L,47,80,,15,52,0.288,5,24,0.208,10,28,0.357,0.337,12,13,0.923,11,25,36,10,6,0,19,19,30,60,0.5,6,18,0.333,24,42,0.571,0.55,14,23,0.609,9,18,27,22,14,4,7,14,2025,cal-state-fullerton
35922,7.0,7.0,2024-11-26,@,Pepperdine,REG (Non-Conf),W,72,63,,24,52,0.462,3,11,0.273,21,41,0.512,0.49,21,25,0.84,8,21,29,4,3,2,8,18,23,61,0.377,6,26,0.231,17,35,0.486,0.426,11,15,0.733,13,21,34,11,5,2,11,23,2025,cal-state-fullerton
35923,8.0,8.0,2024-11-30,@,Pacific,REG (Non-Conf),L,55,64,,19,57,0.333,4,16,0.25,15,41,0.366,0.368,13,21,0.619,7,20,27,17,4,0,5,19,21,46,0.457,5,19,0.263,16,27,0.593,0.511,17,24,0.708,8,31,39,17,2,6,14,19,2025,cal-state-fullerton
35924,9.0,9.0,2024-12-05,,Long Beach State,REG (Conf),L,56,73,,23,49,0.469,1,13,0.077,22,36,0.611,0.48,9,18,0.5,7,17,24,9,7,3,15,19,26,51,0.51,6,18,0.333,20,33,0.606,0.569,15,25,0.6,6,22,28,12,11,4,13,21,2025,cal-state-fullerton
35925,10.0,10.0,2024-12-07,@,UC Riverside,REG (Conf),L,68,75,,22,50,0.44,3,16,0.188,19,34,0.559,0.47,21,26,0.808,4,24,28,11,5,1,15,21,25,53,0.472,9,27,0.333,16,26,0.615,0.557,16,21,0.762,3,21,24,12,2,2,9,22,2025,cal-state-fullerton
