,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35662,1,2024-11-04,@,St. Bonaventure,L,56,70,20,54,.370,6,19,.316,10,16,.625,6,32,14,8,1,21,26,,20,55,.364,7,32,.219,23,34,.676,12,37,10,10,5,16,14,2025,cal-state-northridge
35663,2,2024-11-06,@,Le Moyne,W,97,75,33,60,.550,8,18,.444,23,33,.697,12,43,23,7,4,13,24,,17,53,.321,11,36,.306,30,40,.750,6,25,14,9,0,14,26,2025,cal-state-northridge
35664,3,2024-11-13,,,W,98,50,32,59,.542,11,28,.393,23,31,.742,15,46,25,10,4,18,15,,17,61,.279,5,24,.208,11,17,.647,6,20,7,13,0,13,17,2025,cal-state-northridge
35665,4,2024-11-16,@,Sacramento State,W,79,69,25,50,.500,6,17,.353,23,31,.742,9,32,10,6,4,14,18,,22,53,.415,10,30,.333,15,20,.750,9,31,15,7,0,15,27,2025,cal-state-northridge
35666,5,2024-11-24,N,Utah Tech,W,89,79,35,63,.556,8,17,.471,11,20,.550,8,31,15,7,5,11,20,,22,50,.440,10,27,.370,25,27,.926,4,22,16,5,4,14,17,2025,cal-state-northridge
35667,6,2024-11-25,N,Denver,W,89,60,27,52,.519,2,14,.143,33,38,.868,8,40,9,6,5,10,19,,19,56,.339,10,30,.333,12,18,.667,5,18,10,4,2,13,29,2025,cal-state-northridge
35668,7,2024-11-27,@,Montana,L,75,83,30,78,.385,6,25,.240,9,14,.643,15,35,17,9,4,11,26,,22,53,.415,10,28,.357,29,37,.784,9,41,12,6,7,16,13,2025,cal-state-northridge
35669,8,2024-11-30,@,Montana State,W (1 OT),72,69,27,61,.443,7,23,.304,11,18,.611,8,41,16,8,4,14,18,,23,61,.377,10,33,.303,13,19,.684,6,36,14,4,3,11,18,2025,cal-state-northridge
35670,9,2024-12-05,,UC-Riverside,L,64,68,22,55,.400,7,20,.350,13,20,.650,11,34,15,11,3,18,16,,23,59,.390,9,25,.360,13,15,.867,8,28,11,10,2,16,16,2025,cal-state-northridge
35671,10,2024-12-07,@,Cal Poly,W,102,91,37,74,.500,8,14,.571,20,29,.690,18,44,18,11,2,12,21,,29,70,.414,12,43,.279,21,30,.700,12,35,19,9,4,17,25,2025,cal-state-northridge
35672,11,2024-12-18,@,USC,L,69,90,24,59,.407,5,20,.250,16,19,.842,11,31,12,8,5,15,27,,23,49,.469,12,19,.632,32,39,.821,6,28,18,6,2,11,16,2025,cal-state-northridge
35673,12,2024-12-21,,Chicago State,W,81,57,29,67,.433,4,18,.222,19,21,.905,10,38,21,10,3,13,20,,17,52,.327,6,24,.250,17,28,.607,6,30,12,7,6,18,23,2025,cal-state-northridge
35674,13,2024-12-28,,La Sierra,W,87,52,36,71,.507,5,21,.238,10,18,.556,12,45,25,9,2,8,14,,21,60,.350,8,28,.286,2,5,.400,5,28,13,5,2,12,15,2025,cal-state-northridge
35675,14,2025-01-02,@,Cal State Fullerton,W,95,65,30,66,.455,17,39,.436,18,26,.692,10,32,17,11,2,7,20,,20,46,.435,7,19,.368,18,24,.750,6,30,8,5,2,22,18,2025,cal-state-northridge
35676,15,2025-01-04,,UC-Davis,W,73,61,27,57,.474,7,16,.438,12,23,.522,12,41,18,6,3,18,23,,16,53,.302,8,24,.333,21,29,.724,7,30,12,14,2,17,24,2025,cal-state-northridge
35677,16,2025-01-09,,UC-Irvine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-northridge
35678,17,2025-01-11,@,Cal State Bakersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-northridge
35679,18,2025-01-17,@,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-northridge
35680,19,2025-01-23,,Long Beach State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-northridge
35681,20,2025-01-25,@,UC-San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-northridge
35682,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,cal-state-northridge
35683,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,cal-state-northridge
35684,21,2025-01-30,@,UCSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-northridge
35685,22,2025-02-01,,Cal State Bakersfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-northridge
35686,23,2025-02-06,,Cal State Fullerton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-northridge
35687,24,2025-02-08,@,Long Beach State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-northridge
35688,25,2025-02-15,,Cal Poly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-northridge
35689,26,2025-02-20,@,UC-Irvine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-northridge
35690,27,2025-02-22,@,UC-Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-northridge
35691,28,2025-02-27,,UC-San Diego,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-northridge
35692,29,2025-03-01,,UCSB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-northridge
35693,30,2025-03-06,@,UC-Riverside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-northridge
35694,31,2025-03-08,,Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cal-state-northridge
