,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35695,1,2024-11-04,,Cal State Bakersfield,W,86,73,24,57,.421,7,23,.304,31,40,.775,12,34,12,7,3,11,20,,27,62,.435,9,16,.563,10,18,.556,13,34,6,5,3,17,28,2025,california
35696,2,2024-11-07,,Cal Poly,W,91,73,30,65,.462,11,26,.423,20,28,.714,14,38,12,9,5,10,18,,22,58,.379,10,26,.385,19,23,.826,8,29,11,4,2,18,22,2025,california
35697,3,2024-11-13,@,Vanderbilt,L,69,85,24,55,.436,5,14,.357,16,21,.762,8,35,6,3,3,20,12,,35,68,.515,7,25,.280,8,15,.533,7,31,19,18,4,8,17,2025,california
35698,4,2024-11-17,@,USC,W,71,66,27,55,.491,7,21,.333,10,13,.769,7,30,10,4,4,13,17,,25,57,.439,6,21,.286,10,14,.714,7,27,10,4,1,10,16,2025,california
35699,5,2024-11-21,,Air Force,W,78,69,28,52,.538,4,13,.308,18,27,.667,11,32,8,9,4,14,16,,26,51,.510,11,24,.458,6,11,.545,4,19,13,8,4,15,22,2025,california
35700,6,2024-11-24,,Sacramento State,W,83,77,25,53,.472,7,26,.269,26,39,.667,11,33,12,6,5,12,21,,25,58,.431,10,27,.370,17,26,.654,7,30,13,5,1,11,31,2025,california
35701,7,2024-11-27,,Mercyhurst,W,81,55,29,53,.547,11,21,.524,12,18,.667,6,34,14,4,6,13,14,,20,53,.377,3,13,.231,12,16,.750,4,21,7,5,1,10,16,2025,california
35702,8,2024-12-03,@,Missouri,L,93,98,31,62,.500,10,24,.417,21,25,.840,13,33,18,10,2,14,24,,35,53,.660,3,9,.333,25,38,.658,4,22,13,9,6,11,21,2025,california
35703,9,2024-12-07,,Stanford,L,81,89,30,71,.423,8,21,.381,13,16,.813,16,32,5,2,5,7,16,,30,57,.526,11,23,.478,18,20,.900,6,26,19,4,13,7,17,2025,california
35704,10,2024-12-10,,Cornell,L,80,88,28,64,.438,12,33,.364,12,16,.750,13,38,15,5,1,17,17,,33,67,.493,9,32,.281,13,20,.650,10,29,15,10,6,10,11,2025,california
35705,11,2024-12-14,,Northwestern State,W,84,66,28,53,.528,12,25,.480,16,21,.762,8,29,11,2,6,13,18,,25,58,.431,8,20,.400,8,16,.500,12,30,13,6,2,11,19,2025,california
35706,12,2024-12-21,N,San Diego State,L,50,71,14,55,.255,5,24,.208,17,21,.810,12,31,4,8,7,18,15,,25,67,.373,9,26,.346,12,15,.800,16,41,6,13,9,13,17,2025,california
35707,13,2025-01-01,@,Pitt,L,74,86,22,55,.400,6,21,.286,24,29,.828,7,27,13,5,3,6,24,,26,52,.500,8,18,.444,26,34,.765,7,30,16,3,4,8,20,2025,california
35708,14,2025-01-04,@,Clemson,L,68,80,26,57,.456,6,17,.353,10,16,.625,7,20,6,5,0,6,14,,31,50,.620,8,18,.444,10,12,.833,7,31,18,5,3,12,16,2025,california
35709,15,2025-01-08,,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
35710,16,2025-01-11,,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
35711,17,2025-01-15,@,UNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
35712,18,2025-01-18,@,NC State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
35713,19,2025-01-22,,Florida State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
35714,20,2025-01-25,,Miami (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
35715,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,california
35716,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,california
35717,21,2025-01-29,@,SMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
35718,22,2025-02-01,,Syracuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
35719,23,2025-02-05,,NC State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
35720,24,2025-02-08,,Wake Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
35721,25,2025-02-12,@,Duke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
35722,26,2025-02-15,@,Georgia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
35723,27,2025-02-22,@,Stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
35724,28,2025-02-26,,SMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
35725,29,2025-03-01,,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
35726,30,2025-03-05,@,Louisville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
35727,31,2025-03-08,@,Notre Dame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,california
