,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35760,1,2024-11-04,,Pfeiffer,W,96,49,32,58,.552,3,17,.176,29,36,.806,9,40,16,12,7,11,19,,17,59,.288,6,25,.240,9,17,.529,13,31,10,4,0,23,25,2025,campbell
35761,2,2024-11-06,@,Virginia,L,56,65,21,56,.375,11,29,.379,3,4,.750,7,25,14,7,1,7,17,,24,42,.571,6,13,.462,11,18,.611,4,32,17,3,6,10,14,2025,campbell
35762,3,2024-11-10,,Saint Francis (PA),L,64,65,21,48,.438,5,24,.208,17,21,.810,4,25,10,9,2,18,14,,25,50,.500,6,18,.333,9,11,.818,5,23,10,7,1,18,19,2025,campbell
35763,4,2024-11-13,,Newberry,W,83,40,30,60,.500,12,23,.522,11,11,1.000,5,31,20,13,2,8,16,,14,46,.304,4,15,.267,8,22,.364,12,33,8,4,2,22,14,2025,campbell
35764,5,2024-11-17,@,Navy,W,86,66,30,60,.500,7,23,.304,19,22,.864,8,31,13,12,5,8,24,,23,55,.418,5,16,.313,15,24,.625,8,31,9,2,2,14,17,2025,campbell
35765,6,2024-11-22,@,Ohio State,L,60,104,21,52,.404,4,20,.200,14,21,.667,4,26,6,3,5,14,17,,40,62,.645,13,20,.650,11,19,.579,6,35,22,8,5,7,19,2025,campbell
35766,7,2024-11-24,@,Evansville,L,53,66,16,49,.327,5,22,.227,16,18,.889,3,27,7,9,0,14,15,,23,51,.451,6,24,.250,14,20,.700,6,32,15,11,4,11,18,2025,campbell
35767,8,2024-11-30,@,Green Bay,W,72,66,26,58,.448,9,28,.321,11,15,.733,5,33,15,7,2,12,17,,23,58,.397,6,26,.231,14,19,.737,6,32,13,8,2,10,16,2025,campbell
35768,9,2024-12-04,,Coastal Carolina,L,57,58,16,50,.320,5,22,.227,20,27,.741,5,29,8,6,3,9,18,,22,48,.458,5,14,.357,9,19,.474,4,33,17,5,1,12,21,2025,campbell
35769,10,2024-12-12,@,The Citadel,W,86,58,30,62,.484,12,27,.444,14,14,1.000,10,32,21,6,4,6,12,,23,55,.418,5,24,.208,7,12,.583,9,28,8,2,3,14,12,2025,campbell
35770,11,2024-12-15,@,Morgan State,L,76,86,23,58,.397,9,25,.360,21,24,.875,11,26,13,7,1,13,15,,36,54,.667,3,7,.429,11,17,.647,7,30,15,5,6,14,19,2025,campbell
35771,12,2024-12-18,,Longwood,L,55,77,15,45,.333,6,18,.333,19,27,.704,6,25,6,4,6,14,17,,28,61,.459,7,24,.292,14,18,.778,13,40,17,8,1,11,23,2025,campbell
35772,13,2024-12-29,@,UNC,L,81,97,28,63,.444,10,25,.400,15,20,.750,8,23,15,2,2,7,18,,36,63,.571,10,28,.357,15,20,.750,8,34,20,3,3,6,18,2025,campbell
35773,14,2025-01-02,,Drexel,W,57,54,21,54,.389,7,23,.304,8,12,.667,3,33,9,8,2,12,8,,23,61,.377,5,27,.185,3,7,.429,8,37,9,8,2,12,12,2025,campbell
35774,15,2025-01-04,@,UNC Wilmington,L,69,77,25,52,.481,5,17,.294,14,20,.700,5,18,14,8,0,8,24,,23,53,.434,4,19,.211,27,33,.818,16,40,12,7,2,11,18,2025,campbell
35775,16,2025-01-09,@,Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,campbell
35776,17,2025-01-11,@,Elon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,campbell
35777,18,2025-01-16,,College of Charleston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,campbell
35778,19,2025-01-18,,Monmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,campbell
35779,20,2025-01-23,@,Stony Brook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,campbell
35780,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,campbell
35781,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,campbell
35782,21,2025-01-25,@,Hofstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,campbell
35783,22,2025-01-30,,William & Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,campbell
35784,23,2025-02-01,,Hofstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,campbell
35785,24,2025-02-06,,Elon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,campbell
35786,25,2025-02-08,,North Carolina A&T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,campbell
35787,26,2025-02-13,@,Northeastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,campbell
35788,27,2025-02-15,@,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,campbell
35789,28,2025-02-20,@,North Carolina A&T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,campbell
35790,29,2025-02-22,,Towson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,campbell
35791,30,2025-02-27,,UNC Wilmington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,campbell
35792,31,2025-03-01,@,College of Charleston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,campbell
