,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35826,1,2024-11-05,@,BYU,L,50,88,19,56,.339,7,31,.226,5,13,.385,8,28,14,5,2,17,10,,33,72,.458,15,44,.341,7,11,.636,17,44,21,11,8,10,13,2025,central-arkansas
35827,2,2024-11-07,@,Utah,L,63,98,21,67,.313,11,40,.275,10,14,.714,7,32,14,8,1,13,20,,30,65,.462,19,50,.380,19,23,.826,8,43,23,12,8,13,15,2025,central-arkansas
35828,3,2024-11-13,,Randall,W,108,49,42,89,.472,16,54,.296,8,9,.889,18,56,23,12,0,4,8,,17,61,.279,10,35,.286,5,6,.833,3,27,12,2,0,17,8,2025,central-arkansas
35829,4,2024-11-16,@,Western Illinois,L,61,63,23,53,.434,8,24,.333,7,7,1.000,7,30,12,4,3,12,18,,21,54,.389,8,29,.276,13,20,.650,7,29,11,8,3,7,9,2025,central-arkansas
35830,5,2024-11-21,,Southeast Missouri State,L (1 OT),73,77,24,62,.387,3,21,.143,22,32,.688,9,39,8,11,2,12,17,,27,68,.397,12,35,.343,11,17,.647,8,37,11,5,2,13,22,2025,central-arkansas
35831,6,2024-11-24,,UNC Asheville,W (2 OT),92,83,32,66,.485,7,27,.259,21,28,.750,10,36,20,14,0,13,16,,30,71,.423,15,40,.375,8,13,.615,15,36,17,3,4,20,23,2025,central-arkansas
35832,7,2024-11-30,@,Georgia Tech,L,68,87,21,57,.368,14,32,.438,12,14,.857,6,26,12,3,3,8,13,,29,61,.475,13,32,.406,16,20,.800,11,39,18,7,1,5,15,2025,central-arkansas
35833,8,2024-12-04,@,Little Rock,L,57,63,19,61,.311,6,26,.231,13,18,.722,12,34,13,10,4,16,15,,23,58,.397,9,29,.310,8,10,.800,9,39,14,14,12,20,17,2025,central-arkansas
35834,9,2024-12-07,@,Arkansas-Pine Bluff,L,78,84,26,71,.366,10,41,.244,16,26,.615,19,40,17,9,0,11,17,,28,53,.528,15,32,.469,13,18,.722,4,28,20,4,0,14,21,2025,central-arkansas
35835,10,2024-12-14,@,Arkansas,L,57,82,18,54,.333,7,28,.250,14,18,.778,3,18,8,6,1,8,9,,33,55,.600,9,20,.450,7,9,.778,7,33,23,5,9,12,13,2025,central-arkansas
35836,11,2024-12-16,,The Citadel,W,73,71,26,67,.388,10,32,.313,11,13,.846,10,32,16,11,4,9,12,,25,54,.463,16,35,.457,5,9,.556,5,32,21,3,1,17,13,2025,central-arkansas
35837,12,2024-12-22,@,Oklahoma,L,66,89,24,64,.375,9,32,.281,9,11,.818,9,34,14,7,2,12,11,,33,68,.485,10,29,.345,13,14,.929,8,35,19,8,2,9,11,2025,central-arkansas
35838,13,2024-12-29,,Southwestern Christian,W,87,69,34,70,.486,7,31,.226,12,20,.600,15,49,14,8,5,13,9,,27,68,.397,12,31,.387,3,6,.500,7,29,8,11,2,11,13,2025,central-arkansas
35839,14,2025-01-02,,Eastern Kentucky,L (2 OT),83,89,33,81,.407,10,36,.278,7,14,.500,8,36,20,9,5,12,19,,31,76,.408,11,33,.333,16,21,.762,10,44,17,8,3,13,17,2025,central-arkansas
35840,15,2025-01-04,,Bellarmine,W,71,65,22,55,.400,10,34,.294,17,27,.630,9,34,14,9,0,10,14,,25,57,.439,10,30,.333,5,7,.714,6,33,16,5,1,10,20,2025,central-arkansas
35841,16,2025-01-09,@,Stetson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,central-arkansas
35842,17,2025-01-11,@,Florida Gulf Coast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,central-arkansas
35843,18,2025-01-16,@,North Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,central-arkansas
35844,19,2025-01-18,@,Jacksonville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,central-arkansas
35845,20,2025-01-23,,Austin Peay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,central-arkansas
35846,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,central-arkansas
35847,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,central-arkansas
35848,21,2025-01-25,,Lipscomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,central-arkansas
35849,22,2025-01-29,,West Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,central-arkansas
35850,23,2025-02-01,@,North Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,central-arkansas
35851,24,2025-02-05,,Queens (NC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,central-arkansas
35852,25,2025-02-08,@,Austin Peay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,central-arkansas
35853,26,2025-02-13,,Jacksonville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,central-arkansas
35854,27,2025-02-15,,North Florida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,central-arkansas
35855,28,2025-02-18,@,Queens (NC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,central-arkansas
35856,29,2025-02-20,@,West Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,central-arkansas
35857,30,2025-02-24,,North Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,central-arkansas
35858,31,2025-02-26,@,Lipscomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,central-arkansas
