,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35922,1,2024-11-04,@,Clemson,L,64,91,20,50,.400,11,25,.440,13,27,.481,10,31,13,5,0,17,18,,32,65,.492,11,21,.524,16,24,.667,11,37,16,9,6,7,20,2025,charleston-southern
35923,2,2024-11-07,@,North Florida,L,66,90,28,61,.459,2,19,.105,8,20,.400,9,34,14,8,1,15,15,,32,63,.508,15,29,.517,11,18,.611,9,36,12,10,4,13,20,2025,charleston-southern
35924,3,2024-11-11,,Morris College,W,108,50,38,71,.535,10,34,.294,22,35,.629,16,50,23,7,5,8,13,,20,64,.313,6,14,.429,4,6,.667,5,20,7,4,2,17,28,2025,charleston-southern
35925,4,2024-11-15,N,Texas-Rio Grande Valley,L,76,86,27,56,.482,7,21,.333,15,24,.625,9,33,17,6,5,21,17,,36,68,.529,4,23,.174,10,13,.769,5,26,14,15,1,14,22,2025,charleston-southern
35926,5,2024-11-16,N,VMI,L,69,80,27,62,.435,7,35,.200,8,19,.421,11,36,22,4,2,17,20,,28,57,.491,6,23,.261,18,27,.667,5,24,16,9,2,7,19,2025,charleston-southern
35927,6,2024-11-19,@,LSU,L,68,77,24,66,.364,6,21,.286,14,21,.667,14,37,6,5,4,9,18,,30,59,.508,4,15,.267,13,23,.565,12,38,8,7,7,9,18,2025,charleston-southern
35928,7,2024-11-23,,Furman,L,46,67,17,54,.315,4,23,.174,8,14,.571,8,32,7,3,5,14,15,,28,57,.491,7,19,.368,4,14,.286,5,30,18,6,4,9,18,2025,charleston-southern
35929,8,2024-11-27,@,Georgia Tech,L,67,91,17,56,.304,8,24,.333,25,35,.714,10,33,13,4,3,14,17,,38,72,.528,3,11,.273,12,20,.600,12,39,18,10,1,7,26,2025,charleston-southern
35930,9,2024-11-30,@,Miami (FL),W,83,79,32,63,.508,11,24,.458,8,11,.727,10,31,15,5,0,12,14,,28,59,.475,12,33,.364,11,14,.786,7,27,16,7,4,8,13,2025,charleston-southern
35931,10,2024-12-03,,UT-Martin,W,83,68,30,56,.536,11,24,.458,12,23,.522,6,27,13,5,4,6,17,,25,54,.463,3,16,.188,15,19,.789,4,27,5,5,3,10,21,2025,charleston-southern
35932,11,2024-12-06,@,Davidson,L,72,73,27,59,.458,9,21,.429,9,18,.500,9,34,10,3,1,11,15,,27,59,.458,6,15,.400,13,18,.722,5,30,13,4,2,5,10,2025,charleston-southern
35933,12,2024-12-09,@,South Carolina State,L,63,82,22,48,.458,2,16,.125,17,29,.586,9,34,10,2,1,17,21,,31,65,.477,2,20,.100,18,25,.720,8,29,20,8,7,5,25,2025,charleston-southern
35934,13,2024-12-19,@,North Alabama,L,69,86,22,53,.415,10,26,.385,15,23,.652,12,34,9,4,2,17,13,,33,59,.559,7,18,.389,13,17,.765,5,26,16,12,4,7,16,2025,charleston-southern
35935,14,2024-12-22,@,Georgia,L,65,81,23,57,.404,8,23,.348,11,16,.688,7,25,10,5,2,14,16,,32,63,.508,9,18,.500,8,14,.571,10,35,12,8,6,10,11,2025,charleston-southern
35936,15,2024-12-28,,Columbia International,W,95,89,28,74,.378,9,35,.257,30,45,.667,16,46,10,6,4,7,12,,35,72,.486,11,22,.500,8,11,.727,2,34,19,2,2,9,27,2025,charleston-southern
35937,16,2025-01-02,,Gardner-Webb,W,72,63,23,58,.397,7,29,.241,19,30,.633,8,41,13,5,2,11,23,,21,62,.339,2,18,.111,19,26,.731,8,33,4,4,4,10,21,2025,charleston-southern
35938,17,2025-01-04,@,Longwood,L,78,83,23,45,.511,7,18,.389,25,35,.714,3,21,12,8,2,12,22,,28,52,.538,7,13,.538,20,25,.800,4,25,14,6,6,10,20,2025,charleston-southern
35939,18,2025-01-08,,High Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,charleston-southern
35940,19,2025-01-15,@,Winthrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,charleston-southern
35941,20,2025-01-18,,Radford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,charleston-southern
35942,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,charleston-southern
35943,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,charleston-southern
35944,21,2025-01-22,@,Presbyterian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,charleston-southern
35945,22,2025-01-25,,UNC Asheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,charleston-southern
35946,23,2025-01-29,@,USC Upstate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,charleston-southern
35947,24,2025-02-01,,Longwood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,charleston-southern
35948,25,2025-02-05,,Winthrop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,charleston-southern
35949,26,2025-02-08,@,Gardner-Webb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,charleston-southern
35950,27,2025-02-12,,Presbyterian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,charleston-southern
35951,28,2025-02-15,@,UNC Asheville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,charleston-southern
35952,29,2025-02-19,@,High Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,charleston-southern
35953,30,2025-02-22,,USC Upstate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,charleston-southern
35954,31,2025-03-01,@,Radford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,charleston-southern
