,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35955,1,2024-11-04,,Presbyterian,W,88,79,31,54,.574,11,22,.500,15,19,.789,3,16,20,6,0,4,9,,32,57,.561,9,21,.429,6,10,.600,9,28,18,3,4,9,16,2025,charlotte
35956,2,2024-11-09,@,Utah State,L,74,103,25,52,.481,8,22,.364,16,22,.727,8,22,12,2,0,17,23,,38,66,.576,7,22,.318,20,27,.741,15,35,24,12,3,7,21,2025,charlotte
35957,3,2024-11-13,,Richmond,W,65,48,18,51,.353,5,24,.208,24,30,.800,7,36,12,8,1,7,13,,20,50,.400,3,21,.143,5,13,.385,1,29,10,5,3,10,22,2025,charlotte
35958,4,2024-11-19,,Gardner-Webb,W,60,54,21,57,.368,6,20,.300,12,20,.600,10,32,15,6,4,8,14,,19,51,.373,3,13,.231,13,18,.722,6,32,8,4,6,13,20,2025,charlotte
35959,5,2024-11-23,,LIU,L,76,79,18,53,.340,3,16,.188,37,53,.698,14,35,10,4,2,5,22,,26,53,.491,7,19,.368,20,31,.645,7,30,10,4,5,8,30,2025,charlotte
35960,6,2024-11-27,,ETSU,L,55,75,21,53,.396,4,17,.235,9,18,.500,5,28,16,3,5,11,14,,27,64,.422,9,24,.375,12,18,.667,10,37,13,5,2,8,18,2025,charlotte
35961,7,2024-12-04,,Livingstone,W,83,61,29,65,.446,10,32,.313,15,23,.652,14,42,23,4,1,6,19,,22,57,.386,5,19,.263,12,23,.522,4,31,7,4,4,6,21,2025,charlotte
35962,8,2024-12-10,@,Davidson,L,71,75,25,54,.463,7,23,.304,14,19,.737,11,30,10,4,3,5,15,,27,55,.491,10,29,.345,11,19,.579,11,29,17,4,4,6,14,2025,charlotte
35963,9,2024-12-14,@,Georgia State,W,77,63,25,48,.521,2,14,.143,25,36,.694,4,27,14,8,2,11,23,,20,58,.345,2,18,.111,21,29,.724,14,34,5,8,4,13,24,2025,charlotte
35964,10,2024-12-17,,West Georgia,W,75,70,20,54,.370,8,21,.381,27,31,.871,10,28,9,8,3,9,14,,30,58,.517,4,11,.364,6,11,.545,9,31,12,7,3,12,24,2025,charlotte
35965,11,2024-12-22,@,Hawaii,L,61,78,21,53,.396,5,14,.357,14,19,.737,4,20,7,4,3,7,16,,32,59,.542,5,15,.333,9,13,.692,8,34,13,3,0,11,19,2025,charlotte
35966,12,2024-12-24,N,Murray State,W (2 OT),94,90,28,60,.467,4,18,.222,34,36,.944,7,32,7,4,5,14,25,,29,69,.420,6,26,.231,26,36,.722,8,28,10,5,3,5,27,2025,charlotte
35967,13,2024-12-25,N,College of Charleston,L,81,84,25,63,.397,6,27,.222,25,33,.758,9,32,13,4,1,5,23,,29,62,.468,8,28,.286,18,27,.667,10,40,17,1,1,9,22,2025,charlotte
35968,14,2024-12-31,,Tulane,L,68,83,22,55,.400,6,23,.261,18,22,.818,6,36,9,1,1,17,19,,27,57,.474,8,23,.348,21,31,.677,3,27,13,13,4,7,18,2025,charlotte
