,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
35988,1,2024-11-04,@,USC,L,51,77,15,54,.278,6,34,.176,15,19,.789,11,31,13,6,2,13,13,,32,64,.500,8,25,.320,5,7,.714,8,32,21,9,3,9,17,2025,chattanooga
35989,2,2024-11-07,@,Saint Mary's,L,74,86,27,53,.509,8,20,.400,12,17,.706,2,20,19,4,0,9,22,,27,52,.519,8,22,.364,24,32,.750,8,29,17,5,4,9,18,2025,chattanooga
35990,3,2024-11-11,@,Austin Peay,L,61,67,25,64,.391,5,29,.172,6,9,.667,11,33,14,6,1,10,19,,21,48,.438,6,15,.400,19,26,.731,7,33,9,7,3,10,15,2025,chattanooga
35991,4,2024-11-14,,Morehead State,W,76,62,27,62,.435,9,33,.273,13,15,.867,6,32,17,7,0,10,19,,21,51,.412,5,17,.294,15,25,.600,6,29,10,8,0,14,15,2025,chattanooga
35992,5,2024-11-17,@,Southeast Missouri State,W,87,82,28,58,.483,9,26,.346,22,31,.710,7,38,12,2,2,14,15,,33,70,.471,6,26,.231,10,17,.588,7,31,13,9,3,8,24,2025,chattanooga
35993,6,2024-11-21,,Johnson University,W,72,52,27,66,.409,9,34,.265,9,11,.818,10,32,12,9,3,7,9,,19,50,.380,6,20,.300,8,9,.889,4,27,6,3,2,12,11,2025,chattanooga
35994,7,2024-11-25,,Tennessee State,W,85,78,25,57,.439,7,30,.233,28,36,.778,6,31,8,5,5,9,15,,30,72,.417,9,28,.321,9,14,.643,14,37,11,4,3,13,25,2025,chattanooga
35995,8,2024-11-27,,Bryant,W,84,76,28,57,.491,11,30,.367,17,22,.773,7,30,19,7,1,11,16,,24,65,.369,8,24,.333,20,25,.800,15,34,10,10,4,10,18,2025,chattanooga
35996,9,2024-12-03,,Lipscomb,L,62,80,25,56,.446,6,19,.316,6,9,.667,2,20,13,7,1,8,7,,33,57,.579,8,17,.471,6,6,1.000,5,31,15,6,3,12,11,2025,chattanooga
35997,10,2024-12-12,@,Evansville,W,75,67,29,58,.500,12,26,.462,5,6,.833,5,27,18,8,0,13,12,,24,54,.444,10,28,.357,9,13,.692,5,26,18,7,5,15,11,2025,chattanooga
35998,11,2024-12-15,,Alabama A&M,W,85,63,25,49,.510,14,32,.438,21,24,.875,9,30,19,6,1,9,15,,24,55,.436,11,21,.524,4,13,.308,8,25,11,7,1,10,21,2025,chattanooga
35999,12,2024-12-18,,Tennessee Wesleyan,W,99,52,39,74,.527,14,38,.368,7,11,.636,9,53,25,3,4,7,13,,18,64,.281,5,25,.200,11,19,.579,3,25,8,5,4,5,14,2025,chattanooga
36000,13,2024-12-21,@,Indiana,L,65,74,24,59,.407,10,28,.357,7,10,.700,5,25,18,4,2,10,19,,29,58,.500,5,20,.250,11,20,.550,11,36,16,7,4,10,15,2025,chattanooga
36001,14,2025-01-01,@,Mercer,L (1 OT),94,99,37,76,.487,14,37,.378,6,6,1.000,11,42,25,6,3,16,19,,33,74,.446,15,30,.500,18,27,.667,9,35,20,11,5,10,9,2025,chattanooga
36002,15,2025-01-04,@,The Citadel,W,81,68,30,58,.517,9,23,.391,12,16,.750,6,31,19,8,3,4,17,,23,52,.442,8,21,.381,14,23,.609,5,28,11,3,2,11,15,2025,chattanooga
36003,16,2025-01-09,,UNC Greensboro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,chattanooga
36004,17,2025-01-11,,VMI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,chattanooga
36005,18,2025-01-15,,Wofford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,chattanooga
