,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36021,1,2024-11-04,@,Loyola (IL),L,72,79,26,62,.419,8,26,.308,12,20,.600,4,31,12,8,6,12,23,,26,63,.413,6,25,.240,21,29,.724,8,38,14,6,5,8,19,2025,chicago-state
36022,2,2024-11-09,,Youngstown State,L,60,80,19,61,.311,3,14,.214,19,26,.731,8,28,5,9,3,11,25,,26,60,.433,5,19,.263,23,32,.719,17,46,13,1,7,12,17,2025,chicago-state
36023,3,2024-11-12,@,Texas,L,58,105,19,64,.297,8,26,.308,12,19,.632,7,28,8,5,4,12,23,,36,63,.571,9,18,.500,24,33,.727,7,43,21,5,5,9,17,2025,chicago-state
36024,4,2024-11-16,@,San Francisco,L,37,82,13,55,.236,5,23,.217,6,6,1.000,6,30,5,8,3,23,20,,30,64,.469,11,30,.367,11,17,.647,14,47,20,11,3,14,13,2025,chicago-state
36025,5,2024-11-19,,Eastern Kentucky,L,66,86,24,61,.393,9,25,.360,9,14,.643,6,34,15,8,9,14,13,,35,75,.467,11,30,.367,5,12,.417,14,45,25,10,2,10,14,2025,chicago-state
36026,6,2024-11-22,@,Indiana State,L,61,97,24,68,.353,4,26,.154,9,14,.643,11,33,4,8,1,11,19,,34,60,.567,15,33,.455,14,21,.667,9,44,20,8,2,13,11,2025,chicago-state
36027,7,2024-11-25,N,Radford,L,48,63,15,54,.278,5,14,.357,13,23,.565,10,28,8,11,3,10,25,,15,51,.294,5,19,.263,28,34,.824,21,52,10,6,7,18,19,2025,chicago-state
36028,8,2024-11-26,N,Drexel,L,71,83,25,55,.455,12,28,.429,9,15,.600,11,23,14,9,4,15,21,,31,52,.596,8,19,.421,13,20,.650,9,29,15,6,5,15,11,2025,chicago-state
36029,9,2024-11-30,@,Wisconsin,L,53,74,20,59,.339,6,24,.250,7,7,1.000,7,33,8,3,5,10,20,,23,59,.390,10,30,.333,18,21,.857,9,37,17,3,4,8,10,2025,chicago-state
36030,10,2024-12-02,@,St. Thomas,L,76,98,25,64,.391,9,32,.281,17,27,.630,12,33,14,9,2,14,24,,29,56,.518,10,24,.417,30,35,.857,6,36,22,10,0,15,22,2025,chicago-state
36031,11,2024-12-08,@,Saint Louis,L,62,85,22,62,.355,8,24,.333,10,15,.667,11,30,11,5,5,11,18,,29,60,.483,12,29,.414,15,20,.750,12,42,19,6,2,11,13,2025,chicago-state
36032,12,2024-12-15,@,Mercer,L,63,75,24,65,.369,9,31,.290,6,8,.750,10,35,19,6,4,11,14,,29,66,.439,4,24,.167,13,16,.813,10,39,11,7,2,9,9,2025,chicago-state
36033,13,2024-12-19,@,Grand Canyon,L,51,74,20,54,.370,6,20,.300,5,10,.500,2,22,7,8,2,23,22,,28,55,.509,4,17,.235,14,25,.560,6,33,11,14,6,18,13,2025,chicago-state
36034,14,2024-12-21,@,Cal State Northridge,L,57,81,17,52,.327,6,24,.250,17,28,.607,6,30,12,7,6,18,23,,29,67,.433,4,18,.222,19,21,.905,10,38,21,10,3,13,20,2025,chicago-state
36035,15,2024-12-29,@,Illinois,L,64,117,25,67,.373,10,31,.323,4,4,1.000,4,18,10,5,0,14,19,,41,66,.621,15,33,.455,20,28,.714,10,45,26,6,6,10,8,2025,chicago-state
36036,16,2025-01-03,@,Wagner,W,64,52,22,44,.500,7,20,.350,13,18,.722,3,25,12,7,2,13,13,,19,50,.380,4,21,.190,10,13,.769,7,27,10,6,0,11,17,2025,chicago-state
36037,17,2025-01-05,@,LIU,L,39,53,14,48,.292,3,20,.150,8,10,.800,4,30,10,6,4,15,16,,19,50,.380,3,16,.188,12,17,.706,7,35,6,8,3,9,14,2025,chicago-state
36038,18,2025-01-12,,Stonehill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,chicago-state
36039,19,2025-01-18,,Le Moyne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,chicago-state
36040,20,2025-01-20,,FDU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,chicago-state
