,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36087,1,2024-11-04,,Charleston Southern,W,91,64,32,65,.492,11,21,.524,16,24,.667,11,37,16,9,6,7,20,,20,50,.400,11,25,.440,13,27,.481,10,31,13,5,0,17,18,2025,clemson
36088,2,2024-11-08,,Saint Francis (PA),W,88,62,33,56,.589,12,27,.444,10,17,.588,7,33,19,12,4,16,16,,22,56,.393,8,20,.400,10,14,.714,6,23,9,10,0,16,14,2025,clemson
36089,3,2024-11-12,,Eastern Kentucky,W,75,62,28,61,.459,7,24,.292,12,19,.632,17,39,17,8,4,13,10,,26,61,.426,6,24,.250,4,5,.800,11,28,6,6,5,15,18,2025,clemson
36090,4,2024-11-17,@,Boise State,L,71,84,25,68,.368,6,25,.240,15,20,.750,11,31,8,7,1,8,24,,25,55,.455,7,24,.292,27,30,.900,11,42,14,5,3,9,17,2025,clemson
36091,5,2024-11-21,,Radford,W,79,51,25,49,.510,11,23,.478,18,22,.818,6,35,12,5,4,11,18,,17,55,.309,4,20,.200,13,19,.684,9,28,2,9,1,11,22,2025,clemson
36092,6,2024-11-25,N,San Francisco,W,70,55,28,58,.483,7,17,.412,7,10,.700,13,37,14,7,2,12,14,,20,51,.392,8,24,.333,7,7,1.000,5,21,12,5,0,13,15,2025,clemson
36093,7,2024-11-26,N,Penn State,W,75,67,25,57,.439,9,19,.474,16,20,.800,9,31,17,7,3,13,15,,26,56,.464,4,18,.222,11,15,.733,6,28,18,5,5,16,19,2025,clemson
36094,8,2024-11-29,,Florida A&M,W,86,58,30,60,.500,9,25,.360,17,20,.850,12,39,15,9,1,9,9,,23,55,.418,11,26,.423,1,6,.167,7,22,11,7,1,14,16,2025,clemson
36095,9,2024-12-03,,Kentucky,W,70,66,24,65,.369,8,25,.320,14,19,.737,14,42,13,6,9,7,15,,24,63,.381,7,27,.259,11,18,.611,10,35,11,6,6,12,20,2025,clemson
36096,10,2024-12-07,@,Miami (FL),W,65,55,23,58,.397,9,27,.333,10,12,.833,10,30,10,4,3,7,12,,23,56,.411,4,25,.160,5,6,.833,11,34,5,3,2,11,11,2025,clemson
36097,11,2024-12-14,,Memphis,L (1 OT),82,87,30,67,.448,10,31,.323,12,15,.800,10,29,16,6,3,13,16,,31,60,.517,12,25,.480,13,17,.765,10,30,17,7,5,14,16,2025,clemson
36098,12,2024-12-17,@,South Carolina,L (1 OT),88,91,30,64,.469,9,21,.429,19,21,.905,8,27,13,7,2,10,23,,30,58,.517,7,17,.412,24,34,.706,10,32,16,4,4,11,21,2025,clemson
36099,13,2024-12-21,,Wake Forest,W,73,62,24,61,.393,10,31,.323,15,16,.938,7,28,17,11,3,12,12,,25,50,.500,3,13,.231,9,12,.750,4,30,5,10,1,18,17,2025,clemson
36100,14,2025-01-01,,Stanford,W,85,71,28,58,.483,8,19,.421,21,24,.875,8,28,14,16,6,10,14,,27,61,.443,6,20,.300,11,12,.917,10,31,8,6,4,17,20,2025,clemson
36101,15,2025-01-04,,California,W,80,68,31,50,.620,8,18,.444,10,12,.833,7,31,18,5,3,12,16,,26,57,.456,6,17,.353,10,16,.625,7,20,6,5,0,6,14,2025,clemson
36102,16,2025-01-07,@,Louisville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,clemson
36103,17,2025-01-11,,Florida State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,clemson
36104,18,2025-01-14,@,Georgia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,clemson
36105,19,2025-01-18,@,Pitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,clemson
36106,20,2025-01-22,,Syracuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,clemson
36107,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,clemson
36108,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,clemson
36109,21,2025-01-25,@,Virginia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,clemson
36110,22,2025-02-01,@,NC State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,clemson
36111,23,2025-02-04,,Georgia Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,clemson
