,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36120,1,2024-11-04,@,Michigan,L,53,101,21,70,.300,2,19,.105,9,11,.818,18,31,5,10,4,20,21,,39,57,.684,10,18,.556,13,22,.591,6,28,22,11,8,16,16,2025,cleveland-state
36121,2,2024-11-06,,Baldwin-Wallace,W,91,53,37,65,.569,3,11,.273,14,19,.737,12,39,11,13,9,11,22,,16,48,.333,8,19,.421,13,23,.565,5,21,8,6,2,19,14,2025,cleveland-state
36122,3,2024-11-09,@,Kansas State,L,64,77,23,60,.383,6,18,.333,12,16,.750,16,29,12,13,3,17,20,,26,45,.578,10,19,.526,15,26,.577,5,18,16,12,6,19,17,2025,cleveland-state
36123,4,2024-11-12,@,Valparaiso,W,75,67,30,58,.517,5,14,.357,10,13,.769,8,28,15,7,6,15,19,,22,54,.407,4,19,.211,19,24,.792,9,25,8,7,2,13,14,2025,cleveland-state
36124,5,2024-11-16,,Eastern Michigan,W,71,63,27,52,.519,5,14,.357,12,18,.667,8,29,13,6,6,13,17,,23,56,.411,7,20,.350,10,14,.714,9,25,12,8,4,16,17,2025,cleveland-state
36125,6,2024-11-19,@,Minnesota,L,47,58,19,54,.352,5,20,.250,4,4,1.000,5,28,11,9,4,15,17,,20,52,.385,3,15,.200,15,19,.789,7,34,13,6,6,14,9,2025,cleveland-state
36126,7,2024-11-23,,Kent State,L,52,68,15,50,.300,3,20,.150,19,28,.679,10,26,7,9,4,13,16,,23,51,.451,11,22,.500,11,13,.846,9,35,13,10,7,16,22,2025,cleveland-state
36127,8,2024-11-26,,NJIT,W,56,53,20,52,.385,0,13,.000,16,24,.667,10,28,6,6,5,12,15,,17,49,.347,5,20,.250,14,15,.933,7,27,12,7,6,17,21,2025,cleveland-state
36128,9,2024-11-29,,Morehead State,L,69,71,21,53,.396,4,17,.235,23,30,.767,10,30,6,9,5,10,18,,22,41,.537,7,18,.389,20,31,.645,5,28,12,8,2,16,20,2025,cleveland-state
36129,10,2024-12-05,@,Milwaukee,L,67,79,27,57,.474,5,15,.333,8,12,.667,8,23,11,11,3,12,26,,23,52,.442,5,21,.238,28,37,.757,18,37,13,7,6,12,13,2025,cleveland-state
36130,11,2024-12-07,@,Green Bay,W,83,61,27,56,.482,10,23,.435,19,21,.905,8,31,17,13,6,13,22,,19,46,.413,6,19,.316,17,21,.810,6,24,14,7,5,19,16,2025,cleveland-state
36131,12,2024-12-14,,Brescia,W,103,37,39,80,.488,15,38,.395,10,16,.625,21,45,22,21,5,6,14,,11,49,.224,2,13,.154,13,15,.867,9,26,5,4,2,27,16,2025,cleveland-state
36132,13,2024-12-19,,Oakland,W,92,75,34,69,.493,11,23,.478,13,16,.813,12,30,21,7,2,3,15,,28,59,.475,13,31,.419,6,12,.500,12,30,19,2,5,14,18,2025,cleveland-state
36133,14,2024-12-22,,Midway,W,116,60,43,79,.544,12,26,.462,18,21,.857,13,49,28,13,9,6,14,,23,67,.343,8,25,.320,6,13,.462,9,30,12,2,3,18,14,2025,cleveland-state
36134,15,2024-12-29,,Wright State,W,78,64,28,57,.491,9,18,.500,13,19,.684,7,31,17,6,3,8,13,,26,58,.448,5,23,.217,7,12,.583,7,25,11,6,6,9,15,2025,cleveland-state
36135,16,2025-01-04,,IU Indianapolis,W,67,61,23,54,.426,6,20,.300,15,24,.625,10,30,13,8,4,6,16,,19,53,.358,10,28,.357,13,18,.722,13,35,11,3,5,13,19,2025,cleveland-state
36136,17,2025-01-08,@,Robert Morris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cleveland-state
36137,18,2025-01-11,@,Youngstown State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cleveland-state
36138,19,2025-01-15,,Northern Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cleveland-state
36139,20,2025-01-19,@,IU Indianapolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,cleveland-state
36140,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,cleveland-state
36141,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,cleveland-state
