,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36479,1,1,2024-11-04,,Western Michigan,REG (Non-Conf),W,60,56,,22,47,.468,6,20,.300,16,27,.593,.532,10,15,.667,3,30,33,13,4,3,9,22,18,52,.346,3,15,.200,15,37,.405,.375,17,28,.607,8,23,31,5,7,2,8,16,2025,coastal-carolina
36480,2,2,2024-11-09,@,East Carolina,REG (Non-Conf),L,59,63,,20,59,.339,8,22,.364,12,37,.324,.407,11,18,.611,10,23,33,11,2,1,4,30,17,51,.333,4,19,.211,13,32,.406,.373,25,40,.625,14,26,40,7,2,7,4,19,2025,coastal-carolina
36481,3,3,2024-11-13,@,NC State,REG (Non-Conf),L,70,82,,23,51,.451,5,18,.278,18,33,.545,.500,19,20,.950,8,19,27,8,4,4,13,26,27,57,.474,0,10,.000,27,47,.574,.474,28,35,.800,10,17,27,11,8,3,10,21,2025,coastal-carolina
36482,4,4,2024-11-17,,Jacksonville State,REG (Non-Conf),L,53,71,,19,53,.358,8,23,.348,11,30,.367,.434,7,14,.500,4,21,25,10,1,1,5,11,28,54,.519,6,17,.353,22,37,.595,.574,9,12,.750,4,31,35,9,2,5,3,12,2025,coastal-carolina
36483,5,5,2024-11-22,N,IU Indy,REG (Non-Conf),W,71,57,,27,48,.563,10,24,.417,17,24,.708,.667,7,11,.636,5,26,31,15,2,0,10,17,19,52,.365,7,27,.259,12,25,.480,.433,12,17,.706,5,14,19,5,4,2,6,15,2025,coastal-carolina
36484,6,6,2024-11-23,@,Alabama A&M,REG (Non-Conf),L,70,77,,21,52,.404,9,23,.391,12,29,.414,.490,19,29,.655,14,24,38,12,5,0,13,24,24,56,.429,7,16,.438,17,40,.425,.491,22,31,.710,11,22,33,10,6,2,11,25,2025,coastal-carolina
36485,7,7,2024-11-30,,USC Upstate,REG (Non-Conf),W,73,51,,29,55,.527,9,21,.429,20,34,.588,.609,6,10,.600,5,36,41,14,3,0,13,12,21,63,.333,0,16,.000,21,47,.447,.333,9,12,.750,6,21,27,4,10,4,4,9,2025,coastal-carolina
36486,8,8,2024-12-04,@,Campbell,REG (Non-Conf),W,58,57,,22,48,.458,5,14,.357,17,34,.500,.510,9,19,.474,4,29,33,17,5,1,12,21,16,50,.320,5,22,.227,11,28,.393,.370,20,27,.741,5,24,29,8,6,3,9,18,2025,coastal-carolina
36487,9,9,2024-12-07,@,Winthrop,REG (Non-Conf),L,89,96,,29,54,.537,10,23,.435,19,31,.613,.630,21,29,.724,5,20,25,12,2,2,12,29,29,53,.547,7,17,.412,22,36,.611,.613,31,40,.775,4,18,22,11,7,2,5,21,2025,coastal-carolina
36488,10,10,2024-12-11,,,REG (Non-Conf),W,82,57,,26,54,.481,11,25,.440,15,29,.517,.583,19,24,.792,6,25,31,14,9,3,11,17,20,51,.392,1,16,.063,19,35,.543,.402,16,21,.762,8,23,31,8,10,3,15,20,2025,coastal-carolina
