,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36185,1,2024-11-05,,SUNY-Canton,W,95,62,35,67,.522,11,33,.333,14,20,.700,10,38,20,6,3,11,20,,20,52,.385,4,11,.364,18,22,.818,1,20,7,3,0,13,18,2025,colgate
36186,2,2024-11-09,@,Drexel,L,56,73,20,60,.333,4,25,.160,12,15,.800,5,25,9,8,3,5,14,,24,56,.429,13,30,.433,12,15,.800,8,40,15,5,9,10,13,2025,colgate
36187,3,2024-11-12,@,Syracuse,L,72,74,28,64,.438,10,27,.370,6,11,.545,4,30,13,6,3,6,15,,31,70,.443,8,23,.348,4,8,.500,10,42,19,2,5,7,9,2025,colgate
36188,4,2024-11-18,@,NC State,L,49,72,21,63,.333,5,26,.192,2,5,.400,7,32,15,8,3,14,18,,24,54,.444,3,14,.214,21,26,.808,5,38,10,8,7,12,15,2025,colgate
36189,5,2024-11-22,@,Harvard,L,67,78,27,58,.466,13,32,.406,0,0,,4,26,13,5,2,12,11,,29,59,.492,11,29,.379,9,11,.818,6,32,19,10,3,9,8,2025,colgate
36190,6,2024-11-27,@,UNC Wilmington,W,72,59,27,54,.500,11,28,.393,7,9,.778,9,32,13,3,4,12,14,,21,61,.344,7,24,.292,10,15,.667,15,33,11,6,3,10,11,2025,colgate
36191,7,2024-11-29,N,Appalachian State,L,50,72,20,53,.377,8,27,.296,2,5,.400,7,25,13,4,0,10,13,,30,56,.536,10,26,.385,2,5,.400,8,35,18,5,2,7,10,2025,colgate
36192,8,2024-11-30,N,Sam Houston,L,78,82,30,56,.536,12,32,.375,6,10,.600,9,27,15,4,2,13,18,,28,54,.519,6,16,.375,20,24,.833,8,26,11,8,0,8,16,2025,colgate
36193,9,2024-12-04,,Cornell,L,57,84,24,56,.429,5,20,.250,4,5,.800,5,25,14,7,0,13,10,,33,57,.579,13,27,.481,5,7,.714,4,28,26,7,2,11,10,2025,colgate
36194,10,2024-12-08,@,Northeastern,L,75,78,23,52,.442,9,23,.391,20,26,.769,5,20,11,14,2,11,23,,27,50,.540,5,15,.333,19,29,.655,11,36,11,5,3,18,19,2025,colgate
36195,11,2024-12-11,@,Kentucky,L,67,78,27,66,.409,11,33,.333,2,3,.667,7,34,15,5,0,8,11,,30,70,.429,10,31,.323,8,13,.615,13,41,15,6,4,5,6,2025,colgate
36196,12,2024-12-15,,Vermont,W,65,60,22,53,.415,7,23,.304,14,18,.778,3,20,9,8,2,6,15,,19,49,.388,7,23,.304,15,19,.789,9,33,12,4,4,15,18,2025,colgate
