,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36218,1,2024-11-04,N,Southern Illinois,W,90,80,31,55,.564,9,20,.450,19,30,.633,5,29,17,3,4,15,23,,25,62,.403,5,21,.238,25,33,.758,9,26,12,11,1,9,21,2025,college-of-charleston
36219,2,2024-11-08,,South Florida,W,86,71,27,60,.450,6,21,.286,26,31,.839,6,36,17,6,2,15,23,,22,59,.373,6,26,.231,21,28,.750,9,37,12,6,4,16,23,2025,college-of-charleston
36220,3,2024-11-15,,Florida Atlantic,W (2 OT),119,116,42,82,.512,15,30,.500,20,24,.833,8,34,22,10,3,12,22,,42,76,.553,16,29,.552,16,22,.727,11,36,24,7,5,16,21,2025,college-of-charleston
36221,4,2024-11-17,,Liberty,L,47,68,16,52,.308,4,13,.308,11,14,.786,7,28,8,5,2,15,11,,26,50,.520,8,18,.444,8,15,.533,4,32,17,11,9,13,15,2025,college-of-charleston
36222,5,2024-11-20,@,The Citadel,W,76,61,30,54,.556,4,17,.235,12,16,.750,8,33,17,10,2,13,9,,24,61,.393,9,35,.257,4,7,.571,10,26,16,9,0,14,15,2025,college-of-charleston
36223,6,2024-11-24,@,Rhode Island,L,53,91,23,67,.343,2,21,.095,5,8,.625,9,27,13,9,4,16,20,,34,61,.557,10,23,.435,13,20,.650,10,42,20,8,6,15,10,2025,college-of-charleston
36224,7,2024-11-27,,Northern Kentucky,W,79,64,27,51,.529,11,24,.458,14,20,.700,10,38,15,8,1,15,14,,25,64,.391,7,27,.259,7,12,.583,12,28,12,12,1,12,15,2025,college-of-charleston
36225,8,2024-12-03,,Tusculum,W,94,71,33,64,.516,6,22,.273,22,26,.846,9,39,21,8,1,8,12,,26,64,.406,11,33,.333,8,9,.889,3,25,14,5,4,10,18,2025,college-of-charleston
36226,9,2024-12-10,@,St. Joseph's,W,78,75,28,62,.452,9,24,.375,13,13,1.000,3,30,19,11,0,12,12,,30,66,.455,10,30,.333,5,10,.500,10,37,22,7,7,15,14,2025,college-of-charleston
36227,10,2024-12-16,,Wofford,W,77,67,27,59,.458,12,24,.500,11,13,.846,7,34,19,4,6,9,13,,23,69,.333,8,37,.216,13,18,.722,15,41,14,6,5,9,14,2025,college-of-charleston
36228,11,2024-12-22,N,Oregon State,L,65,74,21,58,.362,6,24,.250,17,25,.680,7,28,12,8,0,13,21,,23,49,.469,5,20,.250,23,29,.793,6,34,13,5,1,13,20,2025,college-of-charleston
36229,12,2024-12-23,N,Loyola (IL),W,77,68,27,58,.466,11,26,.423,12,16,.750,2,26,15,14,0,13,19,,24,58,.414,6,24,.250,14,20,.700,10,36,9,9,3,18,15,2025,college-of-charleston
36230,13,2024-12-25,N,Charlotte,W,84,81,29,62,.468,8,28,.286,18,27,.667,10,40,17,1,1,9,22,,25,63,.397,6,27,.222,25,33,.758,9,32,13,4,1,5,23,2025,college-of-charleston
36231,14,2025-01-02,,Hampton,W,94,67,26,53,.491,12,25,.480,30,40,.750,7,44,18,8,1,14,19,,23,64,.359,8,21,.381,13,22,.591,7,31,14,6,4,9,22,2025,college-of-charleston
36232,15,2025-01-04,,Towson,W,77,69,23,50,.460,7,18,.389,24,26,.923,4,33,15,4,1,8,12,,29,69,.420,8,23,.348,3,9,.333,11,33,12,2,2,7,23,2025,college-of-charleston
36233,16,2025-01-09,@,Hofstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,college-of-charleston
36234,17,2025-01-11,@,Monmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,college-of-charleston
36235,18,2025-01-16,@,Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,college-of-charleston
36236,19,2025-01-18,,Northeastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,college-of-charleston
36237,20,2025-01-23,,UNC Wilmington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,college-of-charleston
36238,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,college-of-charleston
36239,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,college-of-charleston
