,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36284,1,2024-11-04,,North Dakota,W,82,56,35,60,.583,4,17,.235,8,19,.421,5,35,25,12,6,10,23,,17,48,.354,5,16,.313,17,23,.739,3,29,5,4,3,20,19,2025,colorado-state
36285,2,2024-11-08,,Tennessee State,W (1 OT),87,79,27,63,.429,8,24,.333,25,35,.714,9,35,17,10,2,11,18,,31,66,.470,7,22,.318,10,19,.526,12,40,16,8,3,19,30,2025,colorado-state
36286,3,2024-11-12,,Denver,W,74,65,27,59,.458,7,28,.250,13,15,.867,10,34,17,6,4,12,14,,24,61,.393,8,24,.333,9,11,.818,13,35,10,8,1,16,19,2025,colorado-state
36287,4,2024-11-16,N,Ole Miss,L,69,84,24,50,.480,9,26,.346,10,11,.909,5,25,19,0,1,14,22,,28,55,.509,9,19,.474,19,26,.731,6,24,15,9,1,4,15,2025,colorado-state
36288,5,2024-11-22,,UC-Riverside,L (1 OT),75,77,25,62,.403,10,33,.303,15,25,.600,5,29,18,3,8,9,19,,27,65,.415,10,24,.417,13,18,.722,10,41,14,2,2,15,27,2025,colorado-state
36289,6,2024-11-28,N,Washington,L,67,73,25,61,.410,7,23,.304,10,12,.833,10,39,10,2,2,14,18,,25,56,.446,10,22,.455,13,24,.542,6,29,16,7,5,10,13,2025,colorado-state
36290,7,2024-11-29,N,TCU,W (1 OT),76,72,29,67,.433,8,27,.296,10,12,.833,8,39,16,2,6,16,20,,21,62,.339,9,25,.360,21,30,.700,8,35,11,9,6,13,17,2025,colorado-state
36291,8,2024-12-04,,Loyola Marymount,W,83,54,30,67,.448,14,36,.389,9,10,.900,10,41,14,6,1,8,13,,19,56,.339,4,21,.190,12,16,.750,5,29,6,5,3,10,14,2025,colorado-state
36292,9,2024-12-07,@,Colorado,L,55,72,20,64,.313,7,27,.259,8,8,1.000,8,33,7,7,2,11,18,,28,56,.500,9,24,.375,7,12,.583,8,41,18,7,4,16,10,2025,colorado-state
36293,10,2024-12-14,N,VCU,L,68,76,26,51,.510,5,15,.333,11,13,.846,5,28,11,3,3,14,18,,25,57,.439,11,30,.367,15,25,.600,12,32,14,8,5,8,13,2025,colorado-state
36294,11,2024-12-17,,Radford,W,78,68,29,52,.558,6,21,.286,14,17,.824,8,34,21,3,6,9,19,,24,58,.414,6,18,.333,14,19,.737,8,23,9,5,0,7,20,2025,colorado-state
36295,12,2024-12-21,@,Nevada,W,66,64,22,47,.468,6,20,.300,16,19,.842,2,28,14,4,1,8,21,,23,56,.411,6,16,.375,12,20,.600,10,32,14,2,3,9,18,2025,colorado-state
36296,13,2024-12-28,,New Mexico,L,68,76,27,60,.450,6,23,.261,8,8,1.000,12,35,19,9,6,17,9,,31,63,.492,7,15,.467,7,9,.778,9,29,13,10,1,12,15,2025,colorado-state
36297,14,2024-12-31,@,San Jose State,W,72,50,29,58,.500,7,26,.269,7,9,.778,8,44,18,2,4,16,15,,18,61,.295,2,23,.087,12,16,.750,5,25,5,5,1,7,13,2025,colorado-state
36298,15,2025-01-07,,Fresno State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,colorado-state
36299,16,2025-01-11,,UNLV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,colorado-state
36300,17,2025-01-14,@,San Diego State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,colorado-state
36301,18,2025-01-18,@,Wyoming,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,colorado-state
36302,19,2025-01-22,,Boise State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,colorado-state
36303,20,2025-01-25,@,Fresno State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,colorado-state
