,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36317,1,2024-11-04,@,Loyola (MD),W,81,78,25,56,.446,7,23,.304,24,30,.800,8,28,15,8,1,12,16,,29,63,.460,7,25,.280,13,18,.722,9,33,11,8,1,15,19,2025,columbia
36318,2,2024-11-06,@,Villanova,W,90,80,29,54,.537,8,24,.333,24,26,.923,6,21,14,10,0,8,19,,27,60,.450,11,32,.344,15,17,.882,12,28,16,6,2,12,23,2025,columbia
36319,3,2024-11-09,,Delaware State,W,83,62,28,65,.431,12,32,.375,15,22,.682,14,39,18,8,5,16,14,,26,68,.382,1,8,.125,9,14,.643,12,35,19,7,7,15,20,2025,columbia
36320,4,2024-11-12,,Lehigh,W,76,75,28,62,.452,9,25,.360,11,21,.524,10,34,17,6,2,6,15,,29,53,.547,9,22,.409,8,14,.571,4,25,19,2,1,8,18,2025,columbia
36321,5,2024-11-16,,Mercyhurst,W,77,63,30,56,.536,9,20,.450,8,13,.615,10,35,21,4,1,12,13,,21,51,.412,8,20,.400,13,18,.722,6,21,16,5,3,10,15,2025,columbia
36322,6,2024-11-20,@,LIU,W,80,72,26,52,.500,8,22,.364,20,23,.870,5,30,18,12,3,11,13,,25,58,.431,9,26,.346,13,15,.867,6,28,13,6,2,13,18,2025,columbia
36323,7,2024-11-23,,Stony Brook,W,82,63,32,60,.533,14,30,.467,4,8,.500,8,36,26,6,4,11,20,,21,64,.328,6,20,.300,15,20,.750,11,30,14,8,1,11,14,2025,columbia
36324,8,2024-11-25,,New Hampshire,W,83,57,35,66,.530,8,22,.364,5,11,.455,12,39,25,12,2,12,17,,24,55,.436,7,24,.292,2,14,.143,10,29,19,8,7,18,15,2025,columbia
36325,9,2024-12-04,@,Albany (NY),L,73,88,24,46,.522,6,14,.429,19,26,.731,5,28,16,8,0,19,12,,32,67,.478,15,33,.455,9,12,.750,9,29,20,15,1,11,20,2025,columbia
36326,10,2024-12-07,,Merchant Marine Academy,W,98,49,37,72,.514,14,36,.389,10,11,.909,17,49,25,12,3,9,13,,17,63,.270,5,24,.208,10,12,.833,8,22,11,6,6,14,12,2025,columbia
36327,11,2024-12-09,,Sarah Lawrence,W,92,46,34,62,.548,7,28,.250,17,21,.810,15,47,24,15,2,11,10,,18,58,.310,8,28,.286,2,3,.667,4,17,11,6,1,16,18,2025,columbia
36328,12,2024-12-28,,Fairfield,W,85,72,30,52,.577,9,22,.409,16,17,.941,4,30,15,4,2,10,12,,28,64,.438,13,29,.448,3,6,.500,9,24,21,4,2,7,15,2025,columbia
36329,13,2024-12-30,@,Rutgers,L,64,91,24,59,.407,11,28,.393,5,6,.833,3,29,14,3,2,14,14,,36,76,.474,11,34,.324,8,12,.667,12,41,26,11,4,4,11,2025,columbia
36330,14,2025-01-11,,Cornell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,columbia
36331,15,2025-01-18,,Yale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,columbia
36332,16,2025-01-20,@,Princeton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,columbia
36333,17,2025-01-25,@,Penn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,columbia
36334,18,2025-01-31,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,columbia
36335,19,2025-02-01,,Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,columbia
36336,20,2025-02-08,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,columbia
36337,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,columbia
36338,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,columbia
36339,21,2025-02-14,@,Dartmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,columbia
36340,22,2025-02-15,@,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,columbia
36341,23,2025-02-21,@,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,columbia
36342,24,2025-02-22,@,Yale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,columbia
36343,25,2025-02-28,,Princeton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,columbia
36344,26,2025-03-01,,Penn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,columbia
36345,27,2025-03-08,@,Cornell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,columbia
