,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36346,1,2024-11-06,,Sacred Heart,W,92,56,32,62,.516,13,31,.419,15,23,.652,12,42,25,10,13,12,13,,19,56,.339,6,15,.400,12,18,.667,3,19,8,6,2,14,20,2025,connecticut
36347,2,2024-11-09,,New Hampshire,W,92,53,32,63,.508,9,28,.321,19,25,.760,14,40,20,5,10,10,19,,17,48,.354,3,13,.231,16,20,.800,3,24,8,5,2,16,20,2025,connecticut
36348,3,2024-11-13,,Le Moyne,W,90,49,35,63,.556,12,33,.364,8,11,.727,11,34,24,7,9,7,13,,19,54,.352,6,21,.286,5,8,.625,3,15,8,5,1,11,10,2025,connecticut
36349,4,2024-11-19,,East Texas A&M,W,81,46,32,59,.542,7,24,.292,10,14,.714,10,39,18,10,11,19,19,,15,59,.254,3,17,.176,13,22,.591,11,25,4,13,1,17,18,2025,connecticut
36350,5,2024-11-25,N,Memphis,L (1 OT),97,99,32,65,.492,14,30,.467,19,24,.792,14,32,22,3,3,9,29,,29,53,.547,12,22,.545,29,40,.725,9,28,13,2,2,12,21,2025,connecticut
36351,6,2024-11-26,N,Colorado,L,72,73,25,52,.481,12,31,.387,10,13,.769,5,24,17,3,5,9,22,,23,45,.511,9,16,.563,18,28,.643,7,26,12,3,1,11,14,2025,connecticut
36352,7,2024-11-28,N,Dayton,L,67,85,26,62,.419,8,29,.276,7,11,.636,7,24,18,6,4,5,21,,25,50,.500,8,17,.471,27,30,.900,7,35,14,5,1,10,13,2025,connecticut
36353,8,2024-11-30,,Maryland-Eastern Shore,W,99,45,32,59,.542,10,27,.370,25,27,.926,10,47,23,9,4,9,21,,15,50,.300,2,14,.143,13,25,.520,6,22,4,4,2,11,23,2025,connecticut
36354,9,2024-12-04,,Baylor,W,76,72,21,46,.457,8,25,.320,26,33,.788,8,28,14,3,8,7,19,,27,55,.491,6,17,.353,12,19,.632,11,27,9,3,2,8,25,2025,connecticut
36355,10,2024-12-08,@,Texas,W,76,65,28,54,.519,9,20,.450,11,16,.688,11,34,21,5,4,12,21,,21,50,.420,8,17,.471,15,24,.625,6,22,8,5,4,9,16,2025,connecticut
36356,11,2024-12-14,N,Gonzaga,W,77,71,27,59,.458,5,24,.208,18,21,.857,7,33,16,4,4,7,19,,25,57,.439,6,16,.375,15,19,.789,6,28,13,4,3,10,17,2025,connecticut
