,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36472,1,2024-11-04,,VTSU Lyndon,W,129,47,49,78,.628,20,41,.488,11,20,.550,16,50,32,10,1,6,17,,17,53,.321,5,19,.263,8,19,.421,2,14,7,5,1,20,20,2025,dartmouth
36473,2,2024-11-09,,Sacred Heart,W,81,76,23,58,.397,8,29,.276,27,39,.692,12,43,18,5,2,13,19,,27,63,.429,12,26,.462,10,12,.833,4,29,15,7,2,12,28,2025,dartmouth
36474,3,2024-11-13,,Albany (NY),L,73,87,24,47,.511,3,12,.250,22,31,.710,4,31,10,2,2,15,17,,33,74,.446,10,31,.323,11,14,.786,12,34,14,9,1,5,23,2025,dartmouth
36475,4,2024-11-16,@,Boston University,L,50,78,17,58,.293,8,30,.267,8,17,.471,6,24,11,5,1,9,18,,30,55,.545,6,22,.273,12,20,.600,7,43,14,6,5,12,19,2025,dartmouth
36476,5,2024-11-19,@,Marist,L,62,75,23,61,.377,8,30,.267,8,10,.800,7,30,8,9,1,11,17,,28,59,.475,8,25,.320,11,19,.579,6,35,17,7,4,11,14,2025,dartmouth
36477,6,2024-11-29,@,Boston College,W,88,83,29,62,.468,17,31,.548,13,16,.813,2,26,17,5,2,7,22,,29,56,.518,5,23,.217,20,27,.741,3,27,13,3,5,9,16,2025,dartmouth
36478,7,2024-12-03,@,New Hampshire,W,69,65,22,62,.355,11,39,.282,14,19,.737,9,32,13,9,2,9,10,,25,58,.431,7,24,.292,8,9,.889,8,32,10,4,2,14,16,2025,dartmouth
36479,8,2024-12-08,@,UIC,L (1 OT),68,69,28,79,.354,8,30,.267,4,10,.400,10,41,19,12,4,12,17,,24,71,.338,10,27,.370,11,17,.647,11,51,12,10,6,19,11,2025,dartmouth
36480,9,2024-12-11,@,Notre Dame,L,65,77,22,55,.400,6,33,.182,15,17,.882,6,28,13,6,0,10,14,,31,59,.525,6,21,.286,9,14,.643,5,30,11,6,1,9,15,2025,dartmouth
36481,10,2024-12-14,@,UMass-Lowell,L,83,92,28,61,.459,17,36,.472,10,11,.909,8,29,16,4,1,13,18,,36,59,.610,6,18,.333,14,19,.737,4,29,23,11,1,7,12,2025,dartmouth
36482,11,2024-12-18,,Le Moyne,L,76,80,26,58,.448,11,25,.440,13,19,.684,6,27,14,8,3,12,19,,29,57,.509,9,22,.409,13,18,.722,6,30,16,9,0,12,20,2025,dartmouth
36483,12,2024-12-21,,Vermont,W,84,54,26,56,.464,13,26,.500,19,21,.905,11,43,19,3,3,12,11,,21,59,.356,6,28,.214,6,10,.600,6,23,17,8,2,8,16,2025,dartmouth
36484,13,2025-01-01,,Colby-Sawyer,W,108,55,36,68,.529,17,37,.459,19,26,.731,19,50,32,5,4,12,8,,24,63,.381,5,15,.333,2,4,.500,5,21,5,8,1,14,25,2025,dartmouth
36485,14,2025-01-11,,Penn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dartmouth
36486,15,2025-01-18,,Princeton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dartmouth
36487,16,2025-01-20,@,Yale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dartmouth
36488,17,2025-01-25,@,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dartmouth
36489,18,2025-01-31,@,Cornell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dartmouth
36490,19,2025-02-01,@,Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dartmouth
36491,20,2025-02-08,,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dartmouth
36492,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,dartmouth
36493,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,dartmouth
36494,21,2025-02-14,,Columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dartmouth
36495,22,2025-02-15,,Cornell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dartmouth
36496,23,2025-02-21,@,Penn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dartmouth
36497,24,2025-02-22,,Princeton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dartmouth
36498,25,2025-02-28,,Yale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dartmouth
36499,26,2025-03-01,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dartmouth
36500,27,2025-03-08,@,Harvard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dartmouth
