,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36501,1,2024-11-04,,William Peace,W,88,47,36,70,.514,5,20,.250,11,17,.647,11,43,23,14,2,8,14,,16,51,.314,11,30,.367,4,8,.500,3,24,9,4,2,22,12,2025,davidson
36502,2,2024-11-08,@,Bowling Green State,W,91,85,29,61,.475,10,25,.400,23,28,.821,7,33,18,4,6,13,21,,28,60,.467,10,22,.455,19,25,.760,5,25,12,10,5,9,21,2025,davidson
36503,3,2024-11-16,,ETSU,W,76,70,26,47,.553,3,11,.273,21,32,.656,9,29,6,2,2,13,15,,27,56,.482,10,23,.435,6,14,.429,8,23,10,6,1,6,29,2025,davidson
36504,4,2024-11-22,,VMI,W,93,66,33,66,.500,13,32,.406,14,15,.933,8,32,28,12,2,8,21,,20,49,.408,6,21,.286,20,28,.714,7,31,13,3,3,15,16,2025,davidson
36505,5,2024-11-27,N,Arizona,L,71,104,27,71,.380,11,34,.324,6,8,.750,8,28,16,8,1,11,17,,39,69,.565,11,22,.500,15,20,.750,12,46,15,7,6,14,14,2025,davidson
36506,6,2024-11-28,N,Providence,W,69,58,23,49,.469,6,19,.316,17,21,.810,3,30,12,2,3,6,16,,18,58,.310,8,21,.381,14,18,.778,12,33,8,4,3,5,18,2025,davidson
36507,7,2024-11-29,N,Gonzaga,L,65,90,24,56,.429,6,24,.250,11,16,.688,1,19,17,3,3,10,16,,35,64,.547,6,16,.375,14,15,.933,8,38,24,7,3,9,16,2025,davidson
36508,8,2024-12-06,,Charleston Southern,W,73,72,27,59,.458,6,15,.400,13,18,.722,5,30,13,4,2,5,10,,27,59,.458,9,21,.429,9,18,.500,9,34,10,3,1,11,15,2025,davidson
36509,9,2024-12-10,,Charlotte,W,75,71,27,55,.491,10,29,.345,11,19,.579,11,29,17,4,4,6,14,,25,54,.463,7,23,.304,14,19,.737,11,30,10,4,3,5,15,2025,davidson
36510,10,2024-12-14,,Detroit Mercy,W,86,51,30,61,.492,15,34,.441,11,14,.786,12,43,18,9,5,13,10,,19,60,.317,6,17,.353,7,12,.583,10,27,7,8,4,13,16,2025,davidson
