,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36534,1,2024-11-04,,Saint Francis (PA),W,87,57,31,68,.456,8,32,.250,17,25,.680,15,44,20,8,4,7,12,,22,58,.379,6,21,.286,7,11,.636,4,28,11,3,3,12,19,2025,dayton
36535,2,2024-11-09,,Northwestern,W,71,66,24,46,.522,8,21,.381,15,25,.600,3,25,16,10,4,14,15,,25,56,.446,5,20,.250,11,13,.846,9,31,11,6,1,15,21,2025,dayton
36536,3,2024-11-13,,Ball State,W,77,69,26,53,.491,4,19,.211,21,29,.724,7,34,17,10,2,8,17,,20,52,.385,8,18,.444,21,24,.875,5,29,10,5,1,14,19,2025,dayton
36537,4,2024-11-16,,Capital,W,76,55,28,54,.519,8,23,.348,12,24,.500,10,40,17,6,6,12,4,,21,64,.328,10,32,.313,3,6,.500,10,30,10,11,1,10,17,2025,dayton
36538,5,2024-11-20,,New Mexico State,W,74,53,27,58,.466,10,27,.370,10,18,.556,12,38,20,3,6,7,13,,20,55,.364,5,17,.294,8,14,.571,10,29,10,3,2,8,19,2025,dayton
36539,6,2024-11-25,N,UNC,L,90,92,32,74,.432,14,32,.438,12,15,.800,8,29,19,6,1,9,27,,28,54,.519,9,23,.391,27,34,.794,8,36,11,6,4,15,20,2025,dayton
36540,7,2024-11-26,N,Iowa State,L,84,89,29,50,.580,7,18,.389,19,26,.731,6,25,17,3,3,11,23,,30,58,.517,4,17,.235,25,29,.862,5,20,11,7,2,6,21,2025,dayton
36541,8,2024-11-28,N,UConn,W,85,67,25,50,.500,8,17,.471,27,30,.900,7,35,14,5,1,10,13,,26,62,.419,8,29,.276,7,11,.636,7,24,18,6,4,5,21,2025,dayton
36542,9,2024-12-03,,Western Michigan,W,77,69,25,48,.521,9,21,.429,18,22,.818,9,24,15,9,3,9,10,,29,54,.537,5,17,.294,6,7,.857,9,22,11,5,0,11,18,2025,dayton
36543,10,2024-12-07,,Lehigh,W,86,62,28,49,.571,14,22,.636,16,23,.696,1,33,21,3,7,4,13,,24,62,.387,8,23,.348,6,11,.545,7,30,14,2,2,4,18,2025,dayton
36544,11,2024-12-14,,Marquette,W,71,63,29,61,.475,4,19,.211,9,16,.563,15,37,19,10,2,7,11,,22,54,.407,9,29,.310,10,15,.667,9,28,8,2,4,13,17,2025,dayton
36545,12,2024-12-17,,UNLV,W,66,65,24,51,.471,5,21,.238,13,16,.813,5,28,15,5,1,8,16,,22,53,.415,8,19,.421,13,16,.813,8,30,12,4,2,6,12,2025,dayton
36546,13,2024-12-20,N,Cincinnati,L,59,66,20,51,.392,5,18,.278,14,15,.933,8,27,8,6,3,17,16,,21,58,.362,8,29,.276,16,21,.762,13,34,11,9,6,10,16,2025,dayton
36547,14,2024-12-31,,La Salle,W,84,70,31,65,.477,7,25,.280,15,21,.714,7,36,20,11,3,11,17,,25,61,.410,7,20,.350,13,19,.684,7,33,12,7,3,16,20,2025,dayton
36548,15,2025-01-04,@,George Washington,L,62,82,21,60,.350,4,15,.267,16,20,.800,10,35,10,8,6,11,14,,28,61,.459,15,31,.484,11,15,.733,8,31,16,8,5,10,14,2025,dayton
36549,16,2025-01-08,@,UMass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dayton
36550,17,2025-01-15,,George Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dayton
36551,18,2025-01-18,,Loyola (IL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dayton
36552,19,2025-01-21,@,Duquesne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dayton
36553,20,2025-01-24,,St. Joseph's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dayton
36554,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,dayton
36555,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,dayton
36556,21,2025-01-28,@,St. Bonaventure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dayton
36557,22,2025-01-31,@,Saint Louis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dayton
36558,23,2025-02-04,,Davidson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dayton
36559,24,2025-02-07,,VCU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dayton
36560,25,2025-02-12,@,Fordham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dayton
36561,26,2025-02-15,,Duquesne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dayton
36562,27,2025-02-21,@,Loyola (IL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dayton
36563,28,2025-02-26,@,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dayton
36564,29,2025-03-01,,Richmond,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,dayton
