,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36567,1,2024-11-04,,Bucknell,L,73,85,27,64,.422,8,26,.308,11,18,.611,5,26,13,8,5,14,24,,29,55,.527,10,19,.526,17,27,.630,4,34,14,6,2,16,17,2025,delaware
36568,2,2024-11-07,,Robert Morris,W,81,77,25,53,.472,5,15,.333,26,32,.813,4,33,8,5,4,14,17,,27,69,.391,9,23,.391,14,22,.636,14,35,12,5,3,11,24,2025,delaware
36569,3,2024-11-12,@,Iona,W,64,58,22,59,.373,7,20,.350,13,17,.765,10,34,8,9,6,15,19,,22,73,.301,4,22,.182,10,22,.455,25,52,9,10,5,17,17,2025,delaware
36570,4,2024-11-18,,Bryant,L,84,85,29,68,.426,7,20,.350,19,21,.905,8,32,11,9,3,10,17,,33,65,.508,10,24,.417,9,15,.600,7,33,15,5,2,17,16,2025,delaware
36571,5,2024-11-23,N,Vermont,L,71,75,23,48,.479,8,21,.381,17,19,.895,0,23,9,3,2,15,17,,25,56,.446,9,27,.333,16,21,.762,8,29,13,6,1,10,13,2025,delaware
36572,6,2024-11-24,N,Yale,W,100,94,29,55,.527,16,34,.471,26,30,.867,6,31,17,3,3,11,24,,32,67,.478,5,18,.278,25,30,.833,6,28,16,3,1,6,21,2025,delaware
36573,7,2024-11-30,@,Rider,W,72,66,27,58,.466,9,25,.360,9,13,.692,6,30,12,3,4,5,7,,29,69,.420,6,23,.261,2,3,.667,13,39,12,2,3,6,12,2025,delaware
36574,8,2024-12-03,,Delaware State,W,93,80,30,52,.577,17,31,.548,16,23,.696,1,31,24,6,4,15,19,,27,67,.403,5,12,.417,21,26,.808,8,31,6,9,1,11,19,2025,delaware
36575,9,2024-12-06,@,Duquesne,L,66,80,23,58,.397,7,22,.318,13,18,.722,11,30,11,2,5,11,25,,25,62,.403,8,27,.296,22,28,.786,17,42,11,6,2,9,18,2025,delaware
36576,10,2024-12-10,,Chestnut Hill,W,78,51,29,66,.439,7,31,.226,13,15,.867,11,48,16,5,7,16,10,,19,74,.257,5,25,.200,8,10,.800,7,32,6,12,2,6,13,2025,delaware
36577,11,2024-12-17,,Misericordia,W,92,75,29,59,.492,15,38,.395,19,22,.864,7,29,22,11,5,15,10,,28,61,.459,12,27,.444,7,11,.636,7,29,16,4,1,18,18,2025,delaware
36578,12,2024-12-20,@,St. Peter's,L,64,72,20,47,.426,6,21,.286,18,25,.720,6,20,9,4,2,9,14,,25,55,.455,8,18,.444,14,16,.875,10,33,18,7,2,9,19,2025,delaware
36579,13,2024-12-28,@,St. John's (NY),L,76,97,31,63,.492,10,24,.417,4,6,.667,3,18,17,7,1,13,17,,39,64,.609,8,12,.667,11,17,.647,6,29,23,10,8,12,12,2025,delaware
36580,14,2025-01-02,@,Northeastern,L,77,80,26,56,.464,6,16,.375,19,25,.760,5,25,9,6,1,9,16,,29,69,.420,5,16,.313,17,23,.739,19,44,11,8,8,11,18,2025,delaware
36581,15,2025-01-04,,Monmouth,W,84,64,30,58,.517,12,23,.522,12,18,.667,8,36,18,8,3,10,19,,17,52,.327,6,21,.286,24,29,.828,5,27,6,3,2,11,19,2025,delaware
36582,16,2025-01-11,@,Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,delaware
36583,17,2025-01-16,,Stony Brook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,delaware
36584,18,2025-01-18,,Elon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,delaware
36585,19,2025-01-23,@,Hofstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,delaware
36586,20,2025-01-25,@,Drexel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,delaware
36587,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,delaware
36588,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,delaware
36589,21,2025-01-30,,Towson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,delaware
36590,22,2025-02-01,@,Monmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,delaware
36591,23,2025-02-06,,UNC Wilmington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,delaware
36592,24,2025-02-08,,William & Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,delaware
36593,25,2025-02-13,@,Towson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,delaware
36594,26,2025-02-15,,Campbell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,delaware
36595,27,2025-02-20,,Drexel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,delaware
36596,28,2025-02-22,,Hofstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,delaware
36597,29,2025-02-27,@,College of Charleston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,delaware
36598,30,2025-03-01,@,UNC Wilmington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,delaware
