,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36630,1,2024-11-04,@,Stanford,L,62,85,22,48,.458,3,17,.176,15,23,.652,7,23,6,4,2,20,16,,32,65,.492,7,23,.304,14,18,.778,13,31,20,13,6,10,18,2025,denver
36631,2,2024-11-08,,Western Colorado,W,97,80,34,64,.531,8,18,.444,21,32,.656,8,32,18,13,6,14,29,,24,57,.421,6,15,.400,26,38,.684,10,28,11,9,2,20,25,2025,denver
36632,3,2024-11-12,@,Colorado State,L,65,74,24,61,.393,8,24,.333,9,11,.818,13,35,10,8,1,16,19,,27,59,.458,7,28,.250,13,15,.867,10,34,17,6,4,12,14,2025,denver
36633,4,2024-11-14,,Colorado Christian,W,86,63,27,57,.474,9,21,.429,23,29,.793,9,27,17,6,0,11,22,,20,43,.465,5,14,.357,18,29,.621,10,31,10,6,1,22,28,2025,denver
36634,5,2024-11-17,,Montana State,W,79,78,22,52,.423,6,12,.500,29,31,.935,6,26,11,8,0,19,27,,25,55,.455,1,10,.100,27,37,.730,9,33,10,14,1,12,24,2025,denver
36635,6,2024-11-24,@,Montana,L,73,83,25,64,.391,2,19,.105,21,24,.875,13,38,7,6,3,13,20,,30,61,.492,7,25,.280,16,19,.842,6,30,19,6,2,12,21,2025,denver
36636,7,2024-11-25,N,Cal State Northridge,L,60,89,19,56,.339,10,30,.333,12,18,.667,5,18,10,4,2,13,29,,27,52,.519,2,14,.143,33,38,.868,8,40,9,6,5,10,19,2025,denver
36637,8,2024-11-26,N,Utah Tech,L,54,68,19,51,.373,4,15,.267,12,18,.667,7,27,8,5,2,11,22,,22,51,.431,4,16,.250,20,24,.833,7,27,11,6,4,9,17,2025,denver
36638,9,2024-12-01,@,Portland,L (2 OT),90,101,33,80,.413,10,39,.256,14,16,.875,4,31,20,9,1,6,26,,31,64,.484,10,29,.345,29,34,.853,4,42,21,3,4,15,18,2025,denver
36639,10,2024-12-04,,Sacramento State,W,80,59,28,55,.509,14,34,.412,10,13,.769,6,29,18,6,1,8,19,,21,53,.396,4,19,.211,13,19,.684,7,27,8,4,0,9,17,2025,denver
36640,11,2024-12-07,@,Portland State,W,68,67,24,58,.414,9,23,.391,11,14,.786,8,26,15,5,2,5,19,,24,54,.444,5,20,.250,14,26,.538,10,34,18,4,7,8,12,2025,denver
36641,12,2024-12-10,,Colorado-Colorado Springs,W,94,87,33,61,.541,13,24,.542,15,19,.789,6,21,16,13,1,9,17,,31,55,.564,10,18,.556,15,18,.833,6,29,15,4,1,19,17,2025,denver
36642,13,2024-12-15,@,Cal State Fullerton,L,59,74,21,55,.382,6,21,.286,11,18,.611,8,23,9,3,1,5,17,,28,48,.583,5,12,.417,13,18,.722,5,32,9,3,2,8,16,2025,denver
36643,14,2024-12-17,@,Cal Poly,L (1 OT),94,95,36,68,.529,10,22,.455,12,15,.800,8,28,14,14,1,17,21,,29,61,.475,15,39,.385,22,31,.710,12,34,18,11,6,24,15,2025,denver
36644,15,2024-12-21,,Northern Colorado,L,75,82,24,47,.511,12,20,.600,15,21,.714,2,21,11,1,1,9,21,,27,50,.540,5,15,.333,23,29,.793,5,23,16,5,1,6,20,2025,denver
36645,16,2025-01-02,@,South Dakota State,L,70,91,22,63,.349,12,34,.353,14,18,.778,4,23,11,10,3,8,21,,34,65,.523,10,25,.400,13,16,.813,13,50,17,3,2,19,19,2025,denver
36646,17,2025-01-04,@,South Dakota,L,84,91,30,62,.484,9,24,.375,15,26,.577,11,34,15,6,4,14,30,,27,56,.482,5,18,.278,32,51,.627,13,36,9,7,0,10,19,2025,denver
