,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36663,1,2024-11-04,,Southern Indiana,W (1 OT),80,78,29,64,.453,14,37,.378,8,22,.364,9,32,11,6,4,10,13,,31,62,.500,6,14,.429,10,12,.833,7,35,9,4,3,14,16,2025,depaul
36664,2,2024-11-07,,Prairie View,W,92,59,29,61,.475,11,33,.333,23,27,.852,14,49,24,5,4,18,23,,22,69,.319,2,16,.125,13,20,.650,12,26,11,7,3,12,22,2025,depaul
36665,3,2024-11-11,,Mercer,W,95,64,34,62,.548,9,25,.360,18,25,.720,10,36,21,10,3,14,19,,24,61,.393,4,24,.167,12,23,.522,13,29,10,11,2,21,22,2025,depaul
36666,4,2024-11-15,,Duquesne,W,84,58,29,54,.537,13,25,.520,13,17,.765,9,38,23,2,5,10,17,,20,58,.345,6,21,.286,12,20,.600,9,25,10,4,4,7,16,2025,depaul
36667,5,2024-11-19,,Eastern Illinois,W,78,69,23,53,.434,15,39,.385,17,23,.739,9,31,18,6,4,16,12,,23,57,.404,7,15,.467,16,17,.941,7,29,11,10,2,14,19,2025,depaul
36668,6,2024-11-23,,Northern Illinois,W,98,52,36,66,.545,15,29,.517,11,15,.733,10,54,22,4,4,11,14,,17,67,.254,6,29,.207,12,15,.800,3,25,12,9,3,6,12,2025,depaul
36669,7,2024-11-29,,Valparaiso,W,89,70,32,61,.525,12,28,.429,13,19,.684,11,37,23,8,8,8,15,,27,65,.415,9,26,.346,7,11,.636,11,30,17,6,2,9,14,2025,depaul
36670,8,2024-12-04,@,Texas Tech,L,62,76,24,57,.421,11,35,.314,3,6,.500,5,27,16,3,4,14,18,,29,58,.500,5,17,.294,13,17,.765,8,31,11,11,0,6,10,2025,depaul
36671,9,2024-12-10,,Providence,L (1 OT),63,70,22,67,.328,11,33,.333,8,15,.533,7,32,17,5,4,10,12,,28,63,.444,8,26,.308,6,9,.667,7,40,15,8,4,16,14,2025,depaul
36672,10,2024-12-14,,Wichita State,W,91,72,32,62,.516,17,33,.515,10,13,.769,6,26,24,8,4,9,18,,26,51,.510,7,15,.467,13,22,.591,6,25,14,4,3,16,10,2025,depaul
