,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36696,1,2024-11-04,,,W,91,52,34,69,.493,7,26,.269,16,21,.762,18,48,19,6,2,9,16,,20,55,.364,6,26,.231,6,11,.545,3,21,8,4,0,13,16,2025,detroit-mercy
36697,2,2024-11-07,@,Loyola (IL),L,65,87,20,59,.339,6,24,.250,19,29,.655,12,30,10,7,2,16,22,,29,59,.492,8,30,.267,21,27,.778,10,30,21,11,8,14,22,2025,detroit-mercy
36698,3,2024-11-10,,Niagara,W (1 OT),84,78,27,59,.458,9,20,.450,21,29,.724,10,41,14,6,1,13,14,,27,64,.422,13,34,.382,11,17,.647,5,27,13,9,2,9,22,2025,detroit-mercy
36699,4,2024-11-16,,Toledo,L,67,82,25,58,.431,8,17,.471,9,16,.563,10,33,9,5,1,15,23,,29,65,.446,6,23,.261,18,24,.750,10,32,17,7,4,8,14,2025,detroit-mercy
36700,5,2024-11-20,@,Ball State,W,70,59,25,55,.455,9,17,.529,11,18,.611,11,35,14,9,2,16,22,,17,44,.386,5,25,.200,20,30,.667,6,27,11,11,3,15,19,2025,detroit-mercy
36701,6,2024-11-23,@,Wake Forest,L,57,67,20,60,.333,5,19,.263,12,16,.750,9,41,11,4,3,14,14,,24,61,.393,10,35,.286,9,13,.692,5,29,16,6,10,5,18,2025,detroit-mercy
36702,7,2024-11-26,N,Tulsa,L,44,63,18,65,.277,1,12,.083,7,12,.583,12,37,4,5,2,9,13,,21,57,.368,11,34,.324,10,18,.556,7,40,13,4,4,8,14,2025,detroit-mercy
36703,8,2024-11-27,N,Rhode Island,L,75,81,30,66,.455,2,9,.222,13,17,.765,9,34,13,9,5,8,22,,27,59,.458,13,25,.520,14,23,.609,10,30,18,1,2,11,10,2025,detroit-mercy
36704,9,2024-11-30,@,Eastern Michigan,W (1 OT),98,89,34,62,.548,9,14,.643,21,24,.875,7,30,17,9,1,14,25,,28,59,.475,11,28,.393,22,27,.815,6,29,16,6,2,14,21,2025,detroit-mercy
36705,10,2024-12-05,,Purdue Fort Wayne,W,79,78,29,60,.483,11,25,.440,10,13,.769,12,33,15,4,3,13,20,,29,59,.492,6,26,.231,14,21,.667,6,25,13,5,2,8,14,2025,detroit-mercy
36706,11,2024-12-07,,Wright State,L,72,80,28,67,.418,5,15,.333,11,16,.688,12,29,10,6,1,7,16,,28,49,.571,8,19,.421,16,19,.842,5,32,14,5,3,14,13,2025,detroit-mercy
36707,12,2024-12-14,@,Davidson,L,51,86,19,60,.317,6,17,.353,7,12,.583,10,27,7,8,4,13,16,,30,61,.492,15,34,.441,11,14,.786,12,43,18,9,5,13,10,2025,detroit-mercy
36708,13,2024-12-18,@,Northern Kentucky,L,60,73,23,54,.426,6,13,.462,8,11,.727,7,31,8,8,2,16,21,,26,57,.456,10,25,.400,11,25,.440,9,31,18,6,4,11,13,2025,detroit-mercy
36709,14,2024-12-22,@,Wisconsin,L,53,76,22,66,.333,4,8,.500,5,6,.833,7,29,5,4,1,8,17,,26,64,.406,7,35,.200,17,19,.895,13,46,13,4,6,9,13,2025,detroit-mercy
36710,15,2024-12-29,@,Youngstown State,L,64,73,20,64,.313,2,16,.125,22,30,.733,14,43,9,11,1,16,26,,22,60,.367,9,29,.310,20,32,.625,8,36,14,11,4,15,21,2025,detroit-mercy
36711,16,2025-01-02,,Robert Morris,W (1 OT),78,76,31,67,.463,3,12,.250,13,15,.867,10,32,10,5,4,10,21,,24,66,.364,4,23,.174,24,30,.800,13,36,14,4,4,10,18,2025,detroit-mercy
36712,17,2025-01-04,,Milwaukee,L,56,64,20,54,.370,5,22,.227,11,13,.846,7,32,10,4,3,17,18,,20,65,.308,3,24,.125,21,27,.778,22,44,6,12,7,14,14,2025,detroit-mercy
36713,18,2025-01-09,@,IU Indianapolis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,detroit-mercy
36714,19,2025-01-11,@,Purdue Fort Wayne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,detroit-mercy
