,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36729,1,2024-11-04,,York (NE),W,93,41,31,59,.525,13,30,.433,18,27,.667,9,35,22,12,4,6,8,,16,54,.296,2,16,.125,7,9,.778,5,25,6,5,0,17,20,2025,drake
36730,2,2024-11-10,,Stephen F. Austin,W,66,51,21,43,.488,10,22,.455,14,25,.560,8,24,16,9,4,15,13,,19,49,.388,5,15,.333,8,15,.533,13,30,7,7,2,16,22,2025,drake
36731,3,2024-11-16,,Florida Gulf Coast,W,63,61,20,45,.444,6,21,.286,17,25,.680,8,25,9,9,2,14,14,,26,49,.531,3,12,.250,6,8,.750,4,23,9,9,2,15,21,2025,drake
36732,4,2024-11-21,N,Miami (FL),W,80,69,26,56,.464,4,19,.211,24,28,.857,13,33,15,3,1,6,23,,18,44,.409,8,21,.381,25,29,.862,5,23,8,3,1,9,25,2025,drake
36733,5,2024-11-22,N,Florida Atlantic,W,75,63,23,50,.460,10,25,.400,19,25,.760,9,29,16,6,1,13,21,,20,43,.465,5,16,.313,18,25,.720,4,23,13,3,1,15,20,2025,drake
36734,6,2024-11-24,N,Vanderbilt,W,81,70,29,54,.537,5,15,.333,18,20,.900,10,32,17,11,5,17,15,,24,54,.444,4,21,.190,18,24,.750,6,16,8,10,3,15,16,2025,drake
36735,7,2024-11-30,,Georgia Southern,W,61,47,20,51,.392,6,21,.286,15,22,.682,10,34,13,7,3,11,15,,17,45,.378,2,15,.133,11,16,.688,6,26,7,6,4,17,21,2025,drake
36736,8,2024-12-05,@,Valparaiso,W,66,60,23,42,.548,4,14,.286,16,26,.615,6,28,8,8,0,8,18,,19,46,.413,10,27,.370,12,18,.667,2,17,9,5,0,10,20,2025,drake
36737,9,2024-12-12,,St. Ambrose,W,90,35,36,57,.632,7,19,.368,11,16,.688,8,39,22,12,2,11,12,,12,51,.235,6,24,.250,5,7,.714,4,15,5,6,2,19,12,2025,drake
36738,10,2024-12-17,@,Kansas State,W (1 OT),73,70,24,49,.490,9,16,.563,16,22,.727,8,30,14,8,2,13,18,,26,52,.500,7,21,.333,11,20,.550,6,22,21,12,3,12,14,2025,drake
36739,11,2024-12-21,,Green Bay,W,72,62,28,56,.500,3,19,.158,13,22,.591,11,27,14,10,4,4,16,,20,41,.488,4,13,.308,18,19,.947,3,20,7,2,2,13,19,2025,drake
36740,12,2024-12-29,,Belmont,W,65,46,24,51,.471,6,19,.316,11,15,.733,7,28,13,13,1,8,15,,15,40,.375,5,13,.385,11,16,.688,6,21,11,8,3,16,14,2025,drake
36741,13,2025-01-01,@,UIC,L,70,74,28,57,.491,6,19,.316,8,11,.727,12,27,17,4,1,9,18,,27,47,.574,8,17,.471,12,17,.706,4,15,16,2,3,7,12,2025,drake
36742,14,2025-01-05,,Murray State,L,59,66,21,51,.412,4,14,.286,13,18,.722,9,20,8,11,0,7,15,,22,40,.550,7,15,.467,15,20,.750,6,22,9,5,4,15,14,2025,drake
36743,15,2025-01-08,@,Bradley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drake
36744,16,2025-01-11,,Evansville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drake
36745,17,2025-01-15,,Illinois State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drake
36746,18,2025-01-18,@,Indiana State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drake
36747,19,2025-01-22,,Valparaiso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drake
36748,20,2025-01-25,@,Missouri State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drake
36749,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,drake
