,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36761,1,2024-11-04,,Georgian Court,W,95,43,31,61,.508,15,24,.625,18,25,.720,14,52,24,5,5,13,11,,14,65,.215,5,26,.192,10,13,.769,7,22,4,9,4,12,19,2025,drexel
36762,2,2024-11-09,,Colgate,W,73,56,24,56,.429,13,30,.433,12,15,.800,8,40,15,5,9,10,13,,20,60,.333,4,25,.160,12,15,.800,5,25,9,8,3,5,14,2025,drexel
36763,3,2024-11-12,@,Temple,L,61,69,23,67,.343,7,33,.212,8,12,.667,16,41,14,3,2,7,21,,22,53,.415,4,12,.333,21,31,.677,10,37,8,5,3,7,13,2025,drexel
36764,4,2024-11-16,,La Salle,L,68,71,29,64,.453,6,19,.316,4,11,.364,8,34,14,2,6,8,13,,26,62,.419,8,24,.333,11,12,.917,6,30,16,7,5,10,12,2025,drexel
36765,5,2024-11-19,@,Fairfield,W,67,61,26,55,.473,7,20,.350,8,11,.727,9,38,11,3,5,13,13,,24,67,.358,7,28,.250,6,13,.462,14,33,10,10,3,6,15,2025,drexel
36766,6,2024-11-22,@,Fordham,W,73,71,27,53,.509,9,21,.429,10,11,.909,6,30,17,5,5,13,13,,28,60,.467,8,26,.308,7,11,.636,10,30,13,9,2,10,15,2025,drexel
36767,7,2024-11-25,N,Purdue Fort Wayne,L,81,87,33,64,.516,7,24,.292,8,11,.727,11,30,15,4,3,12,13,,33,59,.559,10,23,.435,11,13,.846,6,22,19,5,0,5,12,2025,drexel
36768,8,2024-11-26,N,Chicago State,W,83,71,31,52,.596,8,19,.421,13,20,.650,9,29,15,6,5,15,11,,25,55,.455,12,28,.429,9,15,.600,11,23,14,9,4,15,21,2025,drexel
36769,9,2024-12-02,,Bryant,L,73,78,27,68,.397,11,28,.393,8,14,.571,10,36,15,4,0,11,24,,27,61,.443,4,17,.235,20,31,.645,10,34,13,4,4,6,13,2025,drexel
36770,10,2024-12-07,N,Penn,W,60,47,24,53,.453,3,14,.214,9,11,.818,7,37,13,8,3,13,10,,20,59,.339,4,18,.222,3,6,.500,5,26,9,6,0,11,11,2025,drexel
36771,11,2024-12-14,@,Albany (NY),W,77,70,25,41,.610,6,11,.545,21,26,.808,6,26,12,5,3,17,15,,27,57,.474,2,19,.105,14,15,.933,7,17,10,10,1,11,19,2025,drexel
36772,12,2024-12-17,@,Howard,W,68,65,25,61,.410,7,27,.259,11,12,.917,10,36,9,3,2,10,13,,25,64,.391,6,20,.300,9,10,.900,6,29,19,6,2,8,10,2025,drexel
36773,13,2024-12-21,,Penn State,L,64,75,26,56,.464,5,23,.217,7,9,.778,9,28,16,6,6,11,14,,29,68,.426,3,14,.214,14,15,.933,16,34,16,8,4,8,15,2025,drexel
36774,14,2025-01-02,@,Campbell,L,54,57,23,61,.377,5,27,.185,3,7,.429,8,37,9,8,2,12,12,,21,54,.389,7,23,.304,8,12,.667,3,33,9,8,2,12,8,2025,drexel
36775,15,2025-01-04,@,North Carolina A&T,W,68,59,26,59,.441,8,22,.364,8,13,.615,11,41,10,6,9,14,18,,19,62,.306,2,15,.133,19,22,.864,12,32,7,10,3,12,17,2025,drexel
36776,16,2025-01-09,@,Stony Brook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drexel
36777,17,2025-01-11,,Towson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drexel
36778,18,2025-01-16,,Elon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drexel
36779,19,2025-01-20,,Hofstra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drexel
36780,20,2025-01-23,@,Northeastern,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drexel
36781,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,drexel
36782,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,drexel
36783,21,2025-01-25,,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drexel
36784,22,2025-01-30,@,Monmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drexel
36785,23,2025-02-01,@,Towson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drexel
36786,24,2025-02-06,,William & Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drexel
36787,25,2025-02-08,,UNC Wilmington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drexel
36788,26,2025-02-13,@,Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drexel
36789,27,2025-02-15,@,William & Mary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drexel
36790,28,2025-02-20,@,Delaware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drexel
36791,29,2025-02-22,,College of Charleston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drexel
36792,30,2025-02-27,,Hampton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drexel
36793,31,2025-03-01,,Monmouth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,drexel
