,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36794,1,2024-11-04,,Maine,W,96,62,35,63,.556,11,29,.379,15,20,.750,10,39,17,10,3,12,18,,21,57,.368,3,14,.214,17,18,.944,6,24,4,9,0,13,19,2025,duke
36795,2,2024-11-08,,Army,W,100,58,35,71,.493,17,38,.447,13,18,.722,14,46,19,8,6,8,13,,21,64,.328,8,29,.276,8,9,.889,8,29,11,7,2,12,15,2025,duke
36796,3,2024-11-12,N,Kentucky,L,72,77,28,71,.394,4,24,.167,12,17,.706,10,42,12,6,6,7,19,,25,63,.397,10,25,.400,17,24,.708,8,35,17,4,8,10,18,2025,duke
36797,4,2024-11-16,,Wofford,W,86,35,30,62,.484,16,38,.421,10,11,.909,14,42,24,11,3,10,10,,14,57,.246,5,33,.152,2,3,.667,10,27,9,7,0,15,12,2025,duke
36798,5,2024-11-22,@,Arizona,W,69,55,26,61,.426,9,25,.360,8,13,.615,10,37,15,8,4,13,19,,21,53,.396,6,23,.261,7,11,.636,6,30,16,9,4,15,14,2025,duke
36799,6,2024-11-26,N,Kansas,L,72,75,24,48,.500,11,26,.423,13,18,.722,3,22,17,11,3,16,18,,28,57,.491,8,17,.471,11,12,.917,7,24,22,12,4,15,14,2025,duke
36800,7,2024-11-29,,Seattle,W,70,48,23,58,.397,10,36,.278,14,19,.737,10,42,18,12,4,13,22,,10,47,.213,4,19,.211,24,31,.774,7,31,6,6,0,15,18,2025,duke
36801,8,2024-12-04,,Auburn,W,84,78,29,58,.500,9,22,.409,17,27,.630,12,34,11,7,4,4,14,,29,64,.453,10,25,.400,10,12,.833,12,34,17,4,3,8,20,2025,duke
36802,9,2024-12-08,@,Louisville,W,76,65,28,62,.452,8,30,.267,12,14,.857,9,35,14,7,3,5,18,,19,51,.373,11,31,.355,16,21,.762,8,34,10,4,1,14,16,2025,duke
36803,10,2024-12-10,,Incarnate Word,W,72,46,24,55,.436,8,25,.320,16,21,.762,14,41,16,5,1,12,16,,17,53,.321,5,23,.217,7,12,.583,8,24,7,7,4,7,19,2025,duke
36804,11,2024-12-17,,George Mason,W,68,47,21,56,.375,9,27,.333,17,21,.810,11,34,11,10,3,10,11,,20,68,.294,2,17,.118,5,6,.833,16,38,5,5,1,12,20,2025,duke
36805,12,2024-12-21,@,Georgia Tech,W,82,56,31,55,.564,10,25,.400,10,15,.667,8,34,20,5,3,10,13,,21,58,.362,6,17,.353,8,10,.800,5,20,12,5,5,9,15,2025,duke
36806,13,2024-12-31,,Virginia Tech,W,88,65,31,58,.534,11,29,.379,15,15,1.000,9,33,19,7,4,9,15,,23,50,.460,8,21,.381,11,15,.733,4,19,14,5,0,12,14,2025,duke
36807,14,2025-01-04,@,SMU,W,89,62,33,62,.532,11,27,.407,12,16,.750,9,40,22,3,7,7,19,,23,67,.343,5,21,.238,11,25,.440,14,33,14,2,3,6,13,2025,duke
36808,15,2025-01-07,,Pitt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
36809,16,2025-01-11,,Notre Dame,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
36810,17,2025-01-14,,Miami (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
36811,18,2025-01-18,@,Boston College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
36812,19,2025-01-25,@,Wake Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
36813,20,2025-01-27,,NC State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
36814,,,,,,,,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,School,,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,Opponent,2025,duke
36815,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,2025,duke
36816,21,2025-02-01,,UNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
36817,22,2025-02-05,@,Syracuse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
36818,23,2025-02-08,@,Clemson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
36819,24,2025-02-12,,California,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
36820,25,2025-02-15,,Stanford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
36821,26,2025-02-17,@,Virginia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
36822,27,2025-02-22,N,Illinois,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
36823,28,2025-02-25,@,Miami (FL),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
36824,29,2025-03-01,,Florida State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
36825,30,2025-03-03,,Wake Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
36826,31,2025-03-08,@,UNC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,duke
