,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36827,1,2024-11-04,,Lipscomb,L,72,77,28,62,.452,6,20,.300,10,19,.526,8,32,10,6,4,14,22,,25,48,.521,9,21,.429,18,26,.692,2,30,16,3,2,16,18,2025,duquesne
36828,2,2024-11-08,N,Princeton,L,68,75,24,58,.414,8,22,.364,12,19,.632,8,37,15,7,6,11,20,,23,53,.434,11,24,.458,18,29,.621,4,27,13,6,2,10,14,2025,duquesne
36829,3,2024-11-15,@,DePaul,L,58,84,20,58,.345,6,21,.286,12,20,.600,9,25,10,4,4,7,16,,29,54,.537,13,25,.520,13,17,.765,9,38,23,2,5,10,17,2025,duquesne
36830,4,2024-11-19,,Milwaukee,L,74,80,25,60,.417,9,31,.290,15,23,.652,13,32,15,7,1,11,23,,27,52,.519,7,20,.350,19,30,.633,8,35,14,8,3,12,17,2025,duquesne
36831,5,2024-11-24,N,South Dakota State,L,60,71,23,61,.377,9,38,.237,5,11,.455,5,22,10,9,2,9,19,,24,49,.490,10,21,.476,13,18,.722,6,33,13,4,2,14,13,2025,duquesne
36832,6,2024-11-25,N,Hampton,L,59,64,19,45,.422,6,18,.333,15,29,.517,9,30,13,11,6,16,18,,20,52,.385,6,19,.316,18,22,.818,10,27,11,7,3,14,23,2025,duquesne
36833,7,2024-11-26,N,Old Dominion,W,67,54,25,53,.472,4,13,.308,13,18,.722,10,39,12,7,5,19,16,,21,64,.328,2,17,.118,10,15,.667,14,33,4,9,2,16,20,2025,duquesne
36834,8,2024-12-03,,St. Peter's,L,59,62,19,52,.365,7,19,.368,14,22,.636,12,33,10,2,3,9,15,,20,59,.339,7,22,.318,15,19,.789,15,39,9,6,5,8,22,2025,duquesne
36835,9,2024-12-06,,Delaware,W,80,66,25,62,.403,8,27,.296,22,28,.786,17,42,11,6,2,9,18,,23,58,.397,7,22,.318,13,18,.722,11,30,11,2,5,11,25,2025,duquesne
36836,10,2024-12-11,,Maine,L,56,61,20,58,.345,11,26,.423,5,11,.455,17,36,13,7,5,18,16,,22,48,.458,4,9,.444,13,16,.813,8,24,8,13,4,14,13,2025,duquesne
