,G,Date,Unnamed: 2,Opp,W/L,Tm,Opp.1,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,Unnamed: 23,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,FT.1,FTA.1,FT%.1,ORB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
36860,1,2024-11-04,,North Carolina Wesleyan,W,97,70,33,63,.524,10,20,.500,21,32,.656,18,51,17,5,5,15,22,,23,66,.348,8,25,.320,16,22,.727,7,23,16,7,1,9,22,2025,east-carolina
36861,2,2024-11-09,,Coastal Carolina,W,63,59,17,51,.333,4,19,.211,25,40,.625,14,40,7,2,7,4,19,,20,59,.339,8,22,.364,11,18,.611,10,33,11,2,1,4,30,2025,east-carolina
36862,3,2024-11-12,,Mount Olive,W,110,73,42,79,.532,6,23,.261,20,33,.606,19,60,21,9,8,11,14,,27,78,.346,7,24,.292,12,15,.800,11,33,13,4,2,13,22,2025,east-carolina
36863,4,2024-11-16,,George Mason,W (2 OT),78,77,24,71,.338,7,31,.226,23,32,.719,24,48,9,14,2,14,21,,26,60,.433,6,22,.273,19,25,.760,10,38,13,9,3,19,26,2025,east-carolina
36864,5,2024-11-21,N,Jacksonville State,L,78,86,28,66,.424,9,27,.333,13,15,.867,10,29,9,3,4,7,21,,28,53,.528,7,15,.467,23,31,.742,8,33,13,5,3,8,13,2025,east-carolina
36865,6,2024-11-22,N,Stetson,W,71,64,20,55,.364,3,14,.214,28,33,.848,12,32,5,11,2,12,20,,20,44,.455,10,25,.400,14,25,.560,4,25,12,4,2,16,22,2025,east-carolina
36866,7,2024-11-23,N,UIC,W,72,55,28,58,.483,6,17,.353,10,15,.667,7,29,14,9,4,7,13,,23,59,.390,6,24,.250,3,7,.429,11,33,18,7,5,16,16,2025,east-carolina
36867,8,2024-11-29,,North Carolina A&T,W,93,69,33,63,.524,8,21,.381,19,22,.864,11,36,23,3,5,9,15,,26,67,.388,7,25,.280,10,13,.769,11,29,13,4,4,8,16,2025,east-carolina
36868,9,2024-12-03,,UNC Wilmington,L,53,67,19,53,.358,4,19,.211,11,15,.733,8,30,8,10,3,16,12,,23,58,.397,7,22,.318,14,15,.933,11,35,17,9,8,13,14,2025,east-carolina
36869,10,2024-12-07,@,South Carolina,L,68,75,27,55,.491,4,14,.286,10,14,.714,7,25,9,7,3,5,15,,27,50,.540,12,23,.522,9,17,.529,5,27,19,1,1,8,12,2025,east-carolina
36870,11,2024-12-11,,North Alabama,L,67,74,25,60,.417,5,24,.208,12,19,.632,7,27,12,10,5,9,16,,25,54,.463,9,24,.375,15,18,.833,7,35,16,4,4,14,15,2025,east-carolina
36871,12,2024-12-17,,Florida International,W,75,64,28,58,.483,6,22,.273,13,15,.867,9,33,18,8,3,15,16,,26,56,.464,5,16,.313,7,18,.389,8,26,17,9,2,15,13,2025,east-carolina
36872,13,2024-12-21,,Gardner-Webb,L,79,84,25,64,.391,7,25,.280,22,36,.611,12,30,15,11,5,6,14,,30,58,.517,10,18,.556,14,20,.700,12,38,15,2,6,14,22,2025,east-carolina
36873,14,2024-12-31,@,South Florida,L,69,75,22,62,.355,3,19,.158,22,27,.815,12,36,9,8,5,12,15,,26,57,.456,7,20,.350,16,20,.800,8,33,14,9,3,13,20,2025,east-carolina
36874,15,2025-01-05,,Florida Atlantic,L,76,78,29,76,.382,5,19,.263,13,25,.520,22,44,11,11,4,11,11,,31,58,.534,10,20,.500,6,9,.667,5,30,24,5,6,16,17,2025,east-carolina
36875,16,2025-01-08,,Temple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,east-carolina
36876,17,2025-01-11,@,Memphis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,east-carolina
36877,18,2025-01-14,,North Texas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,east-carolina
36878,19,2025-01-18,@,Wichita State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,east-carolina
36879,20,2025-01-21,@,Tulsa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025,east-carolina
