,Rk,Gtm,Date,Unnamed: 3,Opp,Type,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1,Season,School
37323,1.0,1.0,2024-11-04,@,Illinois,REG (Non-Conf),L,67,112,,26,68,0.382,4,12,0.333,22,56,0.393,0.412,11,25,0.44,3,21,24,5,5,1,7,29,31,64,0.484,16,42,0.381,15,22,0.682,0.609,34,46,0.739,14,42,56,16,2,9,13,21,2025,eastern-illinois
37324,2.0,2.0,2024-11-06,,,REG (Non-Conf),W,97,61,,36,69,0.522,5,14,0.357,31,55,0.564,0.558,20,32,0.625,13,33,46,16,14,7,13,19,22,65,0.338,6,21,0.286,16,44,0.364,0.385,11,13,0.846,9,16,25,9,4,6,18,21,2025,eastern-illinois
37325,3.0,3.0,2024-11-10,@,Indiana,REG (Non-Conf),L,55,90,,21,57,0.368,7,20,0.35,14,37,0.378,0.43,6,9,0.667,6,18,24,8,8,0,16,15,38,62,0.613,6,18,0.333,32,44,0.727,0.661,8,12,0.667,7,29,36,26,11,6,12,14,2025,eastern-illinois
37326,4.0,4.0,2024-11-15,@,Northwestern,REG (Non-Conf),L,58,67,OT,25,61,0.41,3,19,0.158,22,42,0.524,0.434,5,8,0.625,10,17,27,20,9,4,14,20,21,52,0.404,5,19,0.263,16,33,0.485,0.452,20,27,0.741,13,21,34,14,9,4,13,12,2025,eastern-illinois
37327,5.0,5.0,2024-11-19,@,DePaul,REG (Non-Conf),L,69,78,,23,57,0.404,7,15,0.467,16,42,0.381,0.465,16,17,0.941,7,22,29,11,10,2,14,19,23,53,0.434,15,39,0.385,8,14,0.571,0.575,17,23,0.739,9,22,31,18,6,4,16,12,2025,eastern-illinois
37328,6.0,6.0,2024-11-24,@,Valparaiso,REG (Non-Conf),L,53,81,,19,48,0.396,5,18,0.278,14,30,0.467,0.448,10,20,0.5,7,21,28,7,6,3,11,19,24,62,0.387,10,31,0.323,14,31,0.452,0.468,23,25,0.92,17,27,44,17,6,2,7,17,2025,eastern-illinois
37329,7.0,7.0,2024-11-29,,Northern Illinois,REG (Non-Conf),W,72,59,,26,58,0.448,3,13,0.231,23,45,0.511,0.474,17,22,0.773,8,33,41,11,8,4,10,15,16,54,0.296,11,37,0.297,5,17,0.294,0.398,16,17,0.941,1,23,24,13,6,5,10,20,2025,eastern-illinois
37330,8.0,8.0,2024-12-03,@,Butler,REG (Non-Conf),L,58,73,,21,64,0.328,8,20,0.4,13,44,0.295,0.391,8,13,0.615,7,15,22,10,7,1,8,23,23,44,0.523,7,20,0.35,16,24,0.667,0.602,20,25,0.8,7,32,39,14,2,3,16,14,2025,eastern-illinois
37331,9.0,9.0,2024-12-06,,,REG (Non-Conf),W,87,57,,32,65,0.492,6,20,0.3,26,45,0.578,0.538,17,27,0.63,10,26,36,21,10,8,7,13,18,55,0.327,8,26,0.308,10,29,0.345,0.4,13,20,0.65,9,25,34,12,3,4,22,23,2025,eastern-illinois
37332,10.0,10.0,2024-12-14,@,Eastern Kentucky,REG (Non-Conf),L,66,81,,28,67,0.418,3,18,0.167,25,49,0.51,0.44,7,15,0.467,14,27,41,7,9,1,17,15,28,62,0.452,17,38,0.447,11,24,0.458,0.589,8,12,0.667,8,25,33,21,12,5,15,16,2025,eastern-illinois
37333,11.0,11.0,2024-12-19,@,Southeast Missouri State,REG (Conf),L,72,79,,23,56,0.411,5,14,0.357,18,42,0.429,0.455,21,29,0.724,17,17,34,6,8,2,10,20,27,48,0.563,10,22,0.455,17,26,0.654,0.667,15,20,0.75,5,19,24,18,4,6,12,21,2025,eastern-illinois
37334,12.0,12.0,2024-12-28,,,REG (Non-Conf),W,99,55,,43,65,0.662,4,10,0.4,39,55,0.709,0.692,9,21,0.429,9,24,33,23,20,2,11,16,20,50,0.4,10,23,0.435,10,27,0.37,0.5,5,10,0.5,5,15,20,14,6,0,27,15,2025,eastern-illinois
37335,13.0,13.0,2025-01-02,,Lindenwood,REG (Conf),W,78,74,OT,25,53,0.472,6,11,0.545,19,42,0.452,0.528,22,36,0.611,7,30,37,9,8,3,20,26,21,60,0.35,7,25,0.28,14,35,0.4,0.408,25,33,0.758,9,28,37,14,12,4,20,26,2025,eastern-illinois
37336,14.0,14.0,2025-01-04,,Western Illinois,REG (Conf),L,67,75,,24,59,0.407,2,17,0.118,22,42,0.524,0.424,17,22,0.773,12,19,31,14,9,5,12,14,28,54,0.519,12,20,0.6,16,34,0.471,0.63,7,10,0.7,7,23,30,17,6,7,14,18,2025,eastern-illinois
37337,15.0,15.0,2025-01-07,,SIU Edwardsville,REG (Conf),L,57,60,,20,54,0.37,5,18,0.278,15,36,0.417,0.417,12,15,0.8,8,16,24,10,12,5,10,21,20,49,0.408,3,12,0.25,17,37,0.459,0.439,17,29,0.586,13,23,36,12,6,5,14,15,2025,eastern-illinois
37338,16.0,16.0,2025-01-09,,Tennessee Tech,REG (Conf),L,64,69,,20,54,0.37,5,16,0.313,15,38,0.395,0.417,19,24,0.792,10,26,36,10,4,5,9,16,22,61,0.361,10,28,0.357,12,33,0.364,0.443,15,24,0.625,11,25,36,14,4,2,8,19,2025,eastern-illinois
37339,17.0,17.0,2025-01-16,@,UT Martin,REG (Conf),L,63,68,,22,52,0.423,11,27,0.407,11,25,0.44,0.529,8,14,0.571,7,27,34,14,3,3,18,19,24,63,0.381,6,30,0.2,18,33,0.545,0.429,14,18,0.778,12,25,37,11,11,6,11,15,2025,eastern-illinois
37340,18.0,18.0,2025-01-18,@,Tennessee State,REG (Conf),L,65,84,,24,61,0.393,4,16,0.25,20,45,0.444,0.426,13,20,0.65,13,14,27,8,9,0,16,19,27,52,0.519,6,16,0.375,21,36,0.583,0.577,24,29,0.828,11,24,35,15,10,3,15,18,2025,eastern-illinois
37341,19.0,19.0,2025-01-23,,Morehead State,REG (Conf),L,66,73,,25,52,0.481,7,16,0.438,18,36,0.5,0.548,9,12,0.75,3,17,20,10,4,1,4,17,25,48,0.521,10,27,0.37,15,21,0.714,0.625,13,19,0.684,8,23,31,16,3,5,8,15,2025,eastern-illinois
37342,20.0,20.0,2025-01-25,,Southern Indiana,REG (Conf),L,60,64,,21,58,0.362,7,20,0.35,14,38,0.368,0.422,11,21,0.524,14,21,35,13,10,2,10,25,21,50,0.42,7,19,0.368,14,31,0.452,0.49,15,24,0.625,7,25,32,13,7,5,12,17,2025,eastern-illinois
37343,21.0,21.0,2025-01-27,N,Little Rock,REG (Conf),W,56,54,,19,48,0.396,6,20,0.3,13,28,0.464,0.458,12,17,0.706,7,22,29,12,9,3,15,17,20,46,0.435,3,11,0.273,17,35,0.486,0.467,11,17,0.647,5,17,22,14,7,6,12,14,2025,eastern-illinois
37344,22.0,22.0,2025-01-30,@,Western Illinois,REG (Conf),W,71,59,,27,60,0.45,5,14,0.357,22,46,0.478,0.492,12,18,0.667,10,25,35,13,6,0,5,14,22,50,0.44,3,15,0.2,19,35,0.543,0.47,12,17,0.706,4,23,27,7,3,5,12,14,2025,eastern-illinois
37345,23.0,23.0,2025-02-01,@,Lindenwood,REG (Conf),W,76,70,,25,61,0.41,7,17,0.412,18,44,0.409,0.467,19,25,0.76,13,25,38,8,8,3,11,18,24,63,0.381,4,17,0.235,20,46,0.435,0.413,18,25,0.72,12,21,33,9,7,8,11,17,2025,eastern-illinois
37346,24.0,24.0,2025-02-04,@,SIU Edwardsville,REG (Conf),L,41,66,,14,52,0.269,3,14,0.214,11,38,0.289,0.298,10,17,0.588,5,24,29,5,5,2,8,17,26,62,0.419,9,29,0.31,17,33,0.515,0.492,5,12,0.417,11,35,46,16,2,3,8,16,2025,eastern-illinois
37347,25.0,25.0,2025-02-08,@,Tennessee Tech,REG (Conf),L,54,59,,22,64,0.344,4,18,0.222,18,46,0.391,0.375,6,7,0.857,9,22,31,13,11,0,10,21,20,45,0.444,11,24,0.458,9,21,0.429,0.567,8,16,0.5,5,28,33,16,2,5,13,12,2025,eastern-illinois
37348,26.0,26.0,2025-02-13,,Tennessee State,REG (Conf),L,49,66,,16,58,0.276,3,21,0.143,13,37,0.351,0.302,14,22,0.636,9,20,29,12,10,4,10,21,18,43,0.419,6,15,0.4,12,28,0.429,0.488,24,31,0.774,8,32,40,15,6,6,16,13,2025,eastern-illinois
37349,27.0,27.0,2025-02-15,,UT Martin,REG (Conf),L,68,72,,23,55,0.418,9,25,0.36,14,30,0.467,0.5,13,13,1.0,5,19,24,12,9,2,13,21,27,57,0.474,8,27,0.296,19,30,0.633,0.544,10,18,0.556,11,24,35,16,6,0,16,14,2025,eastern-illinois
37350,28.0,28.0,2025-02-20,@,Southern Indiana,REG (Conf),W,63,54,,24,66,0.364,6,20,0.3,18,46,0.391,0.409,9,13,0.692,13,25,38,10,12,2,14,16,20,50,0.4,5,16,0.313,15,34,0.441,0.45,9,15,0.6,4,25,29,9,8,4,18,15,2025,eastern-illinois
37351,29.0,29.0,2025-02-22,@,Morehead State,REG (Conf),W,67,62,,22,50,0.44,5,10,0.5,17,40,0.425,0.49,18,22,0.818,5,17,22,13,9,2,9,14,20,52,0.385,10,27,0.37,10,25,0.4,0.481,12,14,0.857,11,21,32,11,5,0,14,16,2025,eastern-illinois
